Actinobaculum	Actinomyces	Adlercreutzia	Aggregatibacter	Aminobacterium	Anaerococcus	Anaeroglobus	Anaerovorax	Arabia	Asaccharobacter	Atopobium	Blautia	Brachymonas	Butyrivibrio	Campylobacter	Candidatus Kryptonium	Candidatus Methanomethylophilus	Capnocytophaga	Cardiobacterium	Catonella	Cloacibacillus	Collinsella	Denitrobacterium	Desulfobulbus	Dialister	Dorea	Eggerthella	Eggerthia	Eikenella	Emergencia	Enterorhabdus	Eubacterium	Filifactor	Fusobacterium	Gemella	Gordonibacter	Johnsonella	Jonquetella	Lachnoanaerobaculum	Leptotrichia	Methanobrevibacter	Mogibacterium	Olsenella	Oribacterium	Ottowia	Paraeggerthella	Parvimonas	Peptoanaerobacter	Peptoniphilus	Peptostreptococcus	Phocaeicola	Porphyromonas	Prevotella	Pseudomonas	Pseudopropionibacterium	Pseudoramibacter	Raoultibacter	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Schaalia	Selenomonas	Senegalimassilia	Shuttleworthia	Slackia	Solobacterium	Streptobacillus	Streptococcus	Streptomyces	Tannerella	Thermanaerovibrio	Treponema	Veillonella
1	652987	759	1211	1	843	4943	1	3089	682	1273	1015	1	1525	36167	5120	1	1121	1	1782	1	2993	913	264748	2872	1323	10456	4423	581	1110	2287	3957	17225	6662	2671	11306	2560	1	1441	1	550742	36953	361263	2959	1	2096	73723	3717	3291	1121	161968	26903	13375	2783	1	255901	2855	900	683	682	2558	8252	3828	938	654	24051	681	1946	16334	9306	696025	1	220523	675
1	339079	1019	1	1	897	6787	615	3960	954	670	904	1	1512	45573	1280	1	2383	1	2066	1	3137	1103	386345	6198	601	13073	2664	1	708	2980	4591	10772	6370	1216	14414	2493	789	1156	668	684715	25214	239782	2604	1	2608	51680	2598	2703	1	490234	451758	14667	2445	1	367030	3583	669	622	1	1920	6374	10105	1203	681	19979	594	1343	22459	2573	485273	928	250213	1
9751	745536	528	2467	985	945	627	451	2159	565	664	470	1	592	68786	558	1	6502	1	1841	1131	2143	687	535208	3960	1	7363	5208	2882	1	1659	3212	6201	28022	2278	7795	11475	1601	1441	1397	56204	6592	157953	1840	9204	1606	14220	7183	2788	469	41835	163260	14906	4204	15591	110403	2143	1	1	1	1091	4095	7396	702	1	4674	573	964	23844	11490	631279	1933	200094	1
1	179445	1	1	1	948	3236	480	1173	1	392	554	1	565	22648	904	1	1	1	909	1	1195	1	296107	8448	933	4213	4602	1	419	910	2562	9891	5038	1876	4331	3236	576	1248	1	183423	27740	125513	1738	1	809	19268	6043	2941	514	113736	223048	13932	3361	1	174739	1185	446	459	425	1301	2886	2897	378	483	11583	658	1147	13021	33619	396990	555	121482	1
1	342819	718	1	1	1	1893	1	2782	723	27784	1	1	1	4504	3986	1	1	1	1	1	5105	1019	86867	1615	1	9905	1137	1	1	2229	1066	2501	925	1	10122	618	1	1	1	1797837	9931	1104000	1130	608	2057	22441	946	834	1	216981	89329	3424	5155	1	286786	2917	1	1	1	886	20676	1600	883	1	8756	1	1	8443	17528	50041	1	56562	1
1	455123	863	1669	1	1036	10479	874	3441	777	2630	752	2018	895	25171	1151	1	660	863	1490	1	2433	912	366752	1734	586	11045	4760	1491	778	2435	4069	17302	13416	1770	12593	3540	619	858	2165	1	55969	223542	3453	2884	2180	87750	3569	2145	675	115991	36570	14119	2296	1494	403272	2985	667	702	1	1756	19590	5428	953	875	34486	845	1530	23151	1912	399418	660	191828	617
34806	3049561	1	9933	1	1	3023	1	1	1	963	1	1343	1	45571	1	1	70772	34525	2072	1	1051	1	238454	2676	1	2007	827	59879	1	1	9831	8472	112023	3492	2707	17385	852	1	8162	1	15161	195019	1040	184777	1	55726	3000	1	1	28881	5242	20175	6544	73816	352999	1	1	4183	1	669	1258	18408	1	1	7096	1	631	21344	4920	215416	969	132556	1022
2920	423665	1	1	812	966	1723	1	1445	1	1	757	6482	804	86854	1138	1	3538	2551	4087	887	1255	1	671109	829	1	4435	1452	9754	719	1052	7846	14254	66118	1376	5202	3714	1296	917	4026	1	14443	57441	3506	5875	889	18393	4317	1714	1	281765	853898	20002	4640	13532	213998	1263	1	1	1	1439	1771	15027	1	716	19227	1	1004	26140	2916	855819	1596	297885	1
1	373926	1121	1	1	718	15657	651	4433	924	729	1007	8291	1055	25516	1392	1	1	3208	2022	515	3123	1128	409403	872	570	13547	2938	2283	1129	2971	3930	23160	4893	1619	15956	2913	784	1066	1479	1	40884	74540	3267	7525	2719	5348	3058	2418	497	271165	65615	8705	5597	1	247020	3760	685	1	857	2556	13599	3127	1315	633	15183	573	1835	8972	2449	313601	904	237211	1
1	835937	1	1	1	1118	2523	1	1521	1	1625	608	1	771	24854	1634	1	826	1	1713	495	1450	458	347101	1361	1	4935	7619	1	709	1237	2879	13847	3965	1753	5487	3126	707	1416	766	1	24572	127252	2170	1	982	20027	5619	2919	524	238262	146891	12270	4695	1	125711	1378	527	648	1	1387	14238	5621	458	1	10326	664	1329	17560	24425	513483	818	176341	1
