pathway	detail_group	major_group	map
map00010 Glycolysis / Gluconeogenesis	Carbohydrate metabolism	Metabolism	map00010
map00020 Citrate cycle (TCA cycle)	Carbohydrate metabolism	Metabolism	map00020
map00030 Pentose phosphate pathway	Carbohydrate metabolism	Metabolism	map00030
map00040 Pentose and glucuronate interconversions	Carbohydrate metabolism	Metabolism	map00040
map00051 Fructose and mannose metabolism	Carbohydrate metabolism	Metabolism	map00051
map00052 Galactose metabolism	Carbohydrate metabolism	Metabolism	map00052
map00053 Ascorbate and aldarate metabolism	Carbohydrate metabolism	Metabolism	map00053
map00061 Fatty acid biosynthesis	Lipid metabolism	Metabolism	map00061
map00071 Fatty acid degradation	Lipid metabolism	Metabolism	map00071
map00130 Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism of cofactors and vitamins	Metabolism	map00130
map00190 Oxidative phosphorylation	Energy metabolism	Metabolism	map00190
map00220 Arginine biosynthesis	Amino acid metabolism	Metabolism	map00220
map00230 Purine metabolism	Nucleotide metabolism	Metabolism	map00230
map00240 Pyrimidine metabolism	Nucleotide metabolism	Metabolism	map00240
map00250 Alanine, aspartate and glutamate metabolism	Amino acid metabolism	Metabolism	map00250
map00260 Glycine, serine and threonine metabolism	Amino acid metabolism	Metabolism	map00260
map00261 Monobactam biosynthesis	Biosynthesis of other secondary metabolites	Metabolism	map00261
map00270 Cysteine and methionine metabolism	Amino acid metabolism	Metabolism	map00270
map00280 Valine, leucine and isoleucine degradation	Amino acid metabolism	Metabolism	map00280
map00281 Geraniol degradation	Metabolism of terpenoids and polyketides	Metabolism	map00281
map00290 Valine, leucine and isoleucine biosynthesis	Amino acid metabolism	Metabolism	map00290
map00300 Lysine biosynthesis	Amino acid metabolism	Metabolism	map00300
map00310 Lysine degradation	Amino acid metabolism	Metabolism	map00310
map00311 Penicillin and cephalosporin biosynthesis	Biosynthesis of other secondary metabolites	Metabolism	map00311
map00330 Arginine and proline metabolism	Amino acid metabolism	Metabolism	map00330
map00333 Prodigiosin biosynthesis	Biosynthesis of other secondary metabolites	Metabolism	map00333
map00340 Histidine metabolism	Amino acid metabolism	Metabolism	map00340
map00350 Tyrosine metabolism	Amino acid metabolism	Metabolism	map00350
map00360 Phenylalanine metabolism	Amino acid metabolism	Metabolism	map00360
map00362 Benzoate degradation	Xenobiotics biodegradation and metabolism	Metabolism	map00362
map00380 Tryptophan metabolism	Amino acid metabolism	Metabolism	map00380
map00400 Phenylalanine, tyrosine and tryptophan biosynthesis	Amino acid metabolism	Metabolism	map00400
map00401 Novobiocin biosynthesis	Biosynthesis of other secondary metabolites	Metabolism	map00401
map00410 beta-Alanine metabolism	Metabolism of other amino acids	Metabolism	map00410
map00450 Selenocompound metabolism	Metabolism of other amino acids	Metabolism	map00450
map00460 Cyanoamino acid metabolism	Metabolism of other amino acids	Metabolism	map00460
map00470 D-Amino acid metabolism	Metabolism of other amino acids	Metabolism	map00470
map00480 Glutathione metabolism	Metabolism of other amino acids	Metabolism	map00480
map00500 Starch and sucrose metabolism	Carbohydrate metabolism	Metabolism	map00500
map00510 N-Glycan biosynthesis	Glycan biosynthesis and metabolism	Metabolism	map00510
map00511 Other glycan degradation	Glycan biosynthesis and metabolism	Metabolism	map00511
map00520 Amino sugar and nucleotide sugar metabolism	Carbohydrate metabolism	Metabolism	map00520
map00521 Streptomycin biosynthesis	Biosynthesis of other secondary metabolites	Metabolism	map00521
map00523 Polyketide sugar unit biosynthesis	Metabolism of terpenoids and polyketides	Metabolism	map00523
map00524 Neomycin, kanamycin and gentamicin biosynthesis	Biosynthesis of other secondary metabolites	Metabolism	map00524
map00525 Acarbose and validamycin biosynthesis	Biosynthesis of other secondary metabolites	Metabolism	map00525
map00540 Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism	Metabolism	map00540
map00541 O-Antigen nucleotide sugar biosynthesis	Glycan biosynthesis and metabolism	Metabolism	map00541
map00542 O-Antigen repeat unit biosynthesis	Glycan biosynthesis and metabolism	Metabolism	map00542
map00543 Exopolysaccharide biosynthesis	Glycan biosynthesis and metabolism	Metabolism	map00543
map00550 Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism	Metabolism	map00550
map00552 Teichoic acid biosynthesis	Glycan biosynthesis and metabolism	Metabolism	map00552
map00561 Glycerolipid metabolism	Lipid metabolism	Metabolism	map00561
map00562 Inositol phosphate metabolism	Carbohydrate metabolism	Metabolism	map00562
map00564 Glycerophospholipid metabolism	Lipid metabolism	Metabolism	map00564
map00565 Ether lipid metabolism	Lipid metabolism	Metabolism	map00565
map00572 Arabinogalactan biosynthesis - Mycobacterium	Glycan biosynthesis and metabolism	Metabolism	map00572
map00590 Arachidonic acid metabolism	Lipid metabolism	Metabolism	map00590
map00591 Linoleic acid metabolism	Lipid metabolism	Metabolism	map00591
map00592 alpha-Linolenic acid metabolism	Lipid metabolism	Metabolism	map00592
map00600 Sphingolipid metabolism	Lipid metabolism	Metabolism	map00600
map00603 Glycosphingolipid biosynthesis - globo and isoglobo series	Glycan biosynthesis and metabolism	Metabolism	map00603
map00620 Pyruvate metabolism	Carbohydrate metabolism	Metabolism	map00620
map00621 Dioxin degradation	Xenobiotics biodegradation and metabolism	Metabolism	map00621
map00622 Xylene degradation	Xenobiotics biodegradation and metabolism	Metabolism	map00622
map00625 Chloroalkane and chloroalkene degradation	Xenobiotics biodegradation and metabolism	Metabolism	map00625
map00626 Naphthalene degradation	Xenobiotics biodegradation and metabolism	Metabolism	map00626
map00627 Aminobenzoate degradation	Xenobiotics biodegradation and metabolism	Metabolism	map00627
map00630 Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism	Metabolism	map00630
map00633 Nitrotoluene degradation	Xenobiotics biodegradation and metabolism	Metabolism	map00633
map00640 Propanoate metabolism	Carbohydrate metabolism	Metabolism	map00640
map00643 Styrene degradation	Xenobiotics biodegradation and metabolism	Metabolism	map00643
map00650 Butanoate metabolism	Carbohydrate metabolism	Metabolism	map00650
map00660 C5-Branched dibasic acid metabolism	Carbohydrate metabolism	Metabolism	map00660
map00670 One carbon pool by folate	Metabolism of cofactors and vitamins	Metabolism	map00670
map00680 Methane metabolism	Energy metabolism	Metabolism	map00680
map00710 Carbon fixation in photosynthetic organisms	Energy metabolism	Metabolism	map00710
map00720 Carbon fixation pathways in prokaryotes	Energy metabolism	Metabolism	map00720
map00730 Thiamine metabolism	Metabolism of cofactors and vitamins	Metabolism	map00730
map00740 Riboflavin metabolism	Metabolism of cofactors and vitamins	Metabolism	map00740
map00750 Vitamin B6 metabolism	Metabolism of cofactors and vitamins	Metabolism	map00750
map00760 Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins	Metabolism	map00760
map00770 Pantothenate and CoA biosynthesis	Metabolism of cofactors and vitamins	Metabolism	map00770
map00780 Biotin metabolism	Metabolism of cofactors and vitamins	Metabolism	map00780
map00785 Lipoic acid metabolism	Metabolism of cofactors and vitamins	Metabolism	map00785
map00790 Folate biosynthesis	Metabolism of cofactors and vitamins	Metabolism	map00790
map00860 Porphyrin metabolism	Metabolism of cofactors and vitamins	Metabolism	map00860
map00900 Terpenoid backbone biosynthesis	Metabolism of terpenoids and polyketides	Metabolism	map00900
map00903 Limonene and pinene degradation	Metabolism of terpenoids and polyketides	Metabolism	map00903
map00906 Carotenoid biosynthesis	Metabolism of terpenoids and polyketides	Metabolism	map00906
map00910 Nitrogen metabolism	Energy metabolism	Metabolism	map00910
map00920 Sulfur metabolism	Energy metabolism	Metabolism	map00920
