Library_ID	Non_synonymous	Synonymous	Total_considered	dN_dS	cov_1X	cov_2X	cov_5X	avg_depth
AKI001.A0101	10	7	10481	1.42857142857143	0.5576609	0.1001573	0.0050259	1.76045098616364
AKI002.A0101	1206	2187	2430329	0.551440329218107	0.8923046	0.8697697	0.8098091	10.4988709217767
AMH001.A0101	1431	1988	1948607	0.719818913480885	0.8892968	0.8448251	0.6531012	7.73353651288418
AMH002.A0101	768	1150	2267508	0.667826086956522	0.8851742	0.8527583	0.7582624	9.12683841762479
AMH003.A0101	1231	1537	1353224	0.800910865322056	0.8905645	0.8046613	0.4669219	5.8662397175449
AMH004.A0101	13	11	2114	1.18181818181818	0.4416992	0.0406454	0.0019829	1.49321939587174
ANK001.A0101	1	1	43	1	0.0017167	0.0004567	0.0002825	4.6874251497006
ANN001.A0101	615	763	1306458	0.806028833551769	0.8826797	0.7937136	0.4562341	5.82966315533843
ANN002.A0101	275	240	311424	1.14583333333333	0.8455309	0.5470447	0.1106354	3.43811647543961
ANN003.A0101	582	711	2530342	0.818565400843882	0.8866093	0.871374	0.8451156	13.1094368092925
ANN004.A0101	802	932	1007598	0.860515021459228	0.8774681	0.7488878	0.3451216	5.06904443592957
AON001.A0101	486	546	1981868	0.89010989010989	0.8811345	0.8432144	0.6718738	7.79968587559927
AON002.A0101	261	285	626705	0.91578947368421	0.8715997	0.6751382	0.2191361	4.23867751120862
ATT001.A0101	457	503	1787138	0.908548707753479	0.8757374	0.8255486	0.5990038	7.07635576335645
ATT002.A0101	88	110	60940	0.8	0.7218415	0.2491546	0.0243074	2.35487198804677
EFE002.B0101	8	11	2634	0.727272727272727	0.345148	0.0169392	0.0016147	1.36647167021438
EFE003.B0101	96	60	68342	1.6	0.737995	0.2846235	0.0244736	2.40864384342708
EFE004.B0101	799	1129	866785	0.70770593445527	0.8712058	0.706246	0.2928062	4.79353772106333
EFE005.B0101	1159	1236	214477	0.937702265372168	0.8077451	0.4265165	0.0738204	3.00221827184191
EFE006.B0101	132	109	20503	1.21100917431193	0.5390708	0.1034123	0.007859	1.81978051189198
EXB037.A2901	0	0	0		0.0007372	7.3e-06		1.14854639585822
EXB037.A3001	0	0	0		0.0008814	7.53e-05	3.81e-05	1.54130579613591
EXB037.A3101	0	0	0		0.0019395	0.0001486	3.23e-05	1.38152914458743
EXB037.A3201	0	0	0		0.0004279	2.94e-05	2.6e-06	1.31640356897735
EXB037.A3301	0	0	0		0.000789	6.84e-05		1.33531819873465
EXB037.A3401	0	0	0		0.0001295			1.20408163265306
FUT018.B0101	2	0	46	Inf	0.0017511	0.0004943	0.0002594	3.07110514841523
FUT021.B0101	4	1	199	4	0.3068005	0.0119751	0.0006979	1.29710848885499
FUT024.B0101	270	188	250768	1.43617021276596	0.8238734	0.496892	0.0895522	3.24463604516347
HCLVMBCX2-3505-01-00-01_S1	0	0	0		0.014902	0.0003756	0.0002006	1.1976196575302
HCLVMBCX2-3505-02-00-01_S2	0	0	0		0.0191254	0.0002907	0.0001286	1.09219738377449
HCLVMBCX2-3505-03-00-01_S3	0	0	0		0.0155467	0.0003728	0.0001843	1.18139578808197
HCLVMBCX2-3505-04-00-01_S4	0	0	0		0.0496722	0.000613	0.0001106	1.11881650508394
HCLVMBCX2-3505-05-00-01_S5	1	1	159	1	0.1440115	0.003909	0.0005357	1.23388060371018
HCLVMBCX2-3505-06-00-01_S6	29	18	8949	1.61111111111111	0.4178705	0.0585613	0.0046169	1.65933977902688
HCLVMBCX2-3505-07-00-01_S7	0	0	83		0.0852683	0.0016382	0.0004478	1.20702658213463
HCLVMBCX2-3505-08-00-01_S8	0	0	0		0.014465	0.0001744	2.88e-05	1.09433426036824
HCLVMBCX2-3505-09-00-01_S9	32	11	6958	2.90909090909091	0.4370209	0.0677869	0.0037471	1.69264716455137
HCLVMBCX2-3505-10-00-01_S10	0	1	260	0	0.1928496	0.0069996	0.0004666	1.26809774755502
HCLVMBCX2-3505-11-00-01_S11	2	2	189	1	0.009274	0.0015168	0.0005796	2.33417769615604
HCLVMBCX2-3505-12-00-01_S12	1	1	320	1	0.1583532	0.0062009	0.0005853	1.28919567938436
HCLVMBCX2-3505-13-00-01_S13	1	0	102	Inf	0.089049	0.0026743	0.0003211	1.2092600714241
HCLVMBCX2-3505-14-00-01_S14	1	3	170	0.333333333333333	0.0187522	0.0030551	0.0013299	3.13867184441696
HCLVMBCX2-3505-15-00-01_S15	1	1	209	1	0.1142586	0.0036805	0.0006669	1.27650978769554
HCLVMBCX2-3505-16-00-01_S16	90	42	24138	2.14285714285714	0.485679	0.1123438	0.0114065	1.96350342897876
HCLVMBCX2-3505-17-00-01_S17	0	0	0		0.0082508	0.0002952	0.0001336	1.28987828315183
HCLVMBCX2-3505-18-00-01_S18	0	0	0		0.0017064	0.0001504	6.99e-05	1.51419721218379
HCLVMBCX2-3505-19-00-01_S19	0	0	0		0.0005932	4.73e-05		1.31138613861386
HCLVMBCX2-3505-20-00-01_S20	0	0	0		0.0007204	7.93e-05		1.37056665307786
HCLVMBCX2-3505-21-00-01_S21	0	0	0		0.0017317	0.0001554	2.93e-05	1.36510089876208
HCLVMBCX2-3505-22-00-01_S22	0	0	0		0.0010995	4.06e-05		1.12740384615385
HCLVMBCX2-3505-23-00-01_S23	0	0	0		0.000333			1.05467372134039
HCLVMBCX2-3505-24-00-01_S24	0	0	0		0.0003086	3.81e-05		1.37868696479543
HCLVMBCX2-3505-25-00-01_S25	0	0	0		0.000764	1.67e-05		1.11491160645657
HCLVMBCX2-3505-26-00-01_S26	0	0	49		0.1376036	0.0021089	0.000408	1.1761034205343
