Species
[Actinopolyspora] iraqiensis
[Clostridium] dakarense
[Haemophilus] ducreyi
[Mannheimia] succiniciproducens
[Polyangium] brachysporum
[Pseudomonas] hibiscicola
Achromobacter denitrificans
Achromobacter marplatensis
Achromobacter ruhlandii
Achromobacter spanius
Achromobacter xylosoxidans
Acidaminococcus massiliensis
Acidibrevibacterium fodinaquatile
Acidihalobacter prosperus
Acidimicrobium ferrooxidans
Acidipropionibacterium acidipropionici
Acidipropionibacterium jensenii
Acidisphaera rubrifaciens
Acidobacteriaceae bacterium KBS 83
Acidobacteriaceae bacterium KBS 89
Acidobacteriaceae bacterium URHE0068
Acidobacterium capsulatum
Acidothermus cellulolyticus
Acidovorax avenae
Acidovorax valerianellae
Acinetobacter bereziniae
Acinetobacter bouvetii
Acinetobacter brisouii
Acinetobacter chinensis
Acinetobacter defluvii
Acinetobacter equi
Acinetobacter gerneri
Acinetobacter guillouiae
Acinetobacter kookii
Acinetobacter lactucae
Acinetobacter larvae
Acinetobacter piscicola
Acinetobacter pittii
Acinetobacter radioresistens
Acinetobacter rudis
Acinetobacter seifertii
Acinetobacter soli
Acinetobacter sp. ACNIH1
Acinetobacter sp. ACNIH2
Acinetobacter sp. ANC 3789
Acinetobacter sp. ANC 3862
Acinetobacter sp. ANC 4558
Acinetobacter sp. CIP 101966
Acinetobacter sp. CIP 102136
Acinetobacter sp. CIP 51.11
Acinetobacter sp. CIP 64.7
Acinetobacter sp. DSM 11652
Acinetobacter sp. LoGeW2-3
Acinetobacter sp. MYb10
Acinetobacter sp. NCu2D-2
Acinetobacter sp. NIPH 236
Acinetobacter sp. NIPH 899
Acinetobacter sp. Root1280
Acinetobacter sp. SFA
Acinetobacter sp. SFD
Acinetobacter sp. SWBY1
Acinetobacter sp. TTH0-4
Acinetobacter sp. WCHAc010034
Acinetobacter sp. WCHAc010052
Acinetobacter tandoii
Acinetobacter tjernbergiae
Acinetobacter towneri
Acinetobacter variabilis
Acinetobacter venetianus
Acinetobacter wuhouensis
Actinoalloteichus cyanogriseus
Actinoalloteichus hoggarensis
Actinoalloteichus hymeniacidonis
Actinoalloteichus sp. GBA129-24
Actinobacillus capsulatus
Actinobacillus pleuropneumoniae
Actinobacillus porcitonsillarum
Actinobacillus succinogenes
Actinobacillus suis
Actinobacteria bacterium IMCC26256
actinobacterium LLX17
Actinokineospora bangkokensis
Actinokineospora cianjurensis
Actinokineospora enzanensis
Actinokineospora inagensis
Actinokineospora mzabensis
Actinokineospora terrae
Actinomadura amylolytica
Actinomadura atramentaria
Actinomadura echinospora
Actinomadura flavalba
Actinomadura madurae
Actinomadura meyerae
Actinomadura oligospora
Actinomadura pelletieri
Actinomadura rifamycini
Actinomadura sp. CNU-125
Actinomadura sp. RB29
Actinomadura viridilutea
Actinomycetales bacterium
Actinomycetospora chiangmaiensis
Actinomycetospora cinnamomea
Actinoplanes atraurantiacus
Actinoplanes derwentensis
Actinoplanes friuliensis
Actinoplanes globisporus
Actinoplanes italicus
Actinoplanes lutulentus
Actinoplanes missouriensis
Actinoplanes regularis
Actinoplanes sp. N902-109
Actinoplanes sp. SE50/110
Actinoplanes sp. TFC3
Actinoplanes teichomyceticus
Actinoplanes xinjiangensis
Actinopolymorpha alba
Actinopolymorpha cephalotaxi
Actinopolymorpha singaporensis
Actinopolyspora alba
Actinopolyspora erythraea
Actinopolyspora mortivallis
Actinopolyspora mzabensis
Actinopolyspora righensis
Actinopolyspora xinjiangensis
Actinospica robiniae
Actinosynnema mirum
Actinosynnema pretiosum
Advenella kashmirensis
Aerococcus urinaeequi
Aerococcus viridans
Aeromicrobium choanae
Aeromicrobium erythreum
Aeromicrobium marinum
Aeromicrobium massiliense
Aeromicrobium sp. Leaf245
Aeromicrobium sp. Leaf272
Aeromicrobium sp. Root344
Aeromicrobium sp. Root472D3
Aeromicrobium sp. Root495
Aeromonas bestiarum
Aeromonas eucrenophila
Aeromonas hydrophila
Aeromonas sp. CA23
Aeromonas veronii
Afifella marina
Afifella pfennigii
Afipia birgiae
Afipia broomeae
Afipia clevelandensis
Afipia felis
Afipia sp. GAS231
Agrobacterium deltaense
Agrobacterium rhizogenes
Agrococcus baldri
Agrococcus carbonis
Agrococcus jejuensis
Agrococcus lahaulensis
Agromyces aureus
Agromyces flavus
Agromyces sp. Root81
Albidovulum xiamenense
Albimonas pacifica
Alcaligenes aquatilis
Alicycliphilus denitrificans
Alicyclobacillus acidocaldarius
Alloactinosynnema album
Alloactinosynnema iranicum
Alloactinosynnema sp. L-07
Allochromatium vinosum
Allokutzneria albata
Allokutzneria sp. NRRL B-24872
Allonocardiopsis opalescens
Alloprevotella rava
Alloprevotella sp. oral taxon 473
Allosphingosinicella indica
Alysiella crassa
Alysiella filiformis
Aminobacter aminovorans
Aminobacter sp. MSH1
Aminobacter sp. Root100
Amorphus coralli
Amycolatopsis alba
Amycolatopsis albispora
Amycolatopsis azurea
Amycolatopsis balhimycina
Amycolatopsis benzoatilytica
Amycolatopsis coloradensis
Amycolatopsis halophila
Amycolatopsis japonica
Amycolatopsis kentuckyensis
Amycolatopsis keratiniphila
Amycolatopsis lexingtonensis
Amycolatopsis marina
Amycolatopsis mediterranei
Amycolatopsis methanolica
Amycolatopsis orientalis
Amycolatopsis pretoriensis
Amycolatopsis regifaucium
Amycolatopsis saalfeldensis
Amycolatopsis sp. CB00013
Amycolatopsis sp. M39
Amycolatopsis sp. MJM2582
Amycolatopsis taiwanensis
Amycolatopsis thermoflava
Amycolatopsis xylanica
Anaeromyxobacter dehalogenans
Anaeromyxobacter sp. Fw109-5
Anaeromyxobacter sp. K
Angustibacter sp. Root456
Anoxybacillus flavithermus
Anoxybacillus pushchinoensis
Aphanizomenon flos-aquae
Aquamicrobium aerolatum
Aquamicrobium defluvii
Aquibium oceanicum
Aquimonas voraii
Aquincola tertiaricarbonis
Aquisalimonas asiatica
Arcanobacterium haemolyticum
Archangium gephyra
Arenimonas composti
Arhodomonas aquaeolei
Aromatoleum aromaticum
Aromatoleum toluclasticum
Aromatoleum tolulyticum
Arsenicicoccus sp. oral taxon 190
Arthrobacter sp. Edens01
Arthrobacter sp. EpRS66
Arthrobacter sp. ERGS1:01
Arthrobacter sp. Leaf234
Arthrobacter sp. MYb222
Arthrobacter sp. MYb227
Arthrobacter sp. NIO-1057
Arthrobacter sp. ok362
Arthrobacter sp. ov407
