Species
[Polyangium] brachysporum
[Pseudomonas] mesoacidophila
Acetobacteraceae bacterium AT-5844
Achromobacter denitrificans
Achromobacter insolitus
Achromobacter insuavis
Achromobacter marplatensis
Achromobacter piechaudii
Achromobacter pulmonis
Achromobacter sp. 2789STDY5608615
Achromobacter sp. 2789STDY5608621
Achromobacter sp. 2789STDY5608625
Achromobacter sp. 2789STDY5608633
Achromobacter sp. AONIH1
Achromobacter sp. DMS1
Achromobacter sp. Root170
Achromobacter sp. Root83
Achromobacter sp. RTa
Achromobacter spanius
Achromobacter xylosoxidans
Acidibrevibacterium fodinaquatile
Acidiferrobacter sp. SPIII_3
Acidihalobacter ferrooxidans
Acidihalobacter prosperus
Acidimangrovimonas indica
Acidimicrobium ferrooxidans
Acidiphilium multivorum
Acidipropionibacterium acidipropionici
Acidisphaera rubrifaciens
Acidithiobacillus caldus
Acidobacteriaceae bacterium KBS 83
Acidobacteriaceae bacterium KBS 89
Acidobacteriaceae bacterium URHE0068
Acidobacterium capsulatum
Acidocella sp. MX-AZ02
Acidomonas methanolica
Acidovorax anthurii
Acidovorax avenae
Acidovorax carolinensis
Acidovorax cattleyae
Acidovorax citrulli
Acidovorax defluvii
Acidovorax ebreus
Acidovorax konjaci
Acidovorax sp. GW101-3H11
Acidovorax sp. JHL-9
Acidovorax sp. JS42
Acidovorax sp. KKS102
Acidovorax sp. Leaf191
Acidovorax sp. Leaf78
Acidovorax sp. MR-S7
Acidovorax sp. RAC01
Acidovorax sp. Root219
Acidovorax sp. Root267
Acidovorax sp. Root275
Acidovorax sp. Root402
Acidovorax sp. Root568
Acidovorax sp. T1
Acidovorax valerianellae
Acidovorax wautersii
Acinetobacter baumannii
Acinetobacter bereziniae
Acinetobacter guillouiae
Acinetobacter gyllenbergii
Acinetobacter indicus
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter lwoffii
Acinetobacter nosocomialis
Acinetobacter radioresistens
Acinetobacter sp. BMW17
Acinetobacter sp. yr461
Acinetobacter ursingii
Actinoalloteichus hoggarensis
Actinobacteria bacterium IMCC25003
Actinobacteria bacterium IMCC26256
Actinokineospora bangkokensis
Actinokineospora cianjurensis
Actinokineospora enzanensis
Actinokineospora inagensis
Actinokineospora mzabensis
Actinokineospora terrae
Actinomadura amylolytica
Actinomadura atramentaria
Actinomadura echinospora
Actinomadura flavalba
