Species
[Polyangium] brachysporum
[Pseudomonas] mesoacidophila
Acetobacteraceae bacterium AT-5844
Achromobacter denitrificans
Achromobacter insolitus
Achromobacter marplatensis
Achromobacter piechaudii
Achromobacter sp. 2789STDY5608625
Achromobacter sp. AONIH1
Achromobacter sp. DMS1
Achromobacter sp. Root170
Achromobacter sp. Root83
Achromobacter sp. RTa
Achromobacter spanius
Achromobacter xylosoxidans
Acidibrevibacterium fodinaquatile
Acidiferrobacter sp. SPIII_3
Acidihalobacter ferrooxidans
Acidihalobacter prosperus
Acidimangrovimonas indica
Acidimicrobium ferrooxidans
Acidipropionibacterium acidipropionici
Acidisphaera rubrifaciens
Acidithiobacillus caldus
Acidobacteriaceae bacterium KBS 83
Acidobacteriaceae bacterium KBS 89
Acidobacteriaceae bacterium URHE0068
Acidobacterium capsulatum
Acidocella sp. MX-AZ02
Acidomonas methanolica
Acidovorax anthurii
Acidovorax avenae
Acidovorax carolinensis
Acidovorax cattleyae
Acidovorax citrulli
Acidovorax defluvii
Acidovorax konjaci
Acidovorax sp. JHL-9
Acidovorax sp. KKS102
Acidovorax sp. MR-S7
Acidovorax sp. Root568
Acidovorax valerianellae
Acidovorax wautersii
Acinetobacter bereziniae
Acinetobacter haemolyticus
Acinetobacter sp. NIPH 284
Acinetobacter sp. yr461
Actinoalloteichus hoggarensis
Actinobacteria bacterium IMCC26256
Actinokineospora bangkokensis
Actinokineospora cianjurensis
Actinokineospora enzanensis
Actinokineospora inagensis
Actinokineospora mzabensis
Actinokineospora terrae
Actinomadura amylolytica
Actinomadura atramentaria
Actinomadura echinospora
Actinomadura flavalba
Actinomadura madurae
Actinomadura meyerae
Actinomadura oligospora
Actinomadura pelletieri
Actinomadura rifamycini
Actinomadura sp. CNU-125
Actinomadura sp. RB29
Actinomadura viridilutea
Actinomycetospora chiangmaiensis
Actinomycetospora cinnamomea
Actinoplanes atraurantiacus
Actinoplanes derwentensis
Actinoplanes friuliensis
Actinoplanes globisporus
Actinoplanes italicus
Actinoplanes lutulentus
Actinoplanes missouriensis
Actinoplanes regularis
Actinoplanes sp. N902-109
Actinoplanes sp. TFC3
Actinoplanes teichomyceticus
Actinoplanes xinjiangensis
Actinopolymorpha alba
Actinopolymorpha cephalotaxi
Actinopolymorpha singaporensis
Actinopolyspora erythraea
Actinopolyspora mortivallis
Actinopolyspora xinjiangensis
