Species
[Actinopolyspora] iraqiensis
[Clostridium] symbiosum
[Clostridium] viride
[Mycobacterium] stephanolepidis
[Polyangium] brachysporum
Achromobacter denitrificans
Achromobacter insuavis
Achromobacter marplatensis
Achromobacter spanius
Achromobacter xylosoxidans
Acidibrevibacterium fodinaquatile
Acidihalobacter prosperus
Acidimicrobium ferrooxidans
Acidipropionibacterium acidipropionici
Acidipropionibacterium jensenii
Acidisphaera rubrifaciens
Acidobacteriaceae bacterium KBS 83
Acidobacteriaceae bacterium KBS 89
Acidobacteriaceae bacterium URHE0068
Acidobacterium capsulatum
Acidothermus cellulolyticus
Acidovorax avenae
Acidovorax carolinensis
Acidovorax citrulli
Acidovorax defluvii
Acidovorax ebreus
Acidovorax konjaci
Acidovorax sp. GW101-3H11
Acidovorax sp. JHL-9
Acidovorax sp. JS42
Acidovorax sp. KKS102
Acidovorax sp. Leaf191
Acidovorax sp. MR-S7
Acidovorax sp. RAC01
Acidovorax sp. Root219
Acidovorax sp. Root267
Acidovorax sp. Root275
Acidovorax sp. Root402
Acidovorax sp. Root568
Acidovorax sp. T1
Acidovorax wautersii
Acinetobacter baumannii
Acinetobacter bohemicus
Acinetobacter calcoaceticus
Acinetobacter guillouiae
Acinetobacter haemolyticus
Acinetobacter indicus
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter lwoffii
Acinetobacter nosocomialis
Acinetobacter radioresistens
Acinetobacter sp. BMW17
Acinetobacter sp. TTH0-4
Acinetobacter sp. WCHA55
Acinetobacter ursingii
Actinoalloteichus cyanogriseus
Actinoalloteichus hoggarensis
Actinoalloteichus hymeniacidonis
Actinoalloteichus sp. GBA129-24
Actinobacteria bacterium IMCC25003
Actinobacteria bacterium IMCC26256
actinobacterium LLX17
Actinokineospora bangkokensis
Actinokineospora cianjurensis
Actinokineospora enzanensis
Actinokineospora inagensis
Actinokineospora mzabensis
Actinokineospora terrae
Actinomadura amylolytica
Actinomadura atramentaria
Actinomadura echinospora
Actinomadura flavalba
Actinomadura madurae
Actinomadura meyerae
Actinomadura oligospora
Actinomadura pelletieri
Actinomadura rifamycini
Actinomadura sp. CNU-125
Actinomadura sp. RB29
Actinomadura viridilutea
Actinomyces graevenitzii
Actinomyces provencensis
Actinomycetospora chiangmaiensis
Actinomycetospora cinnamomea
Actinoplanes atraurantiacus
Actinoplanes derwentensis
Actinoplanes friuliensis
Actinoplanes globisporus
Actinoplanes italicus
Actinoplanes lutulentus
Actinoplanes missouriensis
Actinoplanes regularis
Actinoplanes sp. N902-109
Actinoplanes sp. SE50/110
Actinoplanes sp. TFC3
Actinoplanes teichomyceticus
Actinoplanes xinjiangensis
Actinopolymorpha alba
Actinopolymorpha cephalotaxi
Actinopolymorpha singaporensis
Actinopolyspora erythraea
Actinopolyspora mortivallis
Actinopolyspora mzabensis
Actinospica robiniae
Actinosynnema mirum
Actinosynnema pretiosum
Advenella kashmirensis
Aequorivita sublithincola
Aerococcus urinaeequi
Aerococcus viridans
Aeromicrobium choanae
Aeromicrobium erythreum
Aeromicrobium marinum
Aeromicrobium massiliense
Aeromicrobium sp. Leaf245
Aeromicrobium sp. Leaf272
Aeromicrobium sp. Root344
Aeromicrobium sp. Root472D3
Aeromicrobium sp. Root495
Aeromonas caviae
Aeromonas salmonicida
Afifella marina
Afifella pfennigii
Afipia birgiae
Afipia broomeae
Afipia carboxidovorans
Afipia clevelandensis
Afipia felis
Afipia sp. GAS231
Agrobacterium genomosp. 5
Agrobacterium rhizogenes
Agrobacterium rubi
Agrobacterium sp. MS2
Agrobacterium sp. RAC06
Agrobacterium sp. SUL3
Agrococcus carbonis
Agrococcus jejuensis
Agrococcus lahaulensis
Agromyces aureus
Agromyces flavus
Agromyces sp. Root81
Albidovulum xiamenense
Albimonas pacifica
Alcaligenes faecalis
Algoriphagus alkaliphilus
Algoriphagus terrigena
Alicycliphilus denitrificans
Alicyclobacillus acidocaldarius
Alistipes senegalensis
Allgaiera indica
Alloactinosynnema album
Alloactinosynnema iranicum
Alloactinosynnema sp. L-07
Allochromatium vinosum
Allokutzneria albata
Allokutzneria sp. NRRL B-24872
Allonocardiopsis opalescens
Alloprevotella sp. oral taxon 473
Alloscardovia sp. HMSC034E08
Allosphingosinicella indica
Altererythrobacter sp. B11
Aminobacter aminovorans
Aminobacter sp. MSH1
Aminobacter sp. Root100
Amorphus coralli
Amycolatopsis alba
Amycolatopsis albispora
Amycolatopsis arida
Amycolatopsis azurea
Amycolatopsis balhimycina
Amycolatopsis benzoatilytica
Amycolatopsis coloradensis
Amycolatopsis halophila
Amycolatopsis japonica
Amycolatopsis kentuckyensis
Amycolatopsis keratiniphila
Amycolatopsis lexingtonensis
Amycolatopsis marina
Amycolatopsis mediterranei
Amycolatopsis methanolica
Amycolatopsis orientalis
Amycolatopsis pretoriensis
Amycolatopsis regifaucium
Amycolatopsis saalfeldensis
Amycolatopsis sp. CB00013
Amycolatopsis sp. M39
Amycolatopsis sp. MJM2582
Amycolatopsis taiwanensis
Amycolatopsis thermoflava
Amycolatopsis xylanica
Anaerococcus hydrogenalis
Anaerococcus nagyae
Anaerococcus octavius
Anaerococcus prevotii
Anaerococcus provencensis
Anaerococcus sp. Marseille-P3915
Anaerococcus vaginalis
Anaeromyxobacter dehalogenans
Anaeromyxobacter sp. Fw109-5
Anaeromyxobacter sp. K
Anaplasma phagocytophilum
Angustibacter sp. Root456
Aquabacterium olei
Aquimonas voraii
Aquincola tertiaricarbonis
Aquisalimonas asiatica
Aquitalea magnusonii
Archangium gephyra
Arcicella aurantiaca
Arcobacter suis
Arenimonas caeni
Arenimonas composti
Arenitalea lutea
Arhodomonas aquaeolei
Aromatoleum aromaticum
Aromatoleum toluclasticum
Aromatoleum tolulyticum
