Species	eisenhoffer	okla
[Actinopolyspora] iraqiensis	1	1
[Clostridium] sporosphaeroides	1	
[Clostridium] symbiosum		1
[Clostridium] viride		1
[Mycobacterium] stephanolepidis		1
[Polyangium] brachysporum	1	1
Achromobacter denitrificans	1	1
Achromobacter insuavis		1
Achromobacter marplatensis		1
Achromobacter spanius		1
Achromobacter xylosoxidans	1	1
Acidibrevibacterium fodinaquatile		1
Acidihalobacter prosperus	1	1
Acidimicrobium ferrooxidans	1	1
Acidipropionibacterium acidipropionici	1	1
Acidipropionibacterium jensenii	1	1
Acidisphaera rubrifaciens	1	1
Acidobacteriaceae bacterium KBS 83	1	1
Acidobacteriaceae bacterium KBS 89	1	1
Acidobacteriaceae bacterium URHE0068	1	1
Acidobacterium capsulatum	1	1
Acidothermus cellulolyticus	1	1
Acidovorax avenae		1
Acidovorax carolinensis		1
Acidovorax citrulli		1
Acidovorax defluvii		1
Acidovorax ebreus		1
Acidovorax konjaci		1
Acidovorax sp. GW101-3H11		1
Acidovorax sp. JHL-9		1
Acidovorax sp. JS42		1
Acidovorax sp. KKS102		1
Acidovorax sp. Leaf191		1
Acidovorax sp. MR-S7		1
Acidovorax sp. RAC01		1
Acidovorax sp. Root219		1
Acidovorax sp. Root267		1
Acidovorax sp. Root275		1
Acidovorax sp. Root402		1
Acidovorax sp. Root568		1
Acidovorax sp. T1		1
Acidovorax wautersii		1
Acinetobacter baumannii		1
Acinetobacter bohemicus		1
Acinetobacter calcoaceticus		1
Acinetobacter guillouiae		1
Acinetobacter haemolyticus		1
Acinetobacter indicus		1
Acinetobacter johnsonii		1
Acinetobacter junii	1	1
Acinetobacter lwoffii		1
Acinetobacter nosocomialis		1
Acinetobacter radioresistens		1
Acinetobacter sp. BMW17		1
Acinetobacter sp. TTH0-4		1
Acinetobacter sp. WCHA55		1
Acinetobacter ursingii		1
Acinetobacter venetianus	1	
Actinoalloteichus cyanogriseus	1	1
Actinoalloteichus hoggarensis	1	1
Actinoalloteichus hymeniacidonis	1	1
Actinoalloteichus sp. GBA129-24	1	1
Actinobacteria bacterium IMCC25003		1
Actinobacteria bacterium IMCC26256	1	1
actinobacterium LLX17	1	1
Actinokineospora bangkokensis	1	1
Actinokineospora cianjurensis	1	1
Actinokineospora enzanensis	1	1
Actinokineospora inagensis	1	1
Actinokineospora mzabensis	1	1
Actinokineospora terrae	1	1
Actinomadura amylolytica	1	1
Actinomadura atramentaria	1	1
Actinomadura echinospora	1	1
Actinomadura flavalba	1	1
Actinomadura madurae	1	1
Actinomadura meyerae	1	1
Actinomadura oligospora	1	1
Actinomadura pelletieri	1	1
Actinomadura rifamycini	1	1
Actinomadura sp. CNU-125	1	1
Actinomadura sp. RB29	1	1
Actinomadura viridilutea	1	1
Actinomyces graevenitzii		1
Actinomyces provencensis		1
Actinomyces sp. oral taxon 178	1	
Actinomyces sp. oral taxon 848	1	
Actinomycetospora chiangmaiensis	1	1
Actinomycetospora cinnamomea	1	1
Actinoplanes atraurantiacus	1	1
Actinoplanes derwentensis	1	1
Actinoplanes friuliensis	1	1
Actinoplanes globisporus	1	1
Actinoplanes italicus	1	1
Actinoplanes lutulentus	1	1
Actinoplanes missouriensis	1	1
Actinoplanes regularis	1	1
Actinoplanes sp. N902-109	1	1
Actinoplanes sp. SE50/110	1	1
Actinoplanes sp. TFC3	1	1
Actinoplanes teichomyceticus	1	1
Actinoplanes xinjiangensis	1	1
Actinopolymorpha alba	1	1
Actinopolymorpha cephalotaxi	1	1
Actinopolymorpha singaporensis	1	1
Actinopolyspora erythraea	1	1
Actinopolyspora mortivallis	1	1
Actinopolyspora mzabensis	1	1
Actinospica robiniae	1	1
Actinosynnema mirum	1	1
Actinosynnema pretiosum	1	1
Advenella kashmirensis		1
Aequorivita sublithincola		1
Aerococcus urinaeequi		1
Aerococcus viridans		1
Aeromicrobium choanae	1	1
Aeromicrobium erythreum	1	1
Aeromicrobium marinum	1	1
Aeromicrobium massiliense	1	1
Aeromicrobium sp. Leaf245	1	1
Aeromicrobium sp. Leaf272	1	1
Aeromicrobium sp. Root344	1	1
Aeromicrobium sp. Root472D3	1	1
Aeromicrobium sp. Root495	1	1
Aeromonas caviae		1
Aeromonas salmonicida		1
Afifella marina	1	1
Afifella pfennigii	1	1
Afipia birgiae	1	1
Afipia broomeae	1	1
Afipia carboxidovorans		1
Afipia clevelandensis	1	1
Afipia felis	1	1
Afipia sp. GAS231	1	1
Agrobacterium genomosp. 5		1
Agrobacterium rhizogenes	1	1
Agrobacterium rubi		1
Agrobacterium sp. MS2		1
Agrobacterium sp. RAC06		1
Agrobacterium sp. SUL3		1
Agrococcus carbonis		1
Agrococcus jejuensis	1	1
Agrococcus lahaulensis	1	1
Agromyces aureus	1	1
Agromyces flavus	1	1
Agromyces sp. Root81	1	1
Albidovulum xiamenense	1	1
Albimonas pacifica	1	1
Alcaligenes faecalis		1
Algoriphagus alkaliphilus		1
Algoriphagus terrigena		1
Alicycliphilus denitrificans		1
Alicyclobacillus acidocaldarius	1	1
Alistipes senegalensis		1
Allgaiera indica		1
Alloactinosynnema album	1	1
Alloactinosynnema iranicum	1	1
Alloactinosynnema sp. L-07	1	1
Allochromatium vinosum	1	1
Allokutzneria albata	1	1
Allokutzneria sp. NRRL B-24872	1	1
Allonocardiopsis opalescens	1	1
Alloprevotella sp. oral taxon 473		1
Alloscardovia sp. HMSC034E08		1
Allosphingosinicella indica		1
