Genus	otago	okla	jena
Acetobacter	1	1	1
Achromobacter	1	1	1
Acidaminococcus	1	1	
Acidibrevibacterium	1	1	1
Acidiferrobacter	1	1	1
Acidihalobacter	1	1	1
Acidimangrovimonas	1	1	
Acidimicrobium	1	1	1
Acidiphilium	1	1	1
Acidipila	1	1	1
Acidipropionibacterium	1	1	
Acidisphaera	1	1	1
Acidithiobacillus	1	1	1
Acidobacterium	1	1	1
Acidocella	1	1	1
Acidomonas	1	1	
Acidovorax		1	1
Acinetobacter	1	1	1
Actinoalloteichus	1	1	1
Actinocorallia	1	1	1
Actinokineospora	1	1	1
Actinomadura	1	1	1
Actinomycetospora	1	1	1
Actinoplanes	1	1	1
Actinopolymorpha	1	1	1
Actinopolyspora	1	1	1
Actinospica	1	1	1
Actinosynnema	1	1	1
Actinotignum	1	1	
Advenella	1	1	
Aerococcus		1	
Aeromicrobium	1	1	1
Aeromonas	1	1	1
Afifella	1	1	1
Afipia	1	1	1
Agrobacterium	1	1	1
Agrococcus	1	1	1
Agromyces	1	1	1
Ahniella	1	1	1
Akkermansia	1	1	1
Albidovulum	1	1	1
Albimonas	1	1	1
Alcaligenes	1	1	1
Alcanivorax	1	1	1
Algoriphagus	1	1	1
Alicycliphilus	1	1	1
Alicyclobacillus	1	1	1
Alistipes	1	1	1
Alkalilimnicola	1	1	1
Alkalispirillum	1	1	1
Alloactinosynnema	1	1	1
Allochromatium	1	1	1
Allokutzneria	1	1	1
Allonocardiopsis	1	1	1
Altererythrobacter	1	1	1
Alteromonas	1	1	
Aminobacter	1	1	1
Aminomonas	1		
Ammonifex	1	1	1
Amorphus	1	1	1
Amphritea	1	1	
Amycolatopsis	1	1	1
Anaerolinea	1	1	1
Anaeromyxobacter	1	1	1
Anaerosalibacter	1		
Anaerotruncus	1		
Anaplasma		1	1
Andreprevotia	1	1	1
Angustibacter	1	1	1
Anoxybacillus		1	1
Aquabacterium	1	1	1
Aquamicrobium	1	1	1
Aquicella	1	1	1
Aquimarina	1	1	1
Aquimonas	1	1	1
Aquincola	1	1	1
Aquisalimonas	1	1	1
Aquitalea	1	1	1
Arachidicoccus		1	
Archangium	1	1	1
Arcicella		1	
Arcobacter	1	1	1
Ardenticatena	1	1	1
Arenimonas	1	1	1
Arhodomonas	1	1	1
Aromatoleum	1	1	1
Arsenicicoccus	1	1	
Arthrobacter		1	
Asanoa	1	1	1
Asinibacterium	1	1	1
Asticcacaulis	1	1	1
Aurantimonas	1	1	1
Auraticoccus	1	1	1
Aureimonas	1	1	1
Azoarcus	1	1	1
Azohydromonas	1	1	1
Azonexus	1	1	1
Azorhizobium	1	1	1
Azospira	1	1	1
