#Datasets	SRR11176627.unmapped	SRR11176628.unmapped	SRR11176629.unmapped	SRR11176630.unmapped	SRR11176631.unmapped	SRR11176632.unmapped	SRR11176633.unmapped	SRR11176634.unmapped	SRR11176635.unmapped	SRR11176636.unmapped	SRR11176637.unmapped	SRR11176638.unmapped	SRR11176639.unmapped	SRR11176640.unmapped	SRR11176641.unmapped	SRR11176642.unmapped	SRR11176643.unmapped
"Candidatus Solibacter"	0.0	0.0	0.0	0.0	424.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Luteitalea"	0.0	0.0	0.0	0.0	2147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Endomicrobium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.0	0.0	0.0	1014.0	0.0	0.0
"Bacteroides"	3303.0	0.0	2118.0	2857.0	0.0	6699.0	0.0	781.0	818.0	1272.0	0.0	1390.0	989.0	1690.0	1325.0	1491.0	0.0
"Phocaeicola"	77726.0	26220.0	5504.0	51289.0	0.0	354.0	404.0	4995.0	33538.0	30103.0	0.0	4636.0	12243.0	32023.0	83375.0	3123.0	0.0
"Petrimonas"	0.0	0.0	0.0	0.0	0.0	1385.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Proteiniphilum"	0.0	0.0	0.0	0.0	0.0	719.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas"	9552.0	9674.0	21272.0	3213.0	0.0	10527.0	463.0	2544.0	2182.0	8449.0	0.0	7732.0	3235.0	4907.0	1595.0	10009.0	0.0
"Prevotella"	2645.0	21738.0	2535.0	1511.0	0.0	4104.0	985.0	2121.0	1808.0	1977.0	0.0	1478.0	11754.0	22020.0	3449.0	44766.0	0.0
"Alistipes"	0.0	0.0	0.0	0.0	0.0	460.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Parabacteroides"	0.0	0.0	0.0	0.0	0.0	1005.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Tannerella"	52031.0	42688.0	53584.0	52124.0	583.0	35898.0	2593.0	5973.0	23502.0	38360.0	0.0	19134.0	56527.0	92223.0	32580.0	64886.0	0.0
"Asinibacterium"	0.0	0.0	0.0	0.0	1715.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Chitinophaga"	0.0	0.0	0.0	0.0	4375.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Flavisolibacter"	0.0	0.0	0.0	0.0	596.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Niastella"	0.0	0.0	0.0	0.0	1497.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sediminibacterium"	0.0	0.0	0.0	0.0	1225.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Algoriphagus"	0.0	0.0	0.0	0.0	1373.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Spirosoma"	0.0	0.0	0.0	0.0	1323.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hymenobacter"	0.0	0.0	0.0	0.0	960.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Dyadobacter"	0.0	0.0	0.0	0.0	856.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Capnocytophaga"	0.0	88537.0	966.0	0.0	0.0	1023.0	705.0	976.0	854.0	0.0	0.0	0.0	17875.0	29765.0	0.0	60366.0	0.0
"Flavobacterium"	0.0	1983.0	0.0	0.0	9691.0	336.0	0.0	506.0	0.0	0.0	0.0	0.0	873.0	0.0	0.0	0.0	0.0
"Tenacibaculum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0
"Chryseobacterium"	0.0	3111.0	0.0	0.0	1799.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1374.0	0.0
"Cloacibacterium"	0.0	0.0	0.0	0.0	1952.0	0.0	0.0	0.0	0.0	0.0	3115.0	0.0	0.0	0.0	0.0	0.0	0.0
"Ornithobacterium"	0.0	1112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Riemerella"	0.0	902.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Mucilaginibacter"	0.0	0.0	0.0	0.0	448.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Pedobacter"	0.0	0.0	0.0	0.0	2625.0	0.0	0.0	0.0	0.0	0.0	171.0	0.0	0.0	0.0	0.0	0.0	647.0
"Sphingobacterium"	0.0	0.0	0.0	0.0	11380.0	0.0	0.0	0.0	0.0	0.0	512.0	0.0	0.0	0.0	0.0	0.0	0.0
"Candidatus Kryptobacter"	1609.0	0.0	1033.0	713.0	0.0	0.0	585.0	0.0	0.0	0.0	95.0	0.0	1119.0	3415.0	672.0	3229.0	95.0
"Candidatus Kryptonium"	138948.0	39754.0	82495.0	65829.0	33072.0	27298.0	436920.0	33625.0	72814.0	72725.0	30661.0	31588.0	53932.0	108504.0	25447.0	130584.0	5296.0
"Gemmatimonas"	0.0	0.0	0.0	0.0	409.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Gemmatirosa"	0.0	0.0	0.0	0.0	872.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Fusobacterium"	19393.0	12140.0	35465.0	7532.0	0.0	1794.0	0.0	1175.0	7252.0	5453.0	0.0	6500.0	11425.0	13733.0	2328.0	14266.0	0.0
"Leptotrichia"	1438.0	29526.0	0.0	0.0	0.0	804.0	483.0	848.0	0.0	0.0	0.0	270.0	5861.0	27735.0	1004.0	41552.0	0.0
"Streptobacillus"	18277.0	0.0	923.0	940.0	0.0	0.0	0.0	0.0	1217.0	794.0	0.0	634.0	689.0	1392.0	1219.0	0.0	0.0
"Nitrospira"	0.0	0.0	0.0	0.0	13030.0	325.0	0.0	511.0	0.0	805.0	0.0	0.0	1126.0	0.0	0.0	0.0	0.0
"Brevundimonas"	0.0	0.0	0.0	0.0	5599.0	0.0	0.0	0.0	0.0	0.0	140.0	0.0	0.0	0.0	0.0	0.0	0.0
"Caulobacter"	0.0	0.0	0.0	0.0	1911.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Phenylobacterium"	0.0	0.0	0.0	0.0	3340.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Aureimonas"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1088.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bosea"	0.0	0.0	0.0	0.0	7529.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Afipia"	0.0	0.0	0.0	0.0	6597.0	0.0	0.0	0.0	0.0	0.0	365.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bradyrhizobium"	0.0	2022.0	1138.0	0.0	59984.0	1062.0	0.0	1725.0	0.0	3757.0	442.0	0.0	4621.0	0.0	566.0	0.0	0.0
"Nitrobacter"	0.0	0.0	0.0	0.0	2097.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Rhodopseudomonas"	0.0	0.0	0.0	0.0	4026.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Tardiphaga"	0.0	0.0	0.0	0.0	2761.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Brucella"	0.0	0.0	0.0	0.0	2462.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Ochrobactrum"	0.0	0.0	0.0	0.0	3261.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Chelatococcus"	0.0	0.0	0.0	0.0	463.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Devosia"	0.0	0.0	0.0	0.0	7864.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hyphomicrobium"	0.0	0.0	0.0	0.0	910.0	0.0	0.0	0.0	0.0	0.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0
"Rhodomicrobium"	0.0	0.0	0.0	0.0	438.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
