#Datasets	SRR11176627.unmapped	SRR11176628.unmapped	SRR11176629.unmapped	SRR11176630.unmapped	SRR11176631.unmapped	SRR11176632.unmapped	SRR11176633.unmapped	SRR11176634.unmapped	SRR11176635.unmapped	SRR11176636.unmapped	SRR11176637.unmapped	SRR11176638.unmapped	SRR11176639.unmapped	SRR11176640.unmapped	SRR11176641.unmapped	SRR11176642.unmapped	SRR11176643.unmapped
"Candidatus Solibacter usitatus"	0.0	0.0	0.0	0.0	424.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Luteitalea pratensis"	0.0	0.0	0.0	0.0	2147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Endomicrobium proavitum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	960.0	0.0	0.0
"Bacteroides heparinolyticus"	0.0	0.0	0.0	1395.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides pyogenes"	0.0	0.0	0.0	0.0	0.0	2998.0	0.0	0.0	0.0	0.0	0.0	366.0	0.0	0.0	0.0	0.0	0.0
"Bacteroides zoogleoformans"	0.0	0.0	0.0	0.0	0.0	346.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Phocaeicola abscessus"	77726.0	26220.0	5504.0	51289.0	0.0	354.0	404.0	4995.0	33538.0	30103.0	0.0	4636.0	12243.0	32023.0	83375.0	3123.0	0.0
"Petrimonas mucosa"	0.0	0.0	0.0	0.0	0.0	1385.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Proteiniphilum saccharofermentans"	0.0	0.0	0.0	0.0	0.0	377.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas catoniae"	0.0	4117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2432.0	0.0
"Porphyromonas gingivalis"	8663.0	0.0	19919.0	2844.0	0.0	8184.0	338.0	2252.0	1917.0	7766.0	0.0	7200.0	2688.0	3694.0	1229.0	4527.0	0.0
"Porphyromonas loveana"	0.0	0.0	0.0	0.0	0.0	470.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas sp. KLE 1280"	0.0	3384.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas sp. oral taxon 278"	0.0	1314.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1840.0	0.0
"Porphyromonadaceae bacterium KH3R12"	0.0	0.0	0.0	0.0	0.0	382.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella conceptionensis"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	877.0	0.0
"Prevotella intermedia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1609.0	0.0
"Prevotella loescheii"	0.0	6245.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1108.0	2339.0	0.0	9681.0	0.0
"Prevotella maculosa"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1505.0	1717.0	439.0	0.0	0.0
"Prevotella saccharolytica"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2835.0	7003.0	855.0	4595.0	0.0
"Prevotella sp. HMSC073D09"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	895.0	0.0
"Prevotella sp. oral taxon 317"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1333.0	0.0
"Prevotella sp. oral taxon 472"	0.0	5622.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1039.0	1980.0	0.0	9376.0	0.0
"Tannerella forsythia"	51929.0	23243.0	53447.0	51940.0	565.0	35671.0	1954.0	5400.0	23099.0	38197.0	0.0	19072.0	45017.0	61049.0	30189.0	40672.0	0.0
"Tannerella sp. oral taxon HOT-286"	0.0	19424.0	0.0	0.0	0.0	0.0	634.0	566.0	0.0	0.0	0.0	0.0	11477.0	31086.0	2367.0	24158.0	0.0
"Asinibacterium sp. OR43"	0.0	0.0	0.0	0.0	533.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Asinibacterium sp. OR53"	0.0	0.0	0.0	0.0	894.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Chitinophaga niabensis"	0.0	0.0	0.0	0.0	467.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Flavisolibacter ginsengisoli"	0.0	0.0	0.0	0.0	415.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Niastella koreensis"	0.0	0.0	0.0	0.0	961.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Niastella yeongjuensis"	0.0	0.0	0.0	0.0	446.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Sediminibacterium ginsengisoli"	0.0	0.0	0.0	0.0	511.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Chitinophagaceae bacterium IBVUCB2"	0.0	0.0	0.0	0.0	549.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Spirosoma spitsbergense"	0.0	0.0	0.0	0.0	545.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hymenobacter sp. PAMC 26554"	0.0	0.0	0.0	0.0	389.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Capnocytophaga gingivalis"	0.0	15539.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1424.0	0.0	4623.0	0.0
"Capnocytophaga granulosa"	0.0	7241.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4438.0	2203.0	0.0	8379.0	0.0
"Capnocytophaga leadbetteri"	0.0	4559.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3420.0	0.0
"Capnocytophaga ochracea"	0.0	1411.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1716.0	3051.0	0.0	3232.0	0.0
