Study	Study_accession	Sample_type	Sample_group	Secondary_sample_accession	Run_accession	Sample_alias	Continent	Lab	Age_mean	gc_avg	seq_len_avg	No_reads_no_human
Eisenhoffer2020	PRJNA608555	blank	blank	SRS6212647	SRR11176643	A18014_EBC_E14	Asia	ACAD	NA	44.3996	80.7299114846947	466431
Eisenhoffer2020	PRJNA608555	calculus	ancient_calculus	SRS6212648	SRR11176642	A18015_Japan_Jomon_1	Asia	ACAD	3000	51.0318	106.22400413974	14162196
Eisenhoffer2020	PRJNA608555	calculus	ancient_calculus	SRS6212656	SRR11176634	A18016_Japan_Jomon_2	Asia	ACAD	3000	51.0258	79.4133349185764	9830859
Eisenhoffer2020	PRJNA608555	calculus	ancient_calculus	SRS6212657	SRR11176633	A18017_Japan_Jomon_3	Asia	ACAD	3000	48.6257	118.035032728523	5091008
Eisenhoffer2020	PRJNA608555	calculus	ancient_calculus	SRS6212658	SRR11176632	A18018_Japan_Jomon_4	Asia	ACAD	3000	52.5565	77.23381236472	8461305
Eisenhoffer2020	PRJNA608555	calculus	ancient_calculus	SRS6212659	SRR11176631	A18019_Japan_Jomon_5	Asia	ACAD	3000	59.2272	111.354240690996	11534138
Eisenhoffer2020	PRJNA608555	calculus	ancient_calculus	SRS6212660	SRR11176630	A18020_Japan_Edo_1	Asia	ACAD	275	48.4389	91.0459579509353	15539361
Eisenhoffer2020	PRJNA608555	calculus	ancient_calculus	SRS6212661	SRR11176629	A18021_Japan_Edo_2	Asia	ACAD	275	48.852	97.1268902611456	18850955
Eisenhoffer2020	PRJNA608555	calculus	ancient_calculus	SRS6212662	SRR11176628	A18022_Japan_Edo_3	Asia	ACAD	275	54.2846	97.7080700544385	11318863
Eisenhoffer2020	PRJNA608555	calculus	ancient_calculus	SRS6212663	SRR11176627	A18023_Japan_Edo_4	Asia	ACAD	275	45.2308	97.9019115130915	33550519
Eisenhoffer2020	PRJNA608555	calculus	ancient_calculus	SRS6212649	SRR11176641	A18024_Japan_Edo_5	Asia	ACAD	275	44.8689	131.03788087799	12254424
