Library_ID	line_number	Cluster	dendro_order
HCLVMBCX2-3505-02-00-01_S2	137	2	1
ECO004.C0101	69	2	2
TON004.B0101	335	2	3
TON006.B0101	337	2	4
TON007.B0101	338	2	5
CS27	46	2	6
ANN002.A0101	7	2	7
CS15	35	2	8
CMB006.A0101	20	2	9
MID091.A0101	259	2	10
CS12	32	2	11
MID055.A0101	223	2	12
CS09	29	2	13
ERR5729629	96	2	14
ERR5729632	99	2	15
ERR5729626	93	2	16
MID050.A0101	218	2	17
ERR5729616	83	2	18
ERR5729614	81	2	19
MID041.A0101	209	2	20
CMB002.A0101	16	2	21
MID089.A0101	257	2	22
MID062.A0101	230	2	23
MID022.A0101	190	2	24
MID037.A0101	205	2	25
MID073.A0101	241	2	26
ERR5729617	84	2	27
CS31	50	2	28
ERR5729649	115	2	29
NMU125.A0101	277	2	30
ERR5729621	88	2	31
SRR11176629	306	2	32
SIG031.A0101	300	2	33
SIG032.A0101	301	2	34
SIG033.A0101	302	2	35
CS20	40	2	36
MID033.A0101	201	2	37
CS39	58	2	38
MID076.A0101	244	2	39
MID030.A0101	198	2	40
CS28	47	2	41
MID058.A0101	226	2	42
SRR6877288	321	2	43
ERR5729627	94	2	44
MID060.A0101	228	2	45
TAP003.B0101	334	2	46
AMH003.A0101	4	2	47
AON002.A0101	11	2	48
CS37	56	2	49
MID034.A0101	202	2	50
CS43	61	2	51
EFE002.B0101	71	2	52
NMU121.A0101	273	2	53
SRR11176634	310	2	54
ERR5729656	122	2	55
MOA001.A0102	267	2	56
MOA001.A0101	266	2	57
NMU128.A0101	280	2	58
NMU123.A0101	275	2	59
ATT002.A0101	13	2	60
HCLVMBCX2-3505-06-00-01_S6	138	2	61
HCLVMBCX2-3505-16-00-01_S16	143	2	62
SRR11176639	314	2	63
ERR5729653	119	2	64
NMU124.A0101	276	2	65
NMU129.A0101	281	2	66
NMU126.A0101	278	2	67
NMU117.A0101	269	2	68
NMU122.A0101	274	2	69
ECO002.C0101	67	2	70
ECO002.B0101	66	2	71
BSQ001.A0101	14	2	72
TON005.B0101	336	2	73
PAH003.A0101	289	2	74
AMH004.A0101	5	2	75
SRR11176638	313	2	76
FUT024.B0101	133	2	77
NMU127.A0101	279	2	78
KT28calc	178	2	79
KT09calc	159	2	80
SIG035.A0101	303	2	81
TAP001.B0101	333	2	82
MID092.A0101	260	2	83
MID063.A0101	231	2	84
MID064.A0101	232	2	85
MID046.A0101	214	2	86
MID032.A0101	200	2	87
AKI002.A0101	1	2	88
AMH001.A0101	2	2	89
PYK005.A0101	296	2	90
MID025.A0101	193	2	91
MID054.A0101	222	2	92
MID084.A0101	252	2	93
MID093.A0101	261	2	94
MID088.A0101	256	2	95
ELR003.A0101	76	2	96
SRR11176627	304	2	97
SRR11176641	316	2	98
ERR5729646	112	2	99
CMB004.A0101	18	2	100
CMB003.A0101	17	2	101
CS21	41	2	102
MID051.A0101	219	2	103
CS35	54	2	104
CS04	26	2	105
CS47	65	2	106
MID075.A0101	243	2	107
CS02	24	2	108
MID052.A0101	220	2	109
MID024.A0101	192	2	110
MID031.A0101	199	2	111
MID072.A0101	240	2	112
CS38	57	2	113
MID040.A0101	208	2	114
CS32	51	2	115
MID070.A0101	238	2	116
CS36	55	2	117
MID097.A0101	263	2	118
CS11	31	2	119
MID059.A0101	227	2	120
MID086.A0101	254	2	121
AON001.A0101	10	2	122
AMH002.A0101	3	2	123
CMB001.A0101	15	2	124
CMB007.A0101	21	2	125
CS40	59	2	126
ANN003.A0101	8	2	127
ATT001.A0101	12	2	128
NMU115.A0101	268	2	129
ANN001.A0101	6	2	130
ANN004.A0101	9	2	131
MID053.A0101	221	2	132
EFE003.B0101	72	2	133
TAF008.B0101	330	2	134
PYK002.A0101	293	2	135
EFE005.B0101	74	2	136
KT11calc	161	2	137
KT02calc	152	2	138
RIG001.A0101	299	2	139
FUM002.A0101	130	2	140
LIS001.A0101	187	2	141
PYK004.A0101	295	2	142
PYK001.A0101	292	2	143
KT23calc	173	2	144
ESA008.A0101	128	2	145
ERR5729641	107	2	146
ERR5729634	101	2	147
MID081.A0101	249	2	148
MID082.A0101	250	2	149
ERR5729622	89	2	150
CMB008.A0101	22	2	151
PYK003.A0101	294	2	152
LIS002.A0101	188	2	153
VLD001.A0101	339	2	154
SRR11176636	312	2	155
SRR11176630	307	2	156
CS03	25	2	157
ERR5729630	97	2	158
GDN001.B0101	135	2	159
KT03calc	153	2	160
OAK005.A0101	286	2	161
KT29calc	179	2	162
KT14calc	164	2	163
NMU120.A0101	272	2	164
ERR5729624	91	2	165
EFE004.B0101	73	2	166
ERR5729644	110	2	167
KT15calc	165	2	168
KT10calc	160	2	169
KT06calc	156	2	170
CS26	45	2	171
KT36calc	186	2	172
KT17calc	167	2	173
MID067.A0101	235	2	174
MID044.A0101	212	2	175
ERR5729620	87	2	176
KT35calc	185	2	177
KT24calc	174	2	178
KT25calc	175	2	179
RAP002.A0101	298	2	180
SRR6877292	323	2	181
SRR6877286	320	2	182
ERR5729639	105	2	183
ERR5729636	102	2	184
ERR5729652	118	2	185
ERR5729655	121	2	186
OAK003.A0101	284	2	187
ERR5729640	106	2	188
SRR6877284	319	2	189
SRR6877326	328	2	190
KT26calc	176	2	191
SRR6877323	326	2	192
ERR5729615	82	2	193
ERR5729633	100	2	194
ERR5729647	113	2	195
ERR5729645	111	2	196
IVE003.A0101	147	2	197
ELR006.A0101	78	2	198
ERR5729650	116	2	199
KT04calc	154	2	200
IVE007.B0101	150	2	201
ESA006.A0101	126	2	202
ERR5729625	92	2	203
ERR5729643	109	2	204
KT05calc	155	2	205
KT16calc	166	2	206
KT07calc	157	2	207
KT30calc	180	2	208
KT20calc	170	2	209
KT18calc	168	2	210
KT34calc	184	2	211
KT21calc	171	2	212
KT13calc	163	2	213
KT12calc	162	2	214
KT27calc	177	2	215
NMU130.A0101	282	2	216
ERR5729637	103	2	217
ESA007.A0101	127	2	218
SRR11176635	311	2	219
NMU118.A0101	270	2	220
SRR11176640	315	2	221
SRR11176632	308	2	222
ERR5729638	104	2	223
OFN001.A0101	287	2	224
EFE006.B0101	75	2	225
ERR5729654	120	2	226
HCLVMBCX2-3505-26-00-01_S26	144	2	227
PAH002.A0101	288	2	228
ECO010.B0101	70	2	229
GDN001.A0101	134	2	230
FUT021.B0101	132	2	231
NMU119.A0101	271	2	232
HCLVMBCX2-3505-07-00-01_S7	139	2	233
HCLVMBCX2-3505-12-00-01_S12	140	2	234
HCLVMBCX2-3505-15-00-01_S15	142	2	235
HCLVMBCX2-3505-28-00-01_S28	145	2	236
CS18	38	1	237
FUM003.A0101	131	1	238
CS45	63	1	239
CS29	48	1	240
CS24	44	1	241
CS22	42	1	242
CS34	53	1	243
MID027.A0101	195	1	244
CS14	34	1	245
CS46	64	1	246
KT31calc	181	1	247
ERR5729628	95	1	248
CS01	23	1	249
IVE002.B0101	146	1	250
MID068.A0101	236	1	251
SRR6877290	322	1	252
RAP001.A0101	297	1	253
SRR6877282	318	1	254
IVE005.A0101	148	1	255
IVE005.B0101	149	1	256
ESA004.A0101	125	1	257
KT08calc	158	1	258
ELR004.A0101	77	1	259
MID042.A0101	210	1	260
KT19calc	169	1	261
SRR6877324	327	1	262
TAF018.B0101	332	1	263
MID068.B0101	237	1	264
ECO004.B0101	68	1	265
SRR11176633	309	1	266
CS08	28	1	267
MID083.A0101	251	1	268
LIS003.A0101	189	1	269
MID035.A0101	203	1	270
MID039.A0101	207	1	271
MID038.A0101	206	1	272
CS16	36	1	273
CS10	30	1	274
CS23	43	1	275
CS19	39	1	276
MID036.A0101	204	1	277
KT01calc	151	1	278
MID071.A0101	239	1	279
CS13	33	1	280
MID101.A0101	264	1	281
MID049.A0101	217	1	282
MID080.A0101	248	1	283
MID048.A0101	216	1	284
MID065.A0101	233	1	285
MID029.A0101	197	1	286
MID043.A0101	211	1	287
MID078.A0101	246	1	288
MID087.A0101	255	1	289
MID094.A0101	262	1	290
MID077.A0101	245	1	291
MID028.A0101	196	1	292
MID045.A0101	213	1	293
CS42	60	1	294
MID026.A0101	194	1	295
MID090.A0101	258	1	296
MID079.A0101	247	1	297
MID061.A0101	229	1	298
MID023.A0101	191	1	299
SRR11176628	305	1	300
HCLVMBCX2-3505-14-00-01_S14	141	1	301
ERR5729651	117	1	302
ERR5729619	86	1	303
OAK004.A0101	285	1	304
OAK002.A0101	283	1	305
ZAF001.A0101	340	1	306
CS30	49	1	307
KT22calc	172	1	308
CS44	62	1	309
ERR5729642	108	1	310
KT32calc	182	1	311
MID066.A0101	234	1	312
MID047.A0101	215	1	313
MID102.A0101	265	1	314
ERR5729631	98	1	315
ERR5729618	85	1	316
CS07	27	1	317
ERR5729657	123	1	318
ESA003.A0101	124	1	319
ERR5729648	114	1	320
SRR11176642	317	1	321
MID056.A0101	224	1	322
ELR008.A0101	79	1	323
MID085.A0101	253	1	324
SRR6877310	324	1	325
SRR6877312	325	1	326
SRR6877393	329	1	327
KT33calc	183	1	328
CMB005.A0101	19	1	329
CS17	37	1	330
MID057.A0101	225	1	331
MID074.A0101	242	1	332
CS33	52	1	333
PLV001.A0101	291	1	334
EMN001.A0101	80	1	335
PES001.B0101	290	1	336
GOY006.A0102	136	1	337
ERR5729623	90	1	338
TAF018.A0101	331	1	339
FUM001.A0101	129	1	340
