Individual ID	Endogenous by Libraries
I16817	0.00056
I16818	0.00051
I16819	0.004
I16819	0.035
I16819	0.039
I16820	0.004
I16820	0.037
I16820	0.035
I16821	0.00122
I16822	0.005
I16822	0.036
I16822	0.038
I16997	0.003
I16997	0.001
I16997	0.003
I16997	0.003
I16997	0.005
I16998	0.001
I16998	0.002
I16998	0.003
I16998	0.004
I18440	0.008
I18442	0.01
I18442	0.002
I18442	0.002
I18442	0.002
I18442	0.002
I18443	0.008
I18443	0.001
I18443	0.001
I18443	0.001
I18444	0.001
I18444	0.002
I18444	0.001
I18445	0.017
I18446	0.004
I18446	0.001
I18446	0.001
I18447	0.03
I18447	0.007
I18447	0.008
I18447	0.006
I18447	0.007
I18450	0.005
I18461	0.026
I18461	0.006
I18461	0.004
I18461	0.005
I18462	0.013
I18462	0.004
I18462	0.003
I18462	0.003
I18462	0.004
I18462	0.002
I18494	0.014
I18495	0.025
I18495	0.008
I18495	0.009
I18495	0.008
I18495	0.013
I18495	0.01
I18495	0.013
I18495	0.012
I18495	0.022
I18496	0.018
I18496	0.01
I18496	0.012
I18496	0.245
I18496	0.007
I18496	0.006
I18496	0.004
I18498	0.002
I18498	0.002
I18501	0.023
I18501	0.009
I18502	0.00583
I18503	0.017
I18503	0.022
I18504	0.002
I18504	0.003
I18958	0.00274
I18959	na
I24230	0.20339
I24236	0.31895
I24237	0.19649
I24238	0.21344
I24239	0.10881
I24240	0.38578
I24241	0.44688
I24242	0.34283
I24243	0.20317
I24244	0.26082
I24246	0.32208
I24247	0.29563
I24248	0.2392
I24249	0.18522
I24250	na
I24251	0.251
I24251	0.294
I24252	0.2816
I24253	0.1714
I24254	0.19243
I24255	0.25881
I24256	0.02423
I24257	0.41551
I24258	0.29799
I24259	0.29644
I24260	0.20603
I24261	0.15196
I24262	0.29498
I24263	0.15125
I24264	0.31021
I24265	0.33049
I24517	0.16782
I24518	0.4109
I24519	0.28204
I24520	0.34515
I24522	0.31317
I24523	0.42696
I24524	0.28864
I24525	0.30864
I24526	0.36952
I24527	0.37461
I24528	0.28691
I24529	0.21241
I24530	0.23729
I24531	0.44704
I24532	0.40071
I24567	0.4688
I24568	0.29195
I24572	0.03043
I24573	0.51833
I24574	0.29022
I24575	0.32619
I24576	0.45659
I24577	0.40555
I24578	0.20578
I24579	0.31193
I24580	0.46032
I24581	0.18258
I24582	0.40528
I24583	0.40644
I24584	0.10893
I24585	0.32421
I24586	0.28483
I24587	0.16403
I24594	0.21628
I24595	0.45206
I24596	0.43069
I24610	na
I24612	0.43365
I24613	0.37854
I24614	0.16001
I24615	0.2259
I24616	na
I24617	0.49456
I24618	0.27698
I25082	0.4
I25187	0.00545
I25188	0.00374
I25190	0.00667
I25191	0.07576
I24297	0.4396
I24298	0.4042
I24299	0.4349
I24339	0.301
I24340	0.27173
I24341	0.32359
I24346	0.41989
I24347	0.42346
I24348	0.45594
I24496	0.46141
I24497	0.30134
I24498	0.18102
I24499	0.43354
I24500	0.38826
I24501	0.29165
I24502	0.54683
I24503	0.47901
I24504	0.50664
I24505	0.08535
I24506	0.32269
I24507	0.17411
I24508	0.32079
I24509	0.32477
I24510	0.1263
I24511	0.38846
I24512	0.34424
I24513	0.45554
I24514	0.16035
I24515	0.39522
I24569	0.54171
I24570	0.27708
I24588	0.45928
I24589	0.55003
I24590	0.47925
I24591	0.59382
I24592	0.49679
I24593	0.39115
I24597	0.46353
I24598	0.42654
I24603	0.52566
I24604	0.34741
I24605	0.41008
I24606	0.26962
I24607	0.35933
I24608	0.36995
I24609	0.42504
I7111	0.6107
I7112	0.61
I7113	0.7574
I30479	0.47354
I30476	0.60843
I30477	0.37249
I30478	0.32741
I30480	0.45155
I30481	0.45451
I30482	0.27458
I30483	0.44171
