Library_ID	Mapped	Non_mapped	Assigned	Non_Assigned
AKI001.A0101	2810407	6334606	2794358	
AKI002.A0101	5717089	5542232	5689484	
AMH001.A0101	5838219	4944387	5824750	
AMH002.A0101	4145182	5868693	4101382	
AMH003.A0101	3681414	5160461	3672239	
AMH004.A0101	5596951	4508160	5585486	
ANK001.A0101	1943664	8878772	1919990	
ANN001.A0101	4882302	4109360	4875002	
ANN002.A0101	5992241	3663358	5873121	
ANN003.A0101	5840694	5305982	5821210	
ANN004.A0101	4886031	6053403	4869592	
AON001.A0101	4470820	6551157	4455362	
AON002.A0101	4103200	5402980	4094432	
ATT001.A0101	5570250	7335953	5536108	
ATT002.A0101	5562341	5519942	5493270	
EFE002.B0101	3815163	7426059	3796524	
EFE003.B0101	5407472	5560612	5400397	
EFE004.B0101	5469288	6375736	5446717	
EFE005.B0101	5101513	6302287	5093737	
EFE006.B0101	4756753	6137370	4748045	
FUT018.B0101	535423	8107064	522080	
FUT021.B0101	3982878	3379984	3968620	
FUT024.B0101	3372942	4980101	3363972	
HCLVMBCX2-3505-01-00-01_S1	1403473	1727095	1398466	
HCLVMBCX2-3505-02-00-01_S2	2229633	2132178	2224307	
HCLVMBCX2-3505-03-00-01_S3	2372456	3133431	2365023	
HCLVMBCX2-3505-04-00-01_S4	1403509	3962263	1394000	
HCLVMBCX2-3505-05-00-01_S5	2523398	2987251	2501031	
HCLVMBCX2-3505-06-00-01_S6	8854440	15570868	8835268	
HCLVMBCX2-3505-07-00-01_S7	3927643	3476264	3908534	
HCLVMBCX2-3505-08-00-01_S8	3765097	7608174	3736254	
HCLVMBCX2-3505-09-00-01_S9	4963154	12126669	4950839	
HCLVMBCX2-3505-10-00-01_S10	1365937	2565391	1362765	
HCLVMBCX2-3505-11-00-01_S11	2367300	1461069	2310035	
HCLVMBCX2-3505-12-00-01_S12	3696488	4270937	3688399	
HCLVMBCX2-3505-13-00-01_S13	3757338	3621702	3741303	
HCLVMBCX2-3505-14-00-01_S14	25465215	10807102	25165547	
HCLVMBCX2-3505-15-00-01_S15	5226660	5461202	5175585	
HCLVMBCX2-3505-16-00-01_S16	6406744	10022157	6395572	
HCLVMBCX2-3505-17-00-01_S17	4626904	6421363	4607569	
HCLVMBCX2-3505-18-00-01_S18	2925096	4493986	2903917	
HCLVMBCX2-3505-19-00-01_S19	1861957	4810648	1821266	
HCLVMBCX2-3505-20-00-01_S20	1691270	4080656	1652977	
HCLVMBCX2-3505-21-00-01_S21	3512388	2747428	3486988	
HCLVMBCX2-3505-22-00-01_S22	1897382	3676784	1870925	
HCLVMBCX2-3505-23-00-01_S23	1236498	3476596	1195411	
HCLVMBCX2-3505-24-00-01_S24	1469734	4222197	1428550	
HCLVMBCX2-3505-25-00-01_S25	1097743	3588847	1065209	
HCLVMBCX2-3505-26-00-01_S26	3453111	3671372	3448229	
HCLVMBCX2-3505-27-00-01_S27	1213303	2414442	1181488	
HCLVMBCX2-3505-28-00-01_S28	3711855	3347732	3703181	
HCLVMBCX2-3505-29-00-01_S29	979314	3486664	946312	
HCLVMBCX2-3505-31-00-01_S31	931716	3024379	892869	
HCLVMBCX2-3505-32-00-01_S32	908746	3332609	899035	
HCLVMBCX2-3505-33-00-01_S33	153455	1964852	149461	
NMU115.A0101	4557873	5646708	4546879	
NMU116.A0101	733331	4742676	721596	
NMU117.A0101	4886057	6342574	4874500	
NMU118.A0101	4838652	5922110	4830484	
NMU119.A0101	6170246	4771878	6141250	
NMU120.A0101	7396967	6365788	7375567	
NMU121.A0101	4032467	7052912	4026660	
NMU122.A0101	4892971	7011256	4879318	
NMU123.A0101	2391107	4099303	2373365	
NMU124.A0101	5761451	5383119	5712082	
NMU125.A0101	6132359	4477306	6115421	
NMU126.A0101	4642062	5957976	4633030	
NMU127.A0101	4978855	5089011	4962067	
NMU128.A0101	5012202	6320242	5007099	
NMU129.A0101	3663329	5503571	3657159	
NMU130.A0101	6984163	5672036	6974061	
NMU131.A0101	1075474	8226993	1054216	
PAH001.A0102	1888300	6782068	1883286	
PAH002.A0101	3543348	7814163	3537195	
PAH003.A0101	2810032	5982311	2756838	
RAP001.A0101	8244367	5556265	8163021	
RAP002.A0101	3084860	7274254	3075432	
SIG031.A0101	4391255	6976526	4381610	
SIG032.A0101	4427311	7413845	4416425	
SIG033.A0101	3852533	7650714	3836764	
SIG034.A0101	3470855	9528451	3408323	
SIG035.A0101	3410907	8350978	3371581	
SIG036.A0101	910564	10747997	888902	
SIG037.A0101	1067364	10435101	1054024	
SIG038.A0101	608996	5765988	598972	
SIG039.A0101	467178	10296796	459326	
SIG040.A0101	561629	9861841	549233	
SIG040.A0201	758607	12495596	739784	
SIG041.A0101	1421127	14817190	1400395	
SIG042.A0101	1916982	6605001	1908839	
SIG043.A0101	4109185	7386426	4096497	
SIG044.A0101	1716459	8047394	1707113	
SIG045.A0101	1602333	2487681	1598203	
SIG046.A0101	8002974	6151754	7982138	
SIG046.A0201	3909677	9821973	3891661	
SIG047.A0101	2694942	7889608	2674541	
TAP001.B0101	5887750	5628826	5875635	
TAP003.B0101	5269251	5466600	5247079	
TON001.C0101	2600058	6464466	2591901	
TON003.B0101	3057669	5868482	3051011	
TON004.B0101	4782236	6988543	4776185	
TON005.B0101	5570833	8919834	5558927	
TON006.B0101	3525462	6005999	3520203	
TON007.B0101	3394678	4797883	3390358	
ABM006.A0101	3075524	4946520	3049514	26010
ABM007.A0101	3020620	9927737	3015311	5309
ABM008.A0101	1282258	3732278	1280225	2033
BAN001.A0101	270091	9761636	268750	1341
BIT001.A0101	4559906	18581012	4470275	89631
BSQ001.A0101	1248345	9587624	1246278	2067
CDC005.A0101	1043346	3477504	1035527	7819
CDC006.A0101	4696779	10363026	4678294	18485
CDC007.A0101	3735599	12076029	3711265	24334
CDC008.A0101	2535957	12498160	2532036	3921
CDC009.A0101	2313875	11899410	2309694	4181
CDC010.A0101	3665440	11313565	3660952	4488
DJA002.A0101	3618441	8304697	3612567	5874
DJA006.A0101	3462207	10255193	3452921	9286
DJA007.A0101	4528256	12821958	4519363	8893
