#Datasets	SRR6877282.unmapped	SRR6877284.unmapped	SRR6877286.unmapped	SRR6877288.unmapped	SRR6877290.unmapped	SRR6877292.unmapped	SRR6877310.unmapped	SRR6877312.unmapped	SRR6877323.unmapped	SRR6877324.unmapped	SRR6877326.unmapped	SRR6877393.unmapped
"Endomicrobium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	546.0	0.0	0.0	929.0	0.0
"Bacteroides"	4064.0	16819.0	8155.0	8985.0	2538.0	8402.0	2108.0	4863.0	6582.0	2051.0	2173.0	5250.0
"Phocaeicola"	1415.0	66476.0	16425.0	12761.0	3414.0	4826.0	3583.0	6685.0	1359.0	983.0	49552.0	17236.0
"Petrimonas"	0.0	0.0	0.0	908.0	0.0	978.0	0.0	0.0	0.0	0.0	0.0	0.0
"Proteiniphilum"	0.0	0.0	0.0	593.0	0.0	687.0	0.0	0.0	0.0	0.0	0.0	0.0
"Paludibacter"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	435.0	0.0	0.0	0.0
"Porphyromonas"	51642.0	17214.0	12434.0	9728.0	19822.0	25624.0	9714.0	13034.0	18970.0	22702.0	6330.0	30418.0
"Alloprevotella"	0.0	0.0	0.0	598.0	0.0	579.0	0.0	0.0	659.0	0.0	0.0	0.0
"Hallella"	0.0	2317.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella"	182256.0	34230.0	43278.0	14248.0	70545.0	49122.0	18241.0	18531.0	88056.0	18561.0	5365.0	24864.0
"Alistipes"	0.0	1211.0	529.0	538.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Parabacteroides"	0.0	1332.0	618.0	938.0	0.0	786.0	0.0	298.0	1134.0	0.0	0.0	0.0
"Tannerella"	78182.0	247784.0	157923.0	42609.0	62408.0	166007.0	65725.0	74852.0	183581.0	34314.0	75596.0	129529.0
"Capnocytophaga"	179958.0	2713.0	16648.0	4190.0	105870.0	26662.0	26019.0	23464.0	55213.0	131161.0	1796.0	22168.0
"Chryseobacterium"	2461.0	0.0	0.0	0.0	1189.0	0.0	482.0	315.0	731.0	2161.0	0.0	0.0
"Ornithobacterium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	839.0	0.0	0.0
"Riemerella"	827.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	630.0	0.0	0.0
"Chlorobaculum"	5303.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1652.0	0.0	0.0
"Chlorobium"	14348.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3849.0	0.0	0.0
"Pelodictyon"	3879.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1081.0	0.0	0.0
"Prosthecochloris"	5145.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1672.0	0.0	0.0
"Candidatus Kryptobacter"	0.0	0.0	0.0	0.0	901.0	0.0	0.0	0.0	0.0	0.0	502.0	0.0
"Candidatus Kryptonium"	2320.0	1058.0	0.0	7641.0	841.0	0.0	0.0	458.0	1023.0	0.0	1949.0	6262.0
"Fusobacterium"	50927.0	16554.0	6939.0	24371.0	34377.0	46531.0	7215.0	5501.0	55884.0	10652.0	2370.0	3359.0
"Leptotrichia"	101943.0	6706.0	15418.0	5355.0	43232.0	27390.0	5522.0	9135.0	62639.0	15739.0	444.0	4354.0
"Pseudoleptotrichia"	0.0	0.0	0.0	0.0	1976.0	0.0	903.0	0.0	0.0	7770.0	0.0	0.0
"Streptobacillus"	0.0	0.0	0.0	1329.0	0.0	1971.0	0.0	0.0	1351.0	0.0	0.0	0.0
"Bradyrhizobium"	0.0	0.0	0.0	487.0	0.0	0.0	0.0	0.0	532.0	0.0	0.0	547.0
"Methylobacterium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	698.0	0.0
"Mesorhizobium"	0.0	8190.0	0.0	1149.0	0.0	1349.0	2406.0	0.0	440.0	0.0	339.0	3666.0
"Achromobacter"	835.0	0.0	0.0	0.0	2126.0	0.0	656.0	785.0	0.0	1047.0	0.0	0.0
"Bordetella"	948.0	0.0	0.0	0.0	1327.0	0.0	574.0	607.0	447.0	887.0	0.0	0.0
"Pusillimonas (ex Stolz et al. 2005)"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	333.0	0.0
"Burkholderia"	0.0	1156.0	485.0	601.0	1195.0	0.0	543.0	538.0	669.0	911.0	497.0	467.0
"Cupriavidus"	0.0	0.0	0.0	0.0	1128.0	0.0	346.0	321.0	0.0	646.0	0.0	0.0
"Lautropia"	263839.0	1450.0	43133.0	3443.0	205351.0	27474.0	70231.0	105597.0	164550.0	434184.0	8984.0	97006.0
"Paraburkholderia"	0.0	0.0	0.0	0.0	563.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Ralstonia"	679.0	0.0	0.0	0.0	1019.0	0.0	0.0	378.0	0.0	550.0	0.0	0.0
"Thiomonas"	0.0	0.0	0.0	0.0	714.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Acidovorax"	2138.0	0.0	1233.0	0.0	10647.0	866.0	1283.0	2301.0	2898.0	4455.0	535.0	1163.0
"Alicycliphilus"	0.0	0.0	0.0	0.0	943.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Brachymonas"	1357.0	0.0	968.0	0.0	3599.0	685.0	0.0	826.0	2919.0	852.0	302.0	697.0
"Comamonas"	0.0	0.0	0.0	0.0	3101.0	0.0	0.0	711.0	989.0	1153.0	0.0	0.0
"Curvibacter"	0.0	0.0	0.0	0.0	1138.0	0.0	0.0	0.0	429.0	0.0	0.0	0.0
"Delftia"	0.0	0.0	0.0	0.0	1826.0	0.0	0.0	405.0	0.0	870.0	0.0	0.0
"Extensimonas"	0.0	0.0	0.0	0.0	964.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hydrogenophaga"	0.0	0.0	0.0	0.0	2416.0	0.0	0.0	497.0	752.0	886.0	0.0	0.0
"Lampropedia"	0.0	0.0	0.0	0.0	557.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
