#Supplementary Table S10																											
#Human DNA validation statistics for all samples																											
SampleID	Dataset	Sample Type	Raw Reads	Reads Post Clip And Merge	Human Reads Pre Strict	Human Reads Post Strict	Prop Pass Strict Map	Perc Endo Pre Strict	Perc Endo Post Strict	Hum Node Pre Strict 85ID	Hum Node Post Strict 90ID	Prop Human Strict Map At Node	Cluster Factor Pre Strict	Cluster Factor Post Strict	Percent Clonality Pre Strict	Position1 5prime C to T Pre Strict	Position1 5prime C to T Post Strict Trimmed	Position1 5prime C to T Post Strict Untrimmed	Difference In Damage Pre To Post	PreStrict_DeltaD	PreStrict_DeltaS	PreStrict_Lambda	chrMT Reads Circular Mapper	chrMT Coverage Circular Mapper	chrMT Mean Contam	chrMT Min Contam	chrMT Max Contam
C214	Global	calculus	16562372	8688438	730	439	60.14	0.01	0.01	586	358	81.55	1.014	1.000	0.93	0.12	0.00	0.15	0.03	0.01	0.82	0.75	3.00	0.01	NA	NA	NA
cmol53	Global	calculus	44932086	24214108	1779	1130	63.52	0.01	0.00	1362	923	81.68	1.015	1.000	1.03	0.15	0.02	0.21	0.06	0.01	0.92	0.75	1.00	0.00	NA	NA	NA
F1948	Global	calculus	18595784	9632823	832	509	61.18	0.01	0.01	670	420	82.51	1.005	1.000	0.31	0.15	0.00	0.21	0.06	0.03	0.86	0.71	0.00	0.00	NA	NA	NA
F349A	Global	calculus	22746512	11427674	2194	1330	60.62	0.02	0.01	1668	1058	79.55	1.012	1.000	0.82	0.20	0.03	0.25	0.05	0.03	0.64	0.41	4.00	0.01	NA	NA	NA
H10b	Global	calculus	27888566	15530167	5238	4053	77.38	0.03	0.03	5239	3661	90.33	1.009	1.000	0.74	0.18	0.06	0.18	0.00	0.03	0.46	0.28	3.00	0.01	NA	NA	NA
H24b	Global	calculus	23362848	12049868	1754	1100	62.71	0.01	0.01	1523	948	86.18	1.008	1.000	0.57	0.25	0.09	0.29	0.04	0.03	0.68	0.39	2.00	0.01	NA	NA	NA
KT01	Regional	calculus	5702580	5501834	8568	3800	44.35	0.16	0.07	5063	3374	88.79	1.041	1.000	38.99	0.20	0.04	0.17	-0.03	0.03	0.49	0.29	2.00	0.01	NA	NA	NA
KT01	Regional	calculus	4911010	4755715	11844	5557	46.92	0.25	0.12	7999	4919	88.52	1.031	1.000	45.63	0.22	0.04	0.17	-0.04	0.02	0.43	0.30	0.00	0.00	NA	NA	NA
KT02	Regional	calculus	4020488	3821086	2057	644	31.31	0.05	0.02	886	571	88.66	1.073	1.000	57.37	0.17	0.03	0.14	-0.02	0.01	0.41	0.32	1.00	0.00	NA	NA	NA
KT03	Regional	calculus	3981083	3816316	2356	958	40.66	0.06	0.03	1373	846	88.31	1.025	1.000	42.70	0.17	0.02	0.14	-0.03	0.04	0.44	0.47	3.00	0.01	NA	NA	NA
