#mpa_v30_CHOCOPhlAn_201901
clade_name	clade_taxid	TON007.B0101.metaphlan.profile	TON006.B0101.metaphlan.profile	TON005.B0101.metaphlan.profile	TON004.B0101.metaphlan.profile	TON003.B0101.metaphlan.profile	TON001.C0101.metaphlan.profile	TAP003.B0101.metaphlan.profile	TAP001.B0101.metaphlan.profile	SIG047.A0101.metaphlan.profile	SIG046.A0201.metaphlan.profile	SIG046.A0101.metaphlan.profile	SIG045.A0101.metaphlan.profile	SIG044.A0101.metaphlan.profile	SIG043.A0101.metaphlan.profile	SIG042.A0101.metaphlan.profile	SIG041.A0101.metaphlan.profile	SIG040.A0201.metaphlan.profile	SIG040.A0101.metaphlan.profile	SIG039.A0101.metaphlan.profile	SIG038.A0101.metaphlan.profile	SIG037.A0101.metaphlan.profile	SIG036.A0101.metaphlan.profile	SIG035.A0101.metaphlan.profile	SIG034.A0101.metaphlan.profile	SIG033.A0101.metaphlan.profile	SIG032.A0101.metaphlan.profile	SIG031.A0101.metaphlan.profile	SIG026.A0101.metaphlan.profile	SIG025.A0101.metaphlan.profile	SIG024.A0101.metaphlan.profile	SIG021.A0101.metaphlan.profile	SIG018.A0101.metaphlan.profile	SIG010.A0101.metaphlan.profile	SIG005.A0101.metaphlan.profile	SIG004.A0101.metaphlan.profile	SIG002.A0101.metaphlan.profile	SIG001.A0101.metaphlan.profile	RAP002.A0101.metaphlan.profile	RAP001.A0101.metaphlan.profile	PVD001.A0101.metaphlan.profile	PAH003.A0101.metaphlan.profile	PAH002.A0101.metaphlan.profile	PAH001.A0102.metaphlan.profile	NMU131.A0101.metaphlan.profile	NMU130.A0101.metaphlan.profile	NMU129.A0101.metaphlan.profile	NMU128.A0101.metaphlan.profile	NMU127.A0101.metaphlan.profile	NMU126.A0101.metaphlan.profile	NMU125.A0101.metaphlan.profile	NMU124.A0101.metaphlan.profile	NMU123.A0101.metaphlan.profile	NMU122.A0101.metaphlan.profile	NMU121.A0101.metaphlan.profile	NMU120.A0101.metaphlan.profile	NMU119.A0101.metaphlan.profile	NMU118.A0101.metaphlan.profile	NMU117.A0101.metaphlan.profile	NMU116.A0101.metaphlan.profile	NMU115.A0101.metaphlan.profile	NMU089.A0101.metaphlan.profile	NMU067.A0101.metaphlan.profile	NMU065.A0101.metaphlan.profile	NMU059.A0101.metaphlan.profile	NMU047.A0101.metaphlan.profile	NMU021.A0101.metaphlan.profile	NMU020.A0101.metaphlan.profile	NMU014.A0101.metaphlan.profile	NMU009.A0101.metaphlan.profile	NMU001.A0101.metaphlan.profile	LIB030.A0115.metaphlan.profile	LIB030.A0114.metaphlan.profile	LIB030.A0113.metaphlan.profile	LIB030.A0112.metaphlan.profile	LIB027.A0136.metaphlan.profile	HPD007.B0101.metaphlan.profile	HPD006.B0101.metaphlan.profile	HPD005.B0101.metaphlan.profile	HPD004.A0101.metaphlan.profile	HPD003.A0101.metaphlan.profile	HPD002.A0101.metaphlan.profile	HPD001.A0101.metaphlan.profile	HCLVMBCX2-3505-33-00-01_S33.metaphlan.profile	HCLVMBCX2-3505-32-00-01_S32.metaphlan.profile	HCLVMBCX2-3505-31-00-01_S31.metaphlan.profile	HCLVMBCX2-3505-29-00-01_S29.metaphlan.profile	HCLVMBCX2-3505-28-00-01_S28.metaphlan.profile	HCLVMBCX2-3505-27-00-01_S27.metaphlan.profile	HCLVMBCX2-3505-26-00-01_S26.metaphlan.profile	HCLVMBCX2-3505-25-00-01_S25.metaphlan.profile	HCLVMBCX2-3505-24-00-01_S24.metaphlan.profile	HCLVMBCX2-3505-23-00-01_S23.metaphlan.profile	HCLVMBCX2-3505-22-00-01_S22.metaphlan.profile	HCLVMBCX2-3505-21-00-01_S21.metaphlan.profile	HCLVMBCX2-3505-20-00-01_S20.metaphlan.profile	HCLVMBCX2-3505-19-00-01_S19.metaphlan.profile	HCLVMBCX2-3505-18-00-01_S18.metaphlan.profile	HCLVMBCX2-3505-17-00-01_S17.metaphlan.profile	HCLVMBCX2-3505-16-00-01_S16.metaphlan.profile	HCLVMBCX2-3505-15-00-01_S15.metaphlan.profile	HCLVMBCX2-3505-14-00-01_S14.metaphlan.profile	HCLVMBCX2-3505-13-00-01_S13.metaphlan.profile	HCLVMBCX2-3505-12-00-01_S12.metaphlan.profile	HCLVMBCX2-3505-11-00-01_S11.metaphlan.profile	HCLVMBCX2-3505-10-00-01_S10.metaphlan.profile	HCLVMBCX2-3505-09-00-01_S9.metaphlan.profile	HCLVMBCX2-3505-08-00-01_S8.metaphlan.profile	HCLVMBCX2-3505-07-00-01_S7.metaphlan.profile	HCLVMBCX2-3505-06-00-01_S6.metaphlan.profile	HCLVMBCX2-3505-05-00-01_S5.metaphlan.profile	HCLVMBCX2-3505-04-00-01_S4.metaphlan.profile	HCLVMBCX2-3505-03-00-01_S3.metaphlan.profile	HCLVMBCX2-3505-02-00-01_S2.metaphlan.profile	HCLVMBCX2-3505-01-00-01_S1.metaphlan.profile	FUT024.B0101.metaphlan.profile	FUT021.B0101.metaphlan.profile	FUT018.B0101.metaphlan.profile	EXB037.A3401.metaphlan.profile	EXB037.A3301.metaphlan.profile	EXB037.A3201.metaphlan.profile	EXB037.A3101.metaphlan.profile	EXB037.A3001.metaphlan.profile	EXB037.A2901.metaphlan.profile	EFE006.B0101.metaphlan.profile	EFE005.B0101.metaphlan.profile	EFE004.B0101.metaphlan.profile	EFE003.B0101.metaphlan.profile	EFE002.B0101.metaphlan.profile	ATT002.A0101.metaphlan.profile	ATT001.A0101.metaphlan.profile	AON002.A0101.metaphlan.profile	AON001.A0101.metaphlan.profile	ANN004.A0101.metaphlan.profile	ANN003.A0101.metaphlan.profile	ANN002.A0101.metaphlan.profile	ANN001.A0101.metaphlan.profile	ANK001.A0101.metaphlan.profile	AMH004.A0101.metaphlan.profile	AMH003.A0101.metaphlan.profile	AMH002.A0101.metaphlan.profile	AMH001.A0101.metaphlan.profile	AKI002.A0101.metaphlan.profile	AKI001.A0101.metaphlan.profile	AHK001.A0101.metaphlan.profile
k__Archaea	2157	0	0	0	0	0	0	26.01598	29.5137	0	0	0	0	0.10291	0	0	0	0	0	0	0	0	0	8.40709	0	36.936	46.61823	42.12809	0	0	0	0	0	0	0	0	0	0	0.45022	0	0	0	0.00276	0.04389	0	0.02056	1.30325	1.7233	25.62766	0	1.91588	0.45764	0.16429	1.64794	7.04241	0	0.06754	4.23529	2.42104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.00905	0	0	0	0	0	0	0	0	0	0	0	8.47335	0	2.57263	0	27.69774	0	0	0	0	0	0	39.57678	5.25134	1.59719	11.93778	10.22987	13.14716	10.57161
k__Archaea|p__Euryarchaeota	2157|28890	0	0	0	0	0	0	26.01598	29.5137	0	0	0	0	0.10291	0	0	0	0	0	0	0	0	0	8.40709	0	36.936	46.61823	42.12809	0	0	0	0	0	0	0	0	0	0	0.45022	0	0	0	0.00276	0.04389	0	0.02056	1.30325	1.7233	25.62766	0	1.91588	0.45764	0.16429	1.64794	7.04241	0	0.06754	4.23529	2.42104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.00905	0	0	0	0	0	0	0	0	0	0	0	8.47335	0	2.57263	0	27.69774	0	0	0	0	0	0	39.57678	5.25134	1.59719	11.93778	10.22987	13.14716	10.57161
k__Archaea|p__Euryarchaeota|c__Halobacteria	2157|28890|183963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.57161
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	2157|28890|183963|2235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.57161
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halococcaceae	2157|28890|183963|2235|1963270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.57161
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halococcaceae|g__Halococcus	2157|28890|183963|2235|1963270|2249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.57161
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halococcaceae|g__Halococcus|s__Halococcus_salifodinae	2157|28890|183963|2235|1963270|2249|36738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.57161
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	0	0	0	0	0	26.01598	29.5137	0	0	0	0	0.10291	0	0	0	0	0	0	0	0	0	8.40709	0	36.936	46.61823	42.12809	0	0	0	0	0	0	0	0	0	0	0.45022	0	0	0	0.00276	0.04389	0	0.02056	1.30325	1.7233	25.62766	0	1.91588	0.45764	0.16429	1.64794	7.04241	0	0.06754	4.23529	2.42104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.00905	0	0	0	0	0	0	0	0	0	0	0	8.47335	0	2.57263	0	27.69774	0	0	0	0	0	0	39.57678	5.25134	1.59719	11.93778	10.22987	13.14716	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	0	0	0	0	26.01598	29.5137	0	0	0	0	0.10291	0	0	0	0	0	0	0	0	0	8.40709	0	36.936	46.61823	42.12809	0	0	0	0	0	0	0	0	0	0	0.45022	0	0	0	0.00276	0.04389	0	0.02056	1.30325	1.7233	25.62766	0	1.91588	0.45764	0.16429	1.64794	7.04241	0	0.06754	4.23529	2.42104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.00905	0	0	0	0	0	0	0	0	0	0	0	8.47335	0	2.57263	0	27.69774	0	0	0	0	0	0	39.57678	5.25134	1.59719	11.93778	10.22987	13.14716	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	0	0	0	0	26.01598	29.5137	0	0	0	0	0.10291	0	0	0	0	0	0	0	0	0	8.40709	0	36.936	46.61823	42.12809	0	0	0	0	0	0	0	0	0	0	0.45022	0	0	0	0.00276	0.04389	0	0.02056	1.30325	1.7233	25.62766	0	1.91588	0.45764	0.16429	1.64794	7.04241	0	0.06754	4.23529	2.42104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.00905	0	0	0	0	0	0	0	0	0	0	0	8.47335	0	2.57263	0	27.69774	0	0	0	0	0	0	39.57678	5.25134	1.59719	11.93778	10.22987	13.14716	0
