#mpa_v30_CHOCOPhlAn_201901
clade_name	clade_taxid	SIG026.A0101.metaphlan.profile	SIG025.A0101.metaphlan.profile	SIG024.A0101.metaphlan.profile	SIG021.A0101.metaphlan.profile	SIG018.A0101.metaphlan.profile	SIG010.A0101.metaphlan.profile	SIG005.A0101.metaphlan.profile	SIG004.A0101.metaphlan.profile	SIG002.A0101.metaphlan.profile	SIG001.A0101.metaphlan.profile	KRA011.C0201.metaphlan.profile	KRA011.C0101.metaphlan.profile	KRA010.C0201.metaphlan.profile	KRA010.C0101.metaphlan.profile	KRA008.C0201.metaphlan.profile	KRA008.C0101.metaphlan.profile	KRA007.C0201.metaphlan.profile	KRA007.C0101.metaphlan.profile	KRA006.C0201.metaphlan.profile	KRA006.C0101.metaphlan.profile	KRA005.C0201.metaphlan.profile	KRA005.C0101.metaphlan.profile	KRA004.C0201.metaphlan.profile	KRA004.C0101.metaphlan.profile	KRA003.C0201.metaphlan.profile	KRA003.C0101.metaphlan.profile	KRA002.C0201.metaphlan.profile	KRA002.C0101.metaphlan.profile	KRA001.C0202.metaphlan.profile	KRA001.C0102.metaphlan.profile	ARS017.A0101.metaphlan.profile	ARS015.A0101.metaphlan.profile	ARS013.A0101.metaphlan.profile	ARS012.A0101.metaphlan.profile	ARS011.A0101.metaphlan.profile	ARS010.A0101.metaphlan.profile	ARS006.A0101.metaphlan.profile	ARS005.A0101.metaphlan.profile	ARS004.A0101.metaphlan.profile	ARS001.A0101.metaphlan.profile	NMU089.A0101.metaphlan.profile	NMU067.A0101.metaphlan.profile	NMU065.A0101.metaphlan.profile	NMU059.A0101.metaphlan.profile	NMU047.A0101.metaphlan.profile	NMU021.A0101.metaphlan.profile	NMU020.A0101.metaphlan.profile	NMU014.A0101.metaphlan.profile	NMU009.A0101.metaphlan.profile	NMU001.A0101.metaphlan.profile
k__Archaea	2157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7722	4.31032	27.64424	0	95.77067	0	0	0	0	0	48.42611	0	69.85866	0	45.32604	1.14285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota	2157|651137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7722	4.31032	27.64424	0	95.77067	0	0	0	0	0	48.42611	0	69.85866	0	45.32604	1.14285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7722	4.31032	27.64424	0	95.77067	0	0	0	0	0	48.42611	0	69.85866	0	45.32604	1.14285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7722	4.31032	27.64424	0	95.77067	0	0	0	0	0	48.42611	0	69.85866	0	45.32604	1.14285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified	2157|651137|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7722	4.31032	27.64424	0	95.77067	0	0	0	0	0	48.42611	0	69.85866	0	45.32604	1.14285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified	2157|651137||||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7722	4.31032	27.64424	0	95.77067	0	0	0	0	0	48.42611	0	69.85866	0	45.32604	1.14285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified|s__Thaumarchaeota_archaeon_CSP1_1	2157|651137|||||1640512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7722	4.31032	27.64424	0	95.77067	0	0	0	0	0	48.42611	0	69.85866	0	45.32604	1.14285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	0	100.0	100.0	96.2278	95.68968	72.35576	0	4.22933	0	0	100.0	100.0	100.0	51.57389	0	30.14134	0	54.67396	98.85715	100.0	100.0	100.0	0	0	100.0	100.0	0	100.0	0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Actinobacteria	2|201174	22.55307	43.46535	32.5956	22.39093	13.03478	27.24809	22.76182	17.52458	15.07098	28.83541	49.46662	0	3.69244	26.47955	0.33403	1.83417	26.21064	0	0	0	0	35.79602	11.20667	88.26491	26.89871	0	12.25754	0	18.84507	64.48048	62.59696	67.0492	52.56924	0	0	57.68282	66.42664	0	75.08706	0	26.54017	24.11421	21.42753	26.42675	26.37254	23.5192	26.27157	19.34319	26.10245	31.17119
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0	0	0	0	0	0	0	0	0	0	0	0	0.30605	0.37619	0.03448	1.83417	16.32137	0	0	0	0	0	10.53937	82.24794	0	0	3.70803	0	10.5707	48.68062	4.55143	3.68404	4.16664	0	0	1.2287	6.18477	0	1.68017	0	0	1.59782	0	0	0	0	0.94315	0	0	2.55252
