LibraryID	LibraryID2	SampleID	ArchID_burial	Type	Island	Site	Age_BP	Age_mean	Lab	Lat	Long
EXB037.A2901	EXB037.A2901	NA	NA	blank	NA	NA	NA	NA	Jena	NA	NA
EXB037.A3001	EXB037.A3001	NA	NA	blank	NA	NA	NA	NA	Jena	NA	NA
EXB037.A3101	EXB037.A3101	RN-N	NA	blank	NA	NA	NA	NA	Oklahoma	NA	NA
EXB037.A3201	EXB037.A3201	NRN-N	NA	blank	NA	NA	NA	NA	Oklahoma	NA	NA
EXB037.A3301	EXB037.A3301	NA	NA	blank	NA	NA	NA	NA	Jena	NA	NA
EXB037.A3401	EXB037.A3401	NA	NA	blank	NA	NA	NA	NA	Jena	NA	NA
HCLVMBCX2-3505-13-00-01_S13	HCLVMBCX2-3505-13-00-01.S13	S13	NA	blank	NA	NA	0	0	Otago	NA	NA
HCLVMBCX2-3505-19-00-01_S19	HCLVMBCX2-3505-19-00-01.S19	S19	NA	blank	NA	NA	0	0	Otago	NA	NA
HCLVMBCX2-3505-32-00-01_S32	HCLVMBCX2-3505-32-00-01.S32	S32	NA	blank	NA	NA	0	0	Otago	NA	NA
LIB027.A0136	LIB027.A0136	NA	NA	blank	NA	NA	NA	NA	Jena	NA	NA
LIB030.A0112	LIB030.A0112	NA	NA	blank	NA	NA	NA	NA	Jena	NA	NA
LIB030.A0113	LIB030.A0113	NA	NA	blank	NA	NA	NA	NA	Jena	NA	NA
LIB030.A0114	LIB030.A0114	NA	NA	blank	NA	NA	NA	NA	Jena	NA	NA
LIB030.A0115	LIB030.A0115	NA	NA	blank	NA	NA	NA	NA	Jena	NA	NA
NMU001.A0101.SG1.1	NMU001.A0101.SG1.1		NA	bone	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU009.A0101.SG1.1	NMU009.A0101.SG1.1		NA	bone	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU014.A0101.SG1.1	NMU014.A0101.SG1.1		NA	bone	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU020.A0101.SG1.1	NMU020.A0101.SG1.1		NA	bone	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU021.A0101.SG1.1	NMU021.A0101.SG1.1		NA	bone	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU047.A0101.SG1.1	NMU047.A0101.SG1.1		NA	bone	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU059.A0101.SG1.1	NMU059.A0101.SG1.1		NA	bone	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU065.A0101.SG1.1	NMU065.A0101.SG1.1		NA	bone	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU067.A0101.SG1.1	NMU067.A0101.SG1.1		NA	bone	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
NMU089.A0101.SG1.1	NMU089.A0101.SG1.1		NA	bone	Taumako_Duff_Islands	Namu	675-295	485	Jena	-9.8778	167.1772
SIG001.A0101.SG1.1	SIG001.A0101.SG1.1		NA	bone	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
SIG002.A0101.SG1.1	SIG002.A0101.SG1.1		NA	bone	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
SIG004.A0101.SG1.1	SIG004.A0101.SG1.1		NA	bone	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
SIG005.A0101.SG1.1	SIG005.A0101.SG1.1		NA	bone	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
SIG010.A0101.SG1.1	SIG010.A0101.SG1.1		NA	bone	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
SIG018.A0101.SG1.1	SIG018.A0101.SG1.1		NA	bone	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
SIG021.A0101.SG1.1	SIG021.A0101.SG1.1		NA	bone	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
SIG024.A0101.SG1.1	SIG024.A0101.SG1.1		NA	bone	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
SIG025.A0101.SG1.1	SIG025.A0101.SG1.1		NA	bone	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
SIG026.A0101.SG1.1	SIG026.A0101.SG1.1		NA	bone	Viti_Levu	Sigatoka_Dunes	1700-1300	1500	Oklahoma	-18.1421	177.5077
AHK001.A0101	AHK001.A0101	AHK001	RN50	calculus	Rapa_Nui	Akahanga_Karava	620-80	350	Oklahoma	-27.105794	-109.363193
AKI001.A0101	AKI001.A0101	AKI001	RN14	calculus	Rapa_Nui	Ahu_Kihi_Kihi_Rau_Mea	620-80	350	Oklahoma	-27.105794	-109.363193
AKI002.A0101	AKI002.A0101	AKI002	RN28	calculus	Rapa_Nui	Ahu_Kihi_Kihi_Rau_Mea	620-80	350	Oklahoma	-27.105794	-109.363193
AMH001.A0101	AMH001.A0101	AMH001	RN20	calculus	Rapa_Nui	Ahu_Mahatua	620-80	350	Oklahoma	-27.105794	-109.363193
AMH002.A0101	AMH002.A0101	AMH002	RN30	calculus	Rapa_Nui	Ahu_Mahatua	620-80	350	Oklahoma	-27.105794	-109.363193
AMH003.A0101	AMH003.A0101	AMH003	RN36	calculus	Rapa_Nui	Ahu_Mahatua	620-80	350	Oklahoma	-27.105794	-109.363193
AMH004.A0101	AMH004.A0101	AMH004	RN39	calculus	Rapa_Nui	Ahu_Mahatua	620-80	350	Oklahoma	-27.105794	-109.363193
ANK001.A0101	ANK001.A0101	ANK001	RN58	calculus	Rapa_Nui	Ana_Koe_Hoko	620-80	350	Oklahoma	-27.105794	-109.363193
ANN001.A0101	ANN001.A0101	ANN001	RN70	calculus	Rapa_Nui	Ahu_Nau_Nau	620-80	350	Oklahoma	-27.105794	-109.363193
ANN002.A0101	ANN002.A0101	ANN002	RN93	calculus	Rapa_Nui	Ahu_Nau_Nau	620-80	350	Oklahoma	-27.105794	-109.363193
ANN003.A0101	ANN003.A0101	ANN003	RN09_NRN_1	calculus	Rapa_Nui	Ahu_Nau_Nau	620-80	350	Oklahoma	-27.105794	-109.363193
ANN004.A0101	ANN004.A0101	ANN004	RN91_NRN_2	calculus	Rapa_Nui	Ahu_Nau_Nau	620-80	350	Oklahoma	-27.105794	-109.363193
AON001.A0101	AON001.A0101	AON001	RN65	calculus	Rapa_Nui	Ahu_Onero	620-80	350	Oklahoma	-27.105794	-109.363193
AON002.A0101	AON002.A0101	AON002	RN66	calculus	Rapa_Nui	Ahu_Onero	620-80	350	Oklahoma	-27.105794	-109.363193
ATT001.A0101	ATT001.A0101	ATT001	RN02	calculus	Rapa_Nui	Ahu_Tautira	620-80	350	Oklahoma	-27.105794	-109.363193
ATT002.A0101	ATT002.A0101	ATT002	RNAT_NRN_5	calculus	Rapa_Nui	Ahu_Tautira	620-80	350	Oklahoma	-27.105794	-109.363193
EFE002.B0101	EFE002.B0101	EFE002	Mangaliliu_TP3	calculus	Efate	Mangaliliu	NA	NA	Jena	-17.6358	168.2048
EFE003.B0101	EFE003.B0101	EFE003	Pangpang	calculus	Efate	Pangpang	990-152	NA	Jena	-17.6747	168.5449
EFE004.B0101	EFE004.B0101	EFE004	Banana Bay	calculus	Efate	Banana Bay	NA	NA	Jena	-17.7994	168.5396
EFE005.B0101	EFE005.B0101	EFE005	Banana Bay	calculus	Efate	Banana Bay	990-152	NA	Jena	-17.7994	168.5396
EFE006.B0101	EFE006.B0101	EFE006	Banana Bay	calculus	Efate	Banana Bay	NA	NA	Jena	-17.7994	168.5396
FUT018.B0101	FUT018.B0101	FUT018	Furs 2, TR1 24-30"	calculus	Futuna	Vanuatu	1100	NA	Jena	-19.5116	170.23
