#Datasets	EXB037.A3001.unmapped	EXB037.A3201.unmapped	EXB037.A3401.unmapped	LIB030.A0115.unmapped	EXB037.A3101.unmapped	LIB027.A0136.unmapped	LIB030.A0112.unmapped	LIB030.A0113.unmapped	LIB030.A0114.unmapped	EXB037.A2901.unmapped	EXB037.A3301.unmapped
"Acidobacterium"	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Terriglobus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0
"Geothrix"	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Luteitalea"	0.0	57.0	0.0	0.0	0.0	1.0	22.0	0.0	0.0	0.0	0.0
"Salinibacter"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
"Bacteroides"	89.0	90.0	28.0	21.0	319.0	0.0	74.0	24.0	50.0	49.0	92.0
"Phocaeicola"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	475.0	163.0	0.0	0.0
"Dysgonomonas"	0.0	0.0	0.0	15.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
"Porphyromonas"	127.0	35.0	0.0	16.0	847.0	0.0	11.0	26.0	90.0	77.0	159.0
"Alloprevotella"	0.0	0.0	0.0	0.0	134.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella"	659.0	144.0	43.0	65.0	4164.0	0.0	56.0	24.0	49.0	204.0	528.0
"Alistipes"	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0
"Parabacteroides"	0.0	19.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0
"Tannerella"	0.0	0.0	0.0	17.0	1438.0	0.0	15.0	288.0	315.0	72.0	140.0
"Arachidicoccus"	60.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
"Asinibacterium"	2164.0	60.0	284.0	0.0	178.0	0.0	34.0	15.0	36.0	294.0	1521.0
"Chitinophaga"	164.0	38.0	24.0	0.0	115.0	0.0	13.0	6.0	52.0	36.0	143.0
"Filimonas"	117.0	0.0	20.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	95.0
"Flavisolibacter"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0
"Hydrotalea"	3428.0	0.0	351.0	0.0	0.0	0.0	0.0	0.0	38.0	40.0	2152.0
"Niabella"	60.0	0.0	14.0	0.0	0.0	0.0	13.0	0.0	18.0	0.0	0.0
"Niastella"	56.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0
"Sediminibacterium"	249.0	49.0	29.0	0.0	166.0	0.0	14.0	16.0	81.0	72.0	235.0
"Segetibacter"	46.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0
"Taibaiella"	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Terrimonas"	90.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0
"Algoriphagus"	0.0	39.0	0.0	0.0	171.0	0.0	21.0	0.0	44.0	0.0	0.0
"Belliella"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0
"Arcicella"	0.0	0.0	0.0	0.0	167.0	0.0	0.0	9.0	40.0	0.0	0.0
"Cytophaga"	0.0	42.0	0.0	0.0	1667.0	0.0	14.0	0.0	0.0	0.0	0.0
"Dyadobacter"	0.0	0.0	0.0	0.0	0.0	1.0	25.0	8.0	0.0	0.0	0.0
"Emticicia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0
"Flexibacter"	0.0	0.0	0.0	0.0	0.0	0.0	24.0	13.0	40.0	0.0	0.0
"Ohtaekwangia"	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Runella"	164.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	203.0
"Spirosoma"	127.0	0.0	10.0	0.0	165.0	0.0	36.0	0.0	0.0	34.0	195.0
"Sporocytophaga"	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	29.0	0.0	0.0
"Hymenobacter"	147.0	39.0	19.0	45.0	844.0	0.0	72.0	19.0	43.0	88.0	200.0
"Pontibacter"	0.0	19.0	0.0	11.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0
"Rufibacter"	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Fluviicola"	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Algibacter"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
"Aquimarina"	0.0	34.0	0.0	0.0	0.0	0.0	15.0	8.0	37.0	0.0	0.0
"Bizionia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0
"Capnocytophaga"	109.0	25.0	0.0	19.0	328.0	0.0	10.0	27.0	20.0	0.0	128.0
"Cellulophaga"	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0
"Chryseobacterium"	209.0	116.0	36.0	56.0	519.0	0.0	148.0	33.0	99.0	123.0	446.0
"Cloacibacterium"	257.0	41.0	0.0	32.0	552.0	0.0	16.0	21.0	72.0	56.0	473.0
"Elizabethkingia"	110.0	46.0	25.0	103.0	0.0	0.0	38.0	8.0	100.0	32.0	153.0
"Flavivirga"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
"Flavobacterium"	2285.0	3965.0	169.0	135.0	7137.0	2.0	3675.0	1817.0	6725.0	3066.0	632.0
"Formosa"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	17.0	0.0	0.0
"Lacinutrix"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0
"Lutibacter"	0.0	21.0	0.0	0.0	0.0	0.0	0.0	13.0	44.0	0.0	0.0
"Maribacter"	0.0	0.0	0.0	0.0	0.0	0.0	28.0	8.0	42.0	0.0	0.0
"Mesonia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0
"Myroides"	0.0	19.0	0.0	0.0	0.0	0.0	10.0	12.0	44.0	0.0	0.0
"Olleya"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	42.0	0.0	0.0
"Polaribacter"	0.0	68.0	0.0	0.0	108.0	0.0	30.0	15.0	67.0	35.0	0.0
"Psychroflexus"	0.0	0.0	0.0	0.0	0.0	0.0	12.0	8.0	0.0	0.0	0.0
"Tenacibaculum"	145.0	218.0	337.0	75.0	334.0	0.0	186.0	115.0	567.0	170.0	70.0
"Wenyingzhuangia"	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0
"Winogradskyella"	0.0	0.0	0.0	0.0	0.0	0.0	16.0	6.0	24.0	0.0	0.0
"Mucilaginibacter"	1078.0	28.0	219.0	0.0	124.0	0.0	120.0	18.0	33.0	89.0	1148.0
"Pedobacter"	358.0	106.0	69.0	33.0	517.0	0.0	93.0	31.0	114.0	142.0	565.0
"Sphingobacterium"	49.0	35.0	0.0	0.0	0.0	0.0	28.0	26.0	17.0	66.0	285.0
"Candidatus Kryptobacter"	0.0	0.0	0.0	0.0	0.0	0.0	117.0	16.0	45.0	39.0	0.0
"Candidatus Kryptonium"	2341.0	777.0	1388.0	327.0	1210.0	0.0	5633.0	382.0	3637.0	942.0	1195.0
"Gemmatirosa"	0.0	23.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
"Fusobacterium"	55.0	0.0	0.0	0.0	434.0	0.0	0.0	23.0	0.0	37.0	77.0
"Leptotrichia"	0.0	0.0	0.0	0.0	702.0	0.0	11.0	0.0	0.0	52.0	63.0
"Streptobacillus"	63.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	44.0	70.0
"Nitrospira"	179.0	78.0	31.0	74.0	132.0	0.0	25.0	12.0	65.0	187.0	291.0
"Phreatobacter"	852.0	120.0	68.0	38.0	3056.0	0.0	150.0	45.0	247.0	771.0	1365.0
"Polymorphum"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	65.0
"Asticcacaulis"	291.0	44.0	15.0	9.0	157.0	0.0	0.0	0.0	87.0	30.0	85.0
"Brevundimonas"	2432.0	748.0	647.0	108.0	1847.0	0.0	230.0	195.0	312.0	1987.0	3336.0
"Caulobacter"	1536.0	423.0	223.0	115.0	2881.0	1.0	275.0	130.0	285.0	649.0	1165.0
"Phenylobacterium"	279.0	128.0	25.0	51.0	275.0	0.0	66.0	25.0	130.0	156.0	188.0
"Parvularcula"	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0
"Candidatus Pelagibacter"	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
"Aurantimonas"	0.0	0.0	0.0	0.0	156.0	0.0	11.0	0.0	0.0	0.0	0.0
"Aureimonas"	55.0	26.0	13.0	0.0	299.0	0.0	0.0	0.0	25.0	29.0	69.0
"Martelella"	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Bartonella"	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0
"Methylovirgula"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0
"Rhodoblastus"	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
"Afipia"	2270.0	684.0	246.0	334.0	1063.0	0.0	195.0	51.0	269.0	1217.0	3107.0
"Bosea"	5923.0	439.0	81.0	47.0	835.0	0.0	76.0	49.0	109.0	5771.0	10316.0
"Bradyrhizobium"	45833.0	2606.0	2894.0	1196.0	3815.0	1.0	2712.0	308.0	1602.0	20689.0	46423.0
"Nitrobacter"	215.0	86.0	16.0	15.0	0.0	0.0	21.0	0.0	18.0	93.0	188.0
"Oligotropha"	191.0	29.0	31.0	17.0	0.0	0.0	0.0	0.0	0.0	195.0	109.0
"Rhodopseudomonas"	1185.0	207.0	81.0	78.0	480.0	1.0	117.0	48.0	155.0	720.0	1149.0
"Tardiphaga"	521.0	151.0	34.0	46.0	135.0	0.0	47.0	27.0	47.0	293.0	451.0
"Variibacter"	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Brucella"	920.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	834.0	1529.0
"Mycoplana"	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	176.0
"Ochrobactrum"	13371.0	81.0	74.0	23.0	0.0	0.0	27.0	0.0	58.0	13328.0	24516.0
