#Datasets	EXB037.A3001.unmapped	EXB037.A3201.unmapped	EXB037.A3401.unmapped	LIB030.A0115.unmapped	EXB037.A3101.unmapped	LIB027.A0136.unmapped	LIB030.A0112.unmapped	LIB030.A0113.unmapped	LIB030.A0114.unmapped	EXB037.A2901.unmapped	EXB037.A3301.unmapped
"Acidobacterium capsulatum"	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Terriglobus roseus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0
"Geothrix fermentans"	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Luteitalea pratensis"	0.0	57.0	0.0	0.0	0.0	1.0	22.0	0.0	0.0	0.0	0.0
"Candidatus Saccharibacteria oral taxon TM7x"	0.0	0.0	0.0	21.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0
"Salinibacter ruber"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
"Phocaeicola abscessus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	475.0	163.0	0.0	0.0
"Dysgonomonas capnocytophagoides"	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas gingivalis"	0.0	0.0	0.0	0.0	573.0	0.0	0.0	25.0	73.0	0.0	95.0
"Porphyromonas sp. HMSC065F10"	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Porphyromonas sp. oral taxon 278"	0.0	0.0	0.0	0.0	202.0	0.0	0.0	0.0	0.0	0.0	0.0
"Alloprevotella tannerae"	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella bivia"	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella conceptionensis"	0.0	0.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella copri"	0.0	41.0	0.0	16.0	207.0	0.0	15.0	0.0	0.0	0.0	0.0
"Prevotella denticola"	0.0	0.0	0.0	0.0	134.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella intermedia"	0.0	0.0	0.0	0.0	591.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella maculosa"	0.0	0.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella melaninogenica"	0.0	0.0	0.0	0.0	310.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella micans"	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella multiformis"	0.0	0.0	0.0	0.0	255.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella multisaccharivorax"	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella nigrescens"	123.0	0.0	0.0	0.0	291.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella oulorum"	0.0	0.0	0.0	0.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella pallens"	0.0	0.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella saccharolytica"	0.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella timonensis"	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	73.0
"Prevotella sp. HMSC073D09"	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella sp. oral taxon 317"	0.0	0.0	0.0	0.0	137.0	0.0	0.0	0.0	0.0	0.0	0.0
"Parabacteroides merdae"	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
"Tannerella forsythia"	0.0	0.0	0.0	0.0	117.0	0.0	15.0	286.0	315.0	69.0	80.0
"Tannerella sp. oral taxon HOT-286"	0.0	0.0	0.0	12.0	1317.0	0.0	0.0	0.0	0.0	0.0	0.0
"Asinibacterium sp. OR43"	685.0	0.0	75.0	0.0	0.0	0.0	0.0	6.0	0.0	106.0	488.0
"Asinibacterium sp. OR53"	810.0	53.0	126.0	0.0	153.0	0.0	27.0	8.0	34.0	98.0	548.0
"Chitinophaga arvensicola"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0
"Filimonas lacunae"	0.0	0.0	16.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
"Hydrotalea sandarakina"	3428.0	0.0	351.0	0.0	0.0	0.0	0.0	0.0	38.0	40.0	2152.0
