#Datasets	SIG040.A0101.unmapped	FUT024.B0101.unmapped	NMU129.A0101.unmapped	NMU118.A0101.unmapped	HCLVMBCX2-3505-09-00-01_S9.unmapped	NMU119.A0101.unmapped	PAH002.A0101.unmapped	SIG041.A0101.unmapped	TON001.C0101.unmapped	NMU131.A0101.unmapped	NMU128.A0101.unmapped	AKI002.A0101.unmapped	TAP001.B0101.unmapped	PAH003.A0101.unmapped	HCLVMBCX2-3505-10-00-01_S10.unmapped	HCLVMBCX2-3505-15-00-01_S15.unmapped	HCLVMBCX2-3505-22-00-01_S22.unmapped	SIG038.A0101.unmapped	SIG042.A0101.unmapped	SIG039.A0101.unmapped	HCLVMBCX2-3505-27-00-01_S27.unmapped	AKI001.A0101.unmapped	HCLVMBCX2-3505-19-00-01_S19.unmapped	TON007.B0101.unmapped	NMU127.A0101.unmapped	HCLVMBCX2-3505-24-00-01_S24.unmapped	SIG032.A0101.unmapped	ANN001.A0101.unmapped	NMU116.A0101.unmapped	HCLVMBCX2-3505-21-00-01_S21.unmapped	NMU117.A0101.unmapped	HCLVMBCX2-3505-28-00-01_S28.unmapped	HCLVMBCX2-3505-33-00-01_S33.unmapped	NMU126.A0101.unmapped	SIG031.A0101.unmapped	AMH004.A0101.unmapped	RAP002.A0101.unmapped	HCLVMBCX2-3505-16-00-01_S16.unmapped	HCLVMBCX2-3505-13-00-01_S13.unmapped	HCLVMBCX2-3505-25-00-01_S25.unmapped	NMU124.A0101.unmapped	RAP001.A0101.unmapped	EFE002.B0101.unmapped	SIG034.A0101.unmapped	FUT018.B0101.unmapped	AMH003.A0101.unmapped	HCLVMBCX2-3505-18-00-01_S18.unmapped	HCLVMBCX2-3505-20-00-01_S20.unmapped	HCLVMBCX2-3505-32-00-01_S32.unmapped	PAH001.A0102.unmapped	SIG046.A0101.unmapped	AON001.A0101.unmapped	SIG035.A0101.unmapped	TON005.B0101.unmapped	ANN003.A0101.unmapped	NMU125.A0101.unmapped	SIG033.A0101.unmapped	AMH002.A0101.unmapped	NMU123.A0101.unmapped	ANN002.A0101.unmapped	HCLVMBCX2-3505-17-00-01_S17.unmapped	HCLVMBCX2-3505-29-00-01_S29.unmapped	SIG040.A0201.unmapped	NMU115.A0101.unmapped	HCLVMBCX2-3505-12-00-01_S12.unmapped	SIG047.A0101.unmapped	TON006.B0101.unmapped	EFE003.B0101.unmapped	SIG037.A0101.unmapped	EFE005.B0101.unmapped	AMH001.A0101.unmapped	ATT002.A0101.unmapped	AHK001.A0101.unmapped	SIG043.A0101.unmapped	SIG046.A0201.unmapped	HCLVMBCX2-3505-31-00-01_S31.unmapped	NMU122.A0101.unmapped	ATT001.A0101.unmapped	HCLVMBCX2-3505-26-00-01_S26.unmapped	FUT021.B0101.unmapped	EFE004.B0101.unmapped	HCLVMBCX2-3505-14-00-01_S14.unmapped	HCLVMBCX2-3505-03-00-01_S3.unmapped	NMU120.A0101.unmapped	SIG044.A0101.unmapped	HCLVMBCX2-3505-02-00-01_S2.unmapped	HCLVMBCX2-3505-01-00-01_S1.unmapped	ANK001.A0101.unmapped	EFE006.B0101.unmapped	TON003.B0101.unmapped	HCLVMBCX2-3505-08-00-01_S8.unmapped	HCLVMBCX2-3505-07-00-01_S7.unmapped	HCLVMBCX2-3505-11-00-01_S11.unmapped	TON004.B0101.unmapped	NMU121.A0101.unmapped	SIG045.A0101.unmapped	ANN004.A0101.unmapped	HCLVMBCX2-3505-06-00-01_S6.unmapped	NMU130.A0101.unmapped	HCLVMBCX2-3505-05-00-01_S5.unmapped	AON002.A0101.unmapped	SIG036.A0101.unmapped	TAP003.B0101.unmapped	HCLVMBCX2-3505-04-00-01_S4.unmapped	HCLVMBCX2-3505-23-00-01_S23.unmapped
Acidobacteria bacterium Mor1	389	0	0	0	0	0	0	966	270	496	0	0	0	234	0	0	0	457	594	345	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	335	0	0	0	81	0	0	0	311	0	0	0	0	0	0	0	0	0	502	0	0	304	0	0	791	0	0	0	198	0	883	0	0	0	0	0	0	0	0	0	352	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	653	0	256	0
Acidobacterium capsulatum	245	0	0	0	0	0	0	472	244	226	0	0	0	0	0	0	0	251	246	251	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	425	0	0	0	0	0	498	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	118	0
Candidatus Koribacter versatilis	300	0	0	0	0	0	0	676	262	372	0	0	0	0	0	0	0	298	317	284	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	164	0	0	0	769	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	519	0	0	0	0	0	719	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	566	0	201	0
Granulicella mallensis	201	0	0	0	0	0	0	385	0	163	0	0	0	0	0	0	0	163	190	147	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	119	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	264	0	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	137	0
Granulicella tundricola	154	0	0	0	0	0	0	239	0	114	0	0	0	0	0	0	0	107	149	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	177	0	0	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0
Terriglobus roseus	180	0	0	0	0	0	0	292	0	154	0	0	0	0	0	0	0	156	157	158	0	0	0	0	0	140	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	281	0	0	0	61	0	371	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	114	0
Terriglobus saanensis	76	0	0	0	0	0	0	172	0	85	0	0	0	0	0	0	0	61	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0
Candidatus Solibacter usitatus	659	0	0	0	0	0	0	1106	362	386	0	0	0	217	0	0	0	708	515	485	0	857	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	100	0	0	0	565	642	0	0	0	258	0	0	0	507	0	0	0	0	0	0	0	0	0	830	0	0	389	0	0	1326	0	0	0	64	0	1297	0	0	0	0	0	0	0	0	0	561	0	0	229	0	0	328	0	0	0	0	0	0	0	0	0	235	1234	0	404	0
Chloracidobacterium thermophilum	225	0	0	0	0	0	0	267	0	100	0	0	0	0	0	0	0	132	0	141	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	274	0	0	0	69	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0
uncultured Acidobacteria bacterium	359	0	0	0	0	0	0	575	0	197	0	0	0	0	0	0	0	266	294	276	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	130	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0	0	0	0	0	473	0	0	0	0	0	483	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	574	0	0	0
