#OTU ID	EXB037.A2901	EXB037.A3001	EXB037.A3101	EXB037.A3201	EXB037.A3301	EXB037.A3401	HCLVMBCX2-3505-13-00-01_S13	HCLVMBCX2-3505-19-00-01_S19	HCLVMBCX2-3505-32-00-01_S32	LIB030.A0112	LIB030.A0113	LIB030.A0114	LIB030.A0115
[Eubacterium] brachy	0	0	0	0	0	0	0	0	0	0	30	0	0
[Eubacterium] infirmum	0	0	17	0	0	0	0	0	0	0	13	0	0
[Eubacterium] minutum	37	0	0	0	21	0	622	30	20	39	4725	363	14
[Eubacterium] saphenum	0	0	15	0	0	0	8	0	0	0	38	41	0
[Eubacterium] sulci	0	0	0	0	0	0	0	0	0	0	4	0	0
[Eubacterium] yurii	0	0	0	0	0	0	0	0	0	0	5	0	0
[Polyangium] brachysporum	0	0	0	0	6	0	0	14	0	8	0	0	0
[Pseudomonas] mesoacidophila	0	0	278	26	48	0	0	0	0	10	0	11	291
Abiotrophia sp. HMSC24B09	0	0	0	0	0	0	0	0	0	6	0	0	0
Achromobacter insolitus	8	10	0	0	10	0	0	0	0	9	0	0	0
Achromobacter insuavis	0	18	0	0	14	0	0	0	0	0	4	5	0
Achromobacter piechaudii	9	7	0	5	0	0	0	0	0	0	0	0	0
Achromobacter pulmonis	29	14	0	0	34	0	0	0	0	0	0	0	0
Achromobacter sp. 2789STDY5608615	73	46	0	0	43	0	0	0	0	0	0	0	0
Achromobacter sp. 2789STDY5608621	63	71	0	0	83	22	0	0	0	4	0	5	0
Achromobacter sp. 2789STDY5608625	9	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter sp. 2789STDY5608633	16	14	0	0	15	0	0	0	0	0	0	0	0
Achromobacter sp. AONIH1	36	20	0	0	21	0	0	0	0	0	0	0	0
Achromobacter spanius	0	0	0	0	0	0	0	0	0	3	0	0	0
Achromobacter xylosoxidans	84	72	0	9	137	13	0	23	0	4	0	11	0
Acidibrevibacterium fodinaquatile	0	0	0	0	0	0	0	0	0	7	0	0	0
Acidihalobacter prosperus	0	0	0	0	0	0	0	0	25	0	0	0	0
Acidiphilium multivorum	16	0	0	8	0	74	0	0	0	0	0	0	71
Acidipropionibacterium acidipropionici	0	0	0	0	0	0	7	0	0	0	0	0	0
Acidipropionibacterium thoenii	0	0	0	0	0	0	5	0	0	0	0	0	0
Acidisphaera rubrifaciens	0	0	0	6	0	14	0	0	0	17	0	0	0
Acidobacteriaceae bacterium KBS 83	0	0	0	0	0	0	0	0	11	0	0	0	0
Acidobacteriaceae bacterium URHE0068	0	0	0	0	0	0	0	0	16	0	0	0	0
Acidobacterium capsulatum	0	0	0	0	0	0	0	0	0	0	0	0	4
Acidovorax anthurii	5	7	0	0	8	0	0	0	0	11	0	0	0
Acidovorax avenae	12	12	0	8	17	16	0	31	0	11	0	0	14
Acidovorax carolinensis	11	23	22	12	31	0	0	70	17	21	20	21	30
Acidovorax cattleyae	0	0	0	0	0	0	0	10	0	4	0	0	0
Acidovorax citrulli	0	0	0	0	12	0	0	0	0	13	0	0	9
Acidovorax defluvii	5	0	13	9	6	0	0	120	7	14	0	8	7
Acidovorax ebreus	9	11	0	0	21	0	0	82	0	20	0	5	0
Acidovorax konjaci	0	0	0	0	17	0	0	0	0	6	0	0	17
Acidovorax sp. GW101-3H11	19	13	62	9	7	0	0	83	0	24	14	39	0
Acidovorax sp. JHL-9	11	10	11	8	21	0	0	23	0	3	19	25	14
Acidovorax sp. JS42	16	17	12	9	32	0	0	199	15	28	8	21	7
Acidovorax sp. KKS102	36	28	98	30	39	10	0	76	0	70	48	57	36
Acidovorax sp. Leaf191	0	0	11	0	10	0	0	21	0	6	0	0	9
Acidovorax sp. Leaf78	0	0	16	3	17	0	0	15	0	9	6	0	11
Acidovorax sp. MR-S7	51	26	14	10	40	0	0	53	0	0	0	0	8
Acidovorax sp. RAC01	11	0	17	0	12	0	0	47	0	0	15	13	3
Acidovorax sp. Root217	0	0	12	0	0	0	0	17	0	0	0	0	12
Acidovorax sp. Root219	0	0	12	10	12	0	0	37	0	0	0	0	11
Acidovorax sp. Root267	0	0	0	0	0	0	0	41	0	8	8	0	0
Acidovorax sp. Root275	0	0	0	8	0	0	0	26	0	2	0	7	0
Acidovorax sp. Root402	0	0	30	0	0	0	0	24	0	18	14	13	7
Acidovorax sp. Root568	10	0	30	11	0	0	0	45	0	25	7	10	0
Acidovorax sp. T1	24	9	16	18	11	0	0	55	0	32	28	21	5
Acidovorax valerianellae	0	0	0	0	21	0	0	11	0	0	0	8	0
Acidovorax wautersii	209	222	11	16	217	0	0	20	0	16	8	0	6
Acinetobacter baumannii	0	64	0	9	7	0	0	39	0	0	0	20	0
Acinetobacter beijerinckii	0	0	0	0	0	0	0	12	0	0	0	0	0
Acinetobacter bereziniae	15	11	0	0	0	0	0	41	0	0	0	0	0
Acinetobacter bohemicus	0	0	0	0	0	0	0	35	0	0	0	0	0
Acinetobacter genomosp. 33YU	0	0	0	0	13	0	0	0	0	0	0	0	0
Acinetobacter guillouiae	26	19	0	0	11	0	0	0	0	0	0	0	0
Acinetobacter gyllenbergii	0	0	0	0	0	0	0	0	0	0	25	0	6
Acinetobacter haemolyticus	0	0	0	0	0	0	0	49	0	0	0	0	0
Acinetobacter indicus	9	0	0	0	14	0	0	63	0	0	0	0	28
Acinetobacter johnsonii	40	35	54	35	28	23	0	49	0	31	59	49	59
Acinetobacter junii	25	0	0	21	19	8	17	4502	82	0	27	29	18
Acinetobacter lwoffii	0	37	14	0	0	7	0	20	0	5	0	8	10
Acinetobacter nosocomialis	0	0	0	0	0	0	0	0	0	7	0	0	13
Acinetobacter parvus	0	0	0	0	0	0	0	33	0	0	0	7	0
Acinetobacter pittii	0	0	0	0	0	14	0	181	0	0	0	0	0
Acinetobacter radioresistens	0	135	0	0	0	0	0	12	0	6	0	0	0
Acinetobacter schindleri	0	0	0	0	0	0	0	17	0	0	0	0	0
Acinetobacter sp. ANC 3862	0	0	0	0	0	0	0	30	0	0	0	0	0
Acinetobacter sp. BMW17	0	9	0	0	0	0	0	0	0	0	0	9	6
Acinetobacter sp. CIP 102637	0	0	0	0	0	0	0	19	0	0	0	0	0
Acinetobacter sp. CIP 110321	0	0	0	0	0	0	0	37	0	0	0	0	0
Acinetobacter sp. NIPH 236	0	0	0	0	0	0	0	8	0	0	0	0	0
Acinetobacter sp. NIPH 284	0	0	0	0	0	0	0	121	0	0	0	0	0
Acinetobacter sp. NIPH 3623	0	0	0	0	0	0	0	13	0	0	0	0	0
Acinetobacter sp. SFC	0	0	0	6	0	0	0	0	0	0	0	0	0
Acinetobacter sp. TTH0-4	0	0	0	0	0	0	0	0	0	8	0	0	0
Acinetobacter sp. WCHA55	0	0	0	0	0	0	0	0	0	0	0	0	9
Acinetobacter sp. WCHAc010034	0	0	0	0	0	0	0	17	0	0	0	0	0
Acinetobacter tjernbergiae	0	0	0	0	0	0	0	6	0	0	0	0	0
Acinetobacter ursingii	0	42	10	7	0	7	0	36	0	18	13	18	0
Acinetobacter venetianus	0	0	0	0	0	0	7	432	29	0	0	0	7
Acinetobacter wuhouensis	0	0	0	0	0	0	0	51	0	0	0	0	0
Actinobacteria bacterium IMCC25003	16	0	57	17	0	0	0	0	0	27	13	31	5
Actinobacteria bacterium IMCC26077	0	0	0	0	0	10	0	0	0	0	0	0	0
Actinobaculum sp. oral taxon 183	0	0	22	0	0	0	1080	0	0	0	0	0	0
Actinokineospora mzabensis	0	0	0	0	0	0	0	0	0	0	0	0	6
Actinomadura amylolytica	0	0	0	0	0	0	0	0	30	0	0	0	0
Actinomadura atramentaria	0	0	0	0	0	0	0	0	9	0	0	0	13
Actinomadura echinospora	0	0	0	0	0	0	0	0	32	0	0	0	15
Actinomadura flavalba	0	0	0	0	0	0	0	0	20	0	0	0	9
Actinomadura madurae	0	0	0	0	0	0	0	0	99	0	0	0	0
Actinomadura meyerae	0	0	0	0	0	0	0	0	28	0	0	0	0
Actinomadura oligospora	0	0	0	0	0	0	0	0	26	0	0	0	0
Actinomadura pelletieri	0	0	0	0	0	0	0	0	19	0	0	0	7
Actinomadura rifamycini	0	0	0	0	0	0	0	0	22	0	0	0	0
Actinomadura sp. CNU-125	0	0	0	0	0	0	0	0	26	0	0	0	4
Actinomadura sp. RB29	0	0	0	0	0	0	0	0	14	0	0	0	0
Actinomadura viridilutea	0	0	0	0	0	0	0	0	34	0	0	0	0
Actinomyces culturomici	0	0	0	0	0	0	0	0	0	0	0	0	12
Actinomyces dentalis	32	8	179	32	26	0	2198	70	41	12	666	70	39
Actinomyces gerencseriae	0	13	6	0	0	0	3274	0	0	5	23	0	0
Actinomyces israelii	18	0	19	0	8	0	57	0	0	48	214	46	0
Actinomyces johnsonii	0	0	69	0	0	0	164	0	0	0	0	0	0
Actinomyces massiliensis	0	64	17	0	0	0	177	0	0	0	0	0	0
Actinomyces naeslundii	8	14	126	15	0	0	1084	0	67	11	20	15	13
Actinomyces oris	19	38	71	12	71	10	307	28	0	0	24	0	14
Actinomyces radicidentis	0	0	0	0	0	0	10	0	0	0	0	0	0
Actinomyces ruminicola	12	0	0	0	0	0	14	0	0	0	0	0	0
Actinomyces slackii	0	0	0	0	0	0	12	0	0	0	0	0	0
Actinomyces sp. HMSC075C01	0	0	0	0	0	0	15	0	0	0	16	0	0
Actinomyces sp. HMSC08A09	0	0	0	0	0	0	8	0	0	0	0	0	0
Actinomyces sp. HPA0247	0	0	0	0	0	0	0	0	0	0	0	0	5
Actinomyces sp. oral taxon 170	0	0	6	0	0	0	112	0	0	0	0	0	0
Actinomyces sp. oral taxon 171	0	0	0	10	0	12	29	0	0	9	37	20	9
Actinomyces sp. oral taxon 178	0	0	0	0	0	0	10	0	0	0	0	0	0
Actinomyces sp. oral taxon 414	16	0	38	0	8	0	2138	47	16	0	241	12	27
Actinomyces sp. oral taxon 448	0	24	0	0	0	0	26	0	0	0	0	0	0
Actinomyces sp. oral taxon 848	0	0	32	0	0	0	52	0	0	0	0	0	0
Actinomyces sp. oral taxon 849	0	0	8	0	0	0	82	0	0	0	0	0	0
Actinomyces sp. oral taxon 877	0	0	18	0	0	0	44	0	0	0	0	0	0
Actinomyces sp. oral taxon 897	0	0	0	0	0	0	0	0	0	0	6	0	0
Actinomyces timonensis	0	0	0	0	0	0	12	0	0	0	0	0	0
Actinomyces urogenitalis	0	0	0	0	0	0	8	0	0	0	0	0	0
Actinomyces viscosus	0	0	0	0	0	0	8	0	0	0	0	0	0
Actinomycetales bacterium	0	0	0	0	0	0	0	0	0	7	0	0	0
Actinomycetospora chiangmaiensis	30	128	0	0	173	56	0	0	0	11	0	0	0
Actinomycetospora cinnamomea	0	0	0	4	0	0	0	0	0	12	0	0	0
Actinoplanes atraurantiacus	0	0	0	0	0	0	0	0	0	6	0	0	0
Actinoplanes derwentensis	0	0	0	0	0	0	0	0	0	0	0	0	12
Actinoplanes globisporus	0	0	0	0	0	0	0	0	10	0	0	0	4
Actinoplanes italicus	0	0	0	0	0	0	0	0	0	7	14	6	0
Actinoplanes lutulentus	0	0	0	0	0	0	0	0	0	0	0	0	8
Actinoplanes regularis	0	0	0	0	0	0	0	0	0	0	0	0	7
Actinoplanes xinjiangensis	0	0	0	0	0	0	0	0	0	0	0	0	13
Actinopolymorpha alba	0	0	0	0	0	0	0	0	5	0	0	0	7
Actinopolymorpha singaporensis	0	0	0	0	0	0	0	0	0	0	0	0	14
Actinotignum timonense	0	0	0	0	0	0	0	0	0	7	75	0	0
Adlercreutzia equolifaciens	0	0	0	0	0	0	0	0	0	0	10	0	0
Aeromicrobium choanae	0	0	12	0	0	0	0	0	0	6	0	0	0
Aeromicrobium marinum	0	0	0	0	0	0	0	0	0	0	0	0	9
Aeromicrobium massiliense	0	0	0	13	0	0	0	0	0	0	0	0	0
Aeromicrobium sp. Root344	0	0	0	0	0	0	0	0	0	0	0	0	5
Aeromicrobium sp. Root472D3	0	0	0	0	0	0	0	0	0	0	0	0	13
Aeromonas caviae	48	26	0	0	25	0	0	0	0	0	0	0	0
Aeromonas media	0	0	5	20	0	0	0	0	0	0	5	0	0
Aeromonas salmonicida	0	0	20	38	0	0	0	25	0	11	0	0	0
Aeromonas veronii	0	0	0	0	0	0	0	0	29	0	0	0	0
Afipia birgiae	44	62	13	55	27	35	0	50	76	35	22	22	13
Afipia broomeae	111	188	20	79	89	69	0	43	97	24	14	16	175
