#OTU ID	AHK001.A0101	AKI001.A0101	AKI002.A0101	AMH001.A0101	AMH002.A0101	AMH003.A0101	AMH004.A0101	ANK001.A0101	ANN001.A0101	ANN002.A0101	ANN003.A0101	ANN004.A0101	AON001.A0101	AON002.A0101	ARS001.A0101	ARS004.A0101	ARS005.A0101	ARS010.A0101	ARS011.A0101	ARS012.A0101	ARS013.A0101	ARS015.A0101	ARS017.A0101	ARS020.A0101	ATT001.A0101	ATT002.A0101	EFE002.B0101	EFE003.B0101	EFE004.B0101	EFE005.B0101	EFE006.B0101	ERR1883418	ERR1883419	ERR1883420	ERR1883421	ERR1883422	ERR1883423	ERR1883424	ERR1883430	ERR1883436	ERR1883438	FUT018.B0101	FUT021.B0101	FUT024.B0101	HCLVMBCX2-3505-01-00-01_S1	HCLVMBCX2-3505-02-00-01_S2	HCLVMBCX2-3505-03-00-01_S3	HCLVMBCX2-3505-04-00-01_S4	HCLVMBCX2-3505-05-00-01_S5	HCLVMBCX2-3505-06-00-01_S6	HCLVMBCX2-3505-07-00-01_S7	HCLVMBCX2-3505-08-00-01_S8	HCLVMBCX2-3505-09-00-01_S9	HCLVMBCX2-3505-10-00-01_S10	HCLVMBCX2-3505-11-00-01_S11	HCLVMBCX2-3505-12-00-01_S12	HCLVMBCX2-3505-14-00-01_S14	HCLVMBCX2-3505-15-00-01_S15	HCLVMBCX2-3505-16-00-01_S16	HCLVMBCX2-3505-17-00-01_S17	HCLVMBCX2-3505-18-00-01_S18	HCLVMBCX2-3505-20-00-01_S20	HCLVMBCX2-3505-21-00-01_S21	HCLVMBCX2-3505-22-00-01_S22	HCLVMBCX2-3505-23-00-01_S23	HCLVMBCX2-3505-24-00-01_S24	HCLVMBCX2-3505-25-00-01_S25	HCLVMBCX2-3505-26-00-01_S26	HCLVMBCX2-3505-27-00-01_S27	HCLVMBCX2-3505-28-00-01_S28	HCLVMBCX2-3505-29-00-01_S29	HCLVMBCX2-3505-31-00-01_S31	HCLVMBCX2-3505-33-00-01_S33	JAE006.A0101	JAE007.A0101	JAE008.A0101	JAE009.A0101	JAE012.A0101	NMU001.A0101	NMU009.A0101	NMU014.A0101	NMU020.A0101	NMU021.A0101	NMU047.A0101	NMU059.A0101	NMU065.A0101	NMU067.A0101	NMU089.A0101	NMU115.A0101	NMU116.A0101	NMU117.A0101	NMU118.A0101	NMU119.A0101	NMU120.A0101	NMU121.A0101	NMU122.A0101	NMU123.A0101	NMU124.A0101	NMU125.A0101	NMU126.A0101	NMU127.A0101	NMU128.A0101	NMU129.A0101	NMU130.A0101	NMU131.A0101	PAH001.A0102	PAH002.A0101	PAH003.A0101	PVD001.A0101	RAP001.A0101	RAP002.A0101	SIG001.A0101	SIG002.A0101	SIG004.A0101	SIG005.A0101	SIG010.A0101	SIG018.A0101	SIG021.A0101	SIG024.A0101	SIG025.A0101	SIG026.A0101	SIG031.A0101	SIG032.A0101	SIG033.A0101	SIG034.A0101	SIG035.A0101	SIG036.A0101	SIG037.A0101	SIG038.A0101	SIG039.A0101	SIG040.A0101	SIG040.A0201	SIG041.A0101	SIG042.A0101	SIG043.A0101	SIG044.A0101	SIG045.A0101	SIG046.A0101	SIG046.A0201	SIG047.A0101	SRR059389	SRR059455	SRR059917	SRR060358	SRR061192	SRR061294	SRR061320	SRR061365	SRR061562	SRR062083	SRR062298	SRR062299	SRR063517	SRR1631060	SRR1631061	SRR1631063	SRR1631064	SRR1633008	SRR1761677	SRR1761682	SRR1761688	SRR1761698	SRR1761705	SRR1761721	SRR1804664	SRR1804823	SRR1929408	SRR1930121	SRR1930123	SRR1930141	SRR1930145	SRR3184100	SRR3184876	SRR3189411	SRR3189416	SRR3189418	SRR512767	SRR513165	SRR513768	SRR513775	SRR513828	SRR514202	SRR514239	SRR514306	SRR514329	TAP001.B0101	TAP003.B0101	TON001.C0101	TON003.B0101	TON004.B0101	TON005.B0101	TON006.B0101	TON007.B0101	VLC001.A0101	VLC002.A0101	VLC003.A0101	VLC004.A0101	VLC005.A0101
[Actinopolyspora] iraqiensis	259	23	0	0	0	12	0	142	0	0	0	0	0	0	22	16	15	8	10	17	17	14	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	15	56	33	48	107	14	21	10	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Bacteroides] pectinophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	11	500	16	33	0	0	11	0	0	11	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Clostridium] dakarense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	57	38	34	0	0	0	46	40	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Clostridium] leptum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	16	16	16	22	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Clostridium] scindens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Clostridium] spiroforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Clostridium] sporosphaeroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Clostridium] symbiosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	387	156	91	0	0	0	82	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium] brachy	0	73	79	105	57	94	18	0	420	116	134	144	38	375	0	0	0	0	0	0	0	0	0	0	109	25	84	37	43	189	52	0	0	0	0	0	0	0	0	0	0	0	29	34	11	0	4	0	10	18	0	0	96	0	0	9	0	0	14	17	0	0	0	0	0	0	0	47	0	10	0	0	0	0	0	93	63	13	0	0	0	0	0	0	0	0	0	0	258	21	158	100	32	1302	47	255	133	17	30	264	12	192	54	57	0	70	48	30	48	7	39	0	0	0	0	0	0	0	0	0	0	108	73	77	0	22	0	73	0	0	0	0	0	75	0	167	0	0	0	0	0	0	0	0	47	14	13	0	0	0	480	296	0	22	10	17	14	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	175	106	23	0	0	53	72	19	22	62	25	41	84	48	46	45	0	0	0	0	70
[Eubacterium] infirmum	0	39	82	45	64	86	14	0	100	17	37	81	85	93	0	0	0	0	0	0	0	0	0	0	73	25	108	16	46	29	36	0	0	0	0	0	0	0	0	0	0	0	33	35	22	0	12	11	11	27	12	0	109	8	8	36	0	0	14	34	0	0	16	0	0	0	0	73	0	52	0	0	0	0	0	38	0	6	0	0	0	0	0	0	0	0	0	0	15	65	31	64	94	115	45	37	102	20	35	98	48	141	96	39	0	46	50	23	68	23	73	0	0	0	0	0	0	0	0	0	0	96	110	104	0	61	0	17	0	0	0	0	0	45	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	17	37	49	22	67	64	428	34	30	36	2	0	47	11
