Library_ID	CLR	Counts	log_counts
AKI002.A0101	-6.12685445999569	1	0
AMH001.A0101	-6.16389447340298	1	0
AMH002.A0101	2.75512174318362	9195	3.9635517335741
AMH003.A0101	-6.052549511893	1	0
AMH004.A0101	0.508925070096964	600	2.77815125038364
ANN001.A0101	1.72841461928549	2713	3.4334497937616
ANN002.A0101	5.67397631327282	184612	5.26625992726628
ANN003.A0101	2.47702703907672	5366	3.72965066833592
ANN004.A0101	2.59687926741027	6819	3.83372069044463
AON001.A0101	-6.07913356440156	1	0
AON002.A0101	-5.95732424884821	1	0
ATT001.A0101	3.64555264484921	16183	4.2090590341288
ATT002.A0101	5.28337802951348	105574	5.02355697646646
BSQ001.A0101	2.85704182923802	13879	4.14235817576385
CMB001.A0101	-0.0254469261737631	459	2.66181268553726
CMB002.A0101	2.28667878838299	12838	4.10849737134826
CMB003.A0101	-6.27899877521604	1	0
CMB004.A0101	-6.23396931461914	1	0
CMB005.A0101	4.97809452208864	118595	5.07406637943142
CMB006.A0101	3.12913081369812	21999	4.34240293971527
CMB007.A0101	-6.33050637482414	1	0
CMB008.A0101	-6.23479629185527	1	0
CS01	5.04968647574179	163294	5.21297022751215
CS02	0.712841644097638	1226	3.0884904701824
CS03	1.76560076013859	4565	3.65944078187032
CS04	2.80777876226121	16040	4.20520436394814
CS07	3.29587159949544	35912	4.5552395923936
CS08	3.34672276215583	39399	4.5954851989831
CS09	4.00781592992626	73130	4.86409557342425
CS10	4.21297374431298	124879	5.096489412346
CS11	-6.77868808853472	1	0
CS12	2.25861176027282	12074	4.08185117151745
CS13	4.03655063170835	93378	4.97024456783568
CS14	4.24918896718431	45331	4.65639529968281
CS15	1.93503813679864	10063	4.00272747268983
CS16	4.31851128603474	104557	5.01935311376399
CS17	5.18611784991104	197870	5.29637995377139
CS18	1.70943503161481	4217	3.62500360101486
CS19	3.25282973572944	39290	4.59428202881181
CS20	3.44573120673947	26412	4.42180128860097
CS21	1.43383327224547	4545	3.65753388755799
CS22	5.40367661746143	389641	5.59066464927666
CS23	5.25839899438099	272344	5.43511781178982
CS24	4.67336906915089	129771	5.11317765126924
CS26	0.363278657118765	1230	3.0899051114394
CS27	-1.66829683000213	91	1.95904139232109
CS28	-6.60800524947858	1	0
CS29	3.8725401295254	58731	4.76886739554387
CS30	3.72042265903002	32869	4.5167864913926
CS31	1.62227553113783	8607	3.93485180296566
CS32	0.916748115811842	3394	3.53071183798166
CS33	3.82541002885788	47964	4.68091539430773
CS34	4.39038808502656	122307	5.08745131373601
CS35	1.41657763313712	3206	3.50596351801813
CS36	0.485651479255142	927	2.9670797341445
CS37	0.576155357469571	1507	3.17811325231463
CS38	-0.163748572270626	613	2.78746047451842
CS39	2.13791100338764	9889	3.99515237689145
CS40	-0.310304007568146	381	2.58092497567562
CS42	2.92506031484367	23694	4.37463838412019
CS43	-6.37009843301307	1	0
CS44	0.550287076156283	2213	3.34498141392726
CS45	3.60252228139571	44817	4.6514427819837
CS46	4.63934160237405	124851	5.09639202520353
CS47	2.9227364783673	37548	4.57458680919382
CS48	-0.204514543776175	550	2.74036268949424
DLV001.A0101	-5.7454766899422	1	0
ECO002.B0101	-6.70958960084394	1	0
ECO002.C0101	-6.67066610608616	1	0
ECO004.B0101	2.29851736226711	9444	3.97515597840669
ECO004.C0101	-6.16998772625896	1	0
ECO010.B0101	-6.38958218952	1	0
EFE002.B0101	-6.21833197725094	1	0
EFE003.B0101	-5.90086987442854	1	0
EFE004.B0101	0.168849276008769	678	2.83122969386706
EFE005.B0101	-6.29843178288266	1	0
EFE006.B0101	-6.30869672669493	1	0
ELR003.A0101	2.88973601589157	21131	4.32492005001992
ELR004.A0101	4.25727727287278	87305	4.94103911667496
ELR006.A0101	3.36580091753047	30057	4.47794563132527
ELR008.A0101	5.36622129981963	219692	5.3418142425413
ELR010.A0101	-5.30440405582057	1	0
EMN001.A0101	1.38426931736635	3337	3.52335620665479
ERR5729614	3.80012302186588	67809	4.83128733975108
ERR5729615	0.244095323806258	2303	3.36229393796423
ERR5729616	4.46995133555651	162147	5.20990891788412
ERR5729617	2.68521747036598	31604	4.49974205312438
ERR5729618	4.55653003797978	116039	5.06460397748711
ERR5729619	5.68440883091926	267990	5.42811858870847
ERR5729620	-7.15561618381554	1	0
ERR5729621	1.67904368379009	6282	3.79809793206249
ERR5729622	3.00324311157611	23616	4.37320634014295
ERR5729623	1.62353558345233	5457	3.73695395378315
ERR5729624	-6.17939441125576	1	0
ERR5729625	4.85704825873001	189173	5.27685915115788
ERR5729626	3.29610164817004	57052	4.75627087353494
ERR5729627	-6.70723990509404	1	0
ERR5729628	5.44214475084764	413680	5.61666452476401
ERR5729629	3.61581200690677	63297	4.80138312685273
ERR5729630	0.0720839295076479	852	2.9304395947667
ERR5729631	4.07844477183378	107150	5.02999217537785
ERR5729632	3.43442173596595	66986	4.82598404511766
ERR5729633	2.19135533792226	19471	4.28938825677578
ERR5729634	2.34394092853706	17380	4.24004977211265
ERR5729636	0.658296091504942	1512	3.17955179116519
ERR5729637	-6.89094871212578	1	0
ERR5729639	0.301889552631127	1696	3.2294258479207
ERR5729640	3.11021760686303	22190	4.34615730223201
ERR5729641	2.70094974079547	25761	4.41096271761838
ERR5729642	2.05185069296925	14553	4.16295252934573
ERR5729644	-6.64110872193686	1	0
ERR5729645	0.703737565318697	3416	3.53351786201697
