Master ID	Country	shotgun_pct_endo
I0525	United Kingdom	n/a (shotgun data not generated)
I0525	United Kingdom	0.0053
I0527	United Kingdom	0.0042
I0527	United Kingdom	0.0052
I11033	United Kingdom	0.716639747
I11034	United Kingdom	0.344643114
I11142	United Kingdom	0.63445532
I11143	United Kingdom	0.665853507
I11144	United Kingdom	0.669617182
I11145	United Kingdom	0.621156168
I11146	United Kingdom	0.002628444
I11147	United Kingdom	0.705478288
I11148	United Kingdom	0.579237934
I11149	United Kingdom	0.439362921
I11150	United Kingdom	0.517410119
I11151	United Kingdom	0.321071546
I11152	United Kingdom	0.636535415
I11153	United Kingdom	0.363611359
I11154	United Kingdom	0.45736632
I11156	United Kingdom	0.646472924
I11629	Netherlands	0.048768516
I11631	Netherlands	0.001122522
I11971	Netherlands	0.651792857
I11972	Netherlands	0.665272636
I11973	Netherlands	0.717377454
I11991	United Kingdom	0.645513395
I11991	United Kingdom	0.416345229
I11992	United Kingdom	0.637014972
I11992	United Kingdom	0.232004077
I11993	United Kingdom	0.515643716
I11994	United Kingdom	0.538390472
I11995	United Kingdom	0.068209344
I11997	United Kingdom	0.650294395
I12081	Netherlands	0.680889437
I12082	Netherlands	0.665760937
I12083	Netherlands	0.66717049
I12312	United Kingdom	0.00160512
I12313	United Kingdom	0.000468327
I12314	United Kingdom	0.000827398
I12314	United Kingdom	0.00566954
I12314	United Kingdom	0.000725879
I12314	United Kingdom	0.002261092
I12314	United Kingdom	0.002947991
I12314	United Kingdom	0.002306291
I12314	United Kingdom	0.003187258
I12314	United Kingdom	0.002700677
I12317	United Kingdom	0.110659512
I12411	United Kingdom	0.213740773
I12412	United Kingdom	0.431296496
I12413	United Kingdom	0.542998613
I12414	United Kingdom	0.421264348
I12415	United Kingdom	0.368593892
I12608	United Kingdom	0.000234151
I12608	United Kingdom	0.017297048
I12608	United Kingdom	0.046694494
I12610	United Kingdom	0.007750728
I12610	United Kingdom	0.017551295
I12610	United Kingdom	0.069228024
I12611	United Kingdom	0.00184259
I12612	United Kingdom	0.000431362
I12613	United Kingdom	0.000736693
I12614	United Kingdom	0.039068944
I12614	United Kingdom	0.066289741
I12614	United Kingdom	0.065081238
I12624	United Kingdom	0.011272831
I12624	United Kingdom	0.036939511
I12624	United Kingdom	0.040204288
I12770	United Kingdom	0.133276204
I12771	United Kingdom	0.533946479
I12772	United Kingdom	0.305047266
I12774	United Kingdom	0.170893921
I12775	United Kingdom	0.19608452
I12776	United Kingdom	0.072266471
I12778	United Kingdom	0.22116449
I12779	United Kingdom	0.399559292
I12783	United Kingdom	0.030177995
I12785	United Kingdom	0.203259583
I12786	United Kingdom	0.016485741
I12787	United Kingdom	0.04400102
I12790	United Kingdom	0.040607068
I12791	United Kingdom	0.39626542
I12792	United Kingdom	0.011329805
I12793	United Kingdom	0.032007698
I12900	Netherlands	0.03912532
I12903	Netherlands	0.000501543
I12905	Netherlands	0.004809646
I12906	Netherlands	0.065536745
I12907	Netherlands	0.177305887
I12926	United Kingdom	0.073751412
I12927	United Kingdom	0.172041436
I12931	United Kingdom	0.018168173
I12932	United Kingdom	0.157778387
I12935	United Kingdom	0.007847167
I12936	United Kingdom	0.000444633
I12936	United Kingdom	0.006284779
I13025	Netherlands	0.546930269
I13026	Netherlands	0.007003447
I13027	Netherlands	0.109556537
I13028	Netherlands	0.616229999
I13615	United Kingdom	0.072208772
I13616	United Kingdom	0.003963663
I13616	United Kingdom	0.00424732
I13616	United Kingdom	0.005073554
I13616	United Kingdom	0.004674646
I13616	United Kingdom	0.006325215
I13617	United Kingdom	0.000661095
I13617	United Kingdom	0.001720223
I13617	United Kingdom	0.00126118
I13617	United Kingdom	0.001225948
I13617	United Kingdom	0.001146613
I13617	United Kingdom	0.00151643
I13617	United Kingdom	0.001571803
I13617	United Kingdom	0.001220837
I13617	United Kingdom	0.001151802
I13618	United Kingdom	0.000673537
I13680	United Kingdom	0.003597312
I13681	United Kingdom	0.000417267
I13682	United Kingdom	0.030960347
I13682	United Kingdom	0.029469218
I13682	United Kingdom	0.02822518
I13682	United Kingdom	0.029563169
I13682	United Kingdom	0.028650467
I13683	United Kingdom	0.000175167
I13684	United Kingdom	0.017470848
I13684	United Kingdom	0.020212851
I13684	United Kingdom	0.018517294
I13684	United Kingdom	0.01956113
I13684	United Kingdom	0.017208953
I13685	United Kingdom	0.109275286
I13687	United Kingdom	0.086138326
I13688	United Kingdom	0.039623621
I13689	United Kingdom	0.069528025
I13690	United Kingdom	0.000131265
I13710	United Kingdom	0.026610097
I13710	United Kingdom	0.107669157
I13710	United Kingdom	0.110760981
I13711	United Kingdom	0.481428758
I13712	United Kingdom	0.368652074
I13713	United Kingdom	0.564136201
I13714	United Kingdom	0.372596485
I13716	United Kingdom	0.181342531
I13716	United Kingdom	0.001479831
I13716	United Kingdom	0.001557446
I13716	United Kingdom	0.001669634
I13716	United Kingdom	0.001585642
I13717	United Kingdom	0.386144099
I13726	United Kingdom	0.50387752
I13726	United Kingdom	0.00980049
I13727	United Kingdom	0.457486533
I13728	United Kingdom	0.462924723
I13729	United Kingdom	0.412155717
I13730	United Kingdom	0.240543456
I13731	United Kingdom	0.439549694
I13732	United Kingdom	0.028045752
I13751	United Kingdom	0.711257654
I13752	United Kingdom	0.613870788
I13753	United Kingdom	0.575130446
I13754	United Kingdom	0.673756195
I13755	United Kingdom	0.148637771
I13756	United Kingdom	0.604638941
I13757	United Kingdom	0.626894061
I13758	United Kingdom	0.468337675
I13759	United Kingdom	0.654243996
I13760	United Kingdom	0.471477494
I14096	United Kingdom	0.051312833
I14097	United Kingdom	0.421801936
I14099	United Kingdom	0.617731397
I14100	United Kingdom	0.420876586
I14101	United Kingdom	0.581364527
I14102	United Kingdom	0.527376233
I14103	United Kingdom	0.179254893
I14104	United Kingdom	0.679395386
I14105	United Kingdom	0.619873619
I14106	United Kingdom	0.342047008
I14107	United Kingdom	0.25545227
I14108	United Kingdom	0.625765074
I14200	United Kingdom	0.000279096
I14200	United Kingdom	0.001473361
I14200	United Kingdom	0.000315841
I14200	United Kingdom	0.000849759
I14200	United Kingdom	0.001201388
I14200	United Kingdom	0.001466769
I14200	United Kingdom	0.000975707
I14200	United Kingdom	0.001436814
I14200	United Kingdom	0.041279575
I14326	United Kingdom	0.261756155
I14327	United Kingdom	0.474256494
I14347	United Kingdom	0.671942497
I14348	United Kingdom	0.665180719
I14351	United Kingdom	0.196439924
I14352	United Kingdom	0.107350378
I14353	United Kingdom	0.691352157
I14358	United Kingdom	0.420288433
I14359	United Kingdom	0.010930708
I14360	United Kingdom	0.284365384
I14377	United Kingdom	0.256795724
I14378	United Kingdom	0.212799888
I14379	United Kingdom	0.007252127
I14379	United Kingdom	0.00794105
I14379	United Kingdom	0.007704104
I14380	United Kingdom	0.457584242
I14381	United Kingdom	0.149478648
I14543	United Kingdom	0.136611365
I14549	United Kingdom	0.137855617
I14550	United Kingdom	0.427389754
I14551	United Kingdom	0.330697127
I14552	United Kingdom	0.334553268
I14553	United Kingdom	0.280489299
I14742	United Kingdom	0.003272487
I14742	United Kingdom	0.010341556
I14742	United Kingdom	0.007695159
I14743	United Kingdom	0.314193585
I14745	United Kingdom	0.014271579
I14745	United Kingdom	0.019368502
I14747	United Kingdom	0.036985741
I14800	United Kingdom	0.609039388
I14801	United Kingdom	0.464282439
I14802	United Kingdom	0.200011073
I14803	United Kingdom	0.400919118
I14804	United Kingdom	0.652210062
I14806	United Kingdom	0.003531936
