Library_ID	no_species
RAP001.A0101	146
AON002.A0101	65
TON005.B0101	69
ANN003.A0101	72
AON001.A0101	73
SIG035.A0101	88
NMU123.A0101	106
AMH003.A0101	73
EFE002.B0101	87
AMH002.A0101	96
SIG033.A0101	91
NMU125.A0101	128
TON006.B0101	72
SIG047.A0101	94
NMU115.A0101	94
EFE003.B0101	60
ANN002.A0101	97
NMU124.A0101	98
ATT002.A0101	88
FUT021.B0101	59
AMH001.A0101	77
EFE005.B0101	88
SIG037.A0101	112
NMU121.A0101	102
ATT001.A0101	69
EFE004.B0101	93
HCLVMBCX2-3505-12-00-01_S12	93
HCLVMBCX2-3505-06-00-01_S6	74
TON003.B0101	82
HCLVMBCX2-3505-07-00-01_S7	73
EFE006.B0101	92
HCLVMBCX2-3505-05-00-01_S5	73
HCLVMBCX2-3505-09-00-01_S9	92
HCLVMBCX2-3505-08-00-01_S8	50
PVD001.A0101	91
TAP003.B0101	85
HCLVMBCX2-3505-01-00-01_S1	78
NMU122.A0101	101
ANN004.A0101	85
NMU130.A0101	68
HCLVMBCX2-3505-02-00-01_S2	59
HCLVMBCX2-3505-03-00-01_S3	63
HCLVMBCX2-3505-21-00-01_S21	71
TON004.B0101	77
HCLVMBCX2-3505-11-00-01_S11	99
HCLVMBCX2-3505-16-00-01_S16	68
NMU119.A0101	77
FUT024.B0101	64
HCLVMBCX2-3505-28-00-01_S28	72
TAP001.B0101	75
AKI002.A0101	74
NMU120.A0101	106
NMU128.A0101	96
HCLVMBCX2-3505-15-00-01_S15	88
HCLVMBCX2-3505-10-00-01_S10	76
NMU129.A0101	79
TON007.B0101	69
ANN001.A0101	79
NMU116.A0101	79
SIG031.A0101	91
NMU127.A0101	76
HCLVMBCX2-3505-17-00-01_S17	78
PAH003.A0101	127
NMU117.A0101	125
PAH002.A0101	115
NMU126.A0101	86
PAH001.A0102	81
SIG032.A0101	94
HCLVMBCX2-3505-26-00-01_S26	69
NMU118.A0101	98
AMH004.A0101	60
RAP002.A0101	169
HCLVMBCX2-3505-14-00-01_S14	94
MID078.A0101	162
MID067.A0101	128
MID089.A0101	138
MID101.A0101	159
MID077.A0101	159
MID088.A0101	138
MID027.A0101	139
MID066.A0101	140
MID094.A0101	149
MID083.A0101	171
MID072.A0101	106
MID022.A0101	124
CMB004.A0101	90
MID061.A0101	122
MID050.A0101	149
MID044.A0101	145
MID049.A0101	164
MID038.A0101	151
MID055.A0101	131
MID033.A0101	140
MID071.A0101	142
MID093.A0101	129
MID032.A0101	160
