FeatureID	Longitude	Age	GC	Read_length
Candidatus Saccharibacteria oral taxon TM7x	-0.4426		-0.2878	
Prevotella nigrescens	-1	-1		
Pseudomonas aeruginosa	-0.9696		-0.6997	
Pseudomonas alcaligenes	-0.9916		-0.7814	
Pseudomonas guariconensis	-0.977		-0.7952	
Actinomyces gerencseriae	-0.4811			
Actinomyces sp. oral taxon 414	-0.3502			
Schaalia georgiae	-0.6779			
Propionibacterium australiense	-0.9974	-0.9251		
Pseudopropionibacterium propionicum	-0.6482			
Enterococcus faecium	-0.9759		-0.8954	
Bacteroides heparinolyticus		-0.7313		
Bacteroides zoogleoformans		-0.7888		
Phocaeicola abscessus		-0.6777		
Porphyromonas gingivalis		-0.8254		
Porphyromonas gulae		-0.9803		
Prevotella intermedia		-0.5692		-0.3214
Tannerella forsythia		-0.3838		-0.2686
Bacteroidetes oral taxon 274		-0.3694		-0.2353
Fusobacterium naviforme		-0.3915	-0.2924	-0.2739
Fusobacterium nucleatum		-0.7311		-0.3837
Fusobacterium sp. oral taxon 203		-0.9073		-0.5649
Brachymonas denitrificans		-0.6724		
Propionivibrio dicarboxylicus		-0.7367		
Desulfobulbus oralis		-0.1932	-0.2104	
Campylobacter gracilis		-0.3696		-0.2317
Campylobacter showae		-0.4338	-0.2973	
Pseudomonas sp. 24 E 13		-0.4735		
Treponema denticola		-0.5317	-0.2358	-0.3413
Treponema lecithinolyticum		-0.6334		-0.4074
Treponema maltophilum		-0.4974	-0.2416	-0.3129
Treponema medium		-0.7225	-0.2974	-0.439
Treponema putidum		-0.5857	-0.2724	-0.395
Treponema socranskii		-0.4906	-0.22	-0.2882
Treponema vincentii		-0.6761		-0.4594
Treponema sp. OMZ 838		-0.6487	-0.2533	-0.3997
Aminobacterium colombiense		-0.5464		-0.4356
Aminomonas paucivorans		-0.3077	-0.1882	-0.2136
Jonquetella anthropi		-0.2991		-0.26
Thermanaerovibrio acidaminovorans		-0.3567	-0.2402	-0.2527
Actinomyces israelii		-0.797		-0.4497
Actinomyces ruminicola		-0.468		
Atopobium sp. oral taxon 810		-0.6894		
Olsenella phocaeensis		-0.5077		
Olsenella uli		-0.2085	-0.222	
Olsenella urininfantis		-0.3008	-0.2741	
Olsenella sp. DNF00959		-0.486		
Olsenella sp. HMSC062G07		-0.448	-0.4212	
Coriobacteriaceae bacterium 68-1-3		-0.1959	-0.4038	
Arabia massiliensis		-0.2043	-0.4175	
Gordonibacter massiliensis		-0.219	-0.4154	
Gordonibacter pamelaeae		-0.214	-0.4007	-0.1533
Gordonibacter urolithinfaciens		-0.2377	-0.445	
Paraeggerthella hongkongensis		-0.2858	-0.4304	
Slackia exigua		-0.2954	-0.2927	-0.2343
Slackia heliotrinireducens		-0.2439	-0.4429	
Streptococcus constellatus		-0.3786		-0.4771
Streptococcus intermedius		-0.3466	-0.383	-0.4011
[Eubacterium] brachy		-0.5429	-0.2955	-0.4723
[Eubacterium] saphenum		-0.2282	-0.3307	
[Eubacterium] sulci		-0.3033	-0.304	-0.3447
Mogibacterium diversum		-0.3169	-0.262	-0.2869
Mogibacterium pumilum		-0.2143	-0.1853	-0.2174
Pseudoramibacter alactolyticus		-0.2678		-0.2011
Catonella morbi		-0.2576		
Johnsonella ignava		-0.4652		-0.3617
Lachnoanaerobaculum saburreum		-0.36		-0.2693
Oribacterium sp. oral taxon 078		-0.2426		-0.2582
Stomatobaculum longum		-0.8108	-0.4543	-0.5304
Lachnospiraceae bacterium oral taxon 500		-0.1381		-0.1489
Filifactor alocis		-0.4154	-0.2183	-0.2956
Peptoanaerobacter stomatis		-0.1403		-0.1942
Peptostreptococcus anaerobius		-0.2336		-0.2755
Ruminococcaceae bacterium		-0.9043		
Selenomonas sputigena		-0.5291		
Anaeroglobus geminatus		-0.7912		
Dialister invisus		-0.5366		
Dialister pneumosintes		-0.7621		
Parvimonas micra		-0.6442		-0.4412
Methanobrevibacter oralis		-0.4625		
Streptobacillus moniliformis			-0.2642	
Campylobacter concisus			-0.311	
Actinomyces sp. HMSC062G12			-0.3586	
Olsenella sp. oral taxon 809			-0.5522	
Senegalimassilia anaerobia			-0.4908	
Adlercreutzia equolifaciens			-0.4906	
Asaccharobacter celatus			-0.4976	
Denitrobacterium detoxificans			-0.4775	
Eggerthella lenta			-0.3918	
Eggerthella sp. YY7918			-0.501	
Enterorhabdus caecimuris			-0.4632	
Enterorhabdus mucosicola			-0.485	
Raoultibacter massiliensis			-0.4417	
Raoultibacter timonensis			-0.4499	
Slackia isoflavoniconvertens			-0.6188	
Slackia piriformis			-0.6127	
Eggerthellaceae bacterium AT8			-0.3603	
Streptococcus anginosus			-0.5209	-0.3851
[Eubacterium] minutum			-0.2422	-0.1336
Treponema pedis				-0.3045
Actinomyces slackii				-0.2276
Atopobium sp. oral taxon 199				-0.5055
Solirubrobacter sp. URHD0082				-0.4112
Streptococcus equi				-0.2057
[Eubacterium] infirmum				-0.2535
Shuttleworthia satelles				-0.2849
Peptostreptococcaceae bacterium pGA-8				-0.141
Eggerthia catenaformis				-0.1525
Solobacterium moorei				-0.1927
Tissierella praeacuta				-0.3572
