Sample Name	Reads	Reads Mapped	Endogenous DNA (%)	Reads Mapped	Endogenous DNA Post (%)	% Dups	5 Prime C>T 1st base	5 Prime C>T 2nd base	Mean read length	Median read length	Aligned	Mean cov	Median cov	? 1X	? 2X	? 3X	? 4X	? 5X	% GC	SNPs	% Hets
AKI002.A0101	"11,259,321"	"664,226"	5.9	"664,226"	5.9	8.70%	3.40%	0.90%	52.38bp	47.00bp	"606,501"	9.3X	10.0X	89.20%	87.90%	86.80%	85.50%	83.70%	48%	"18,080"	10.5
AMH001.A0101	"10,782,606"	"474,597"	4.4	"474,597"	4.4	7.50%	5.20%	1.00%	53.10bp	48.00bp	"438,990"	6.8X	7.0X	88.80%	86.90%	84.30%	80.10%	73.70%	48%	"14,996"	9.9
AMH002.A0101	"10,013,875"	"607,339"	6.06	"607,339"	6.06	8.70%	3.80%	0.90%	49.43bp	45.00bp	"554,335"	8.0X	8.0X	88.40%	86.60%	85.20%	83.20%	80.30%	47%	"16,989"	5.6
AMH003.A0101	"8,841,875"	"387,165"	4.38	"387,165"	4.38	6.70%	5.10%	0.90%	49.05bp	45.00bp	"361,311"	5.2X	5.0X	88.90%	85.70%	80.30%	71.70%	59.90%	47%	"9,714"	7.8
AMH004.A0101	"10,105,111"	"52,195"	0.52	"52,195"	0.52	3.50%	8.70%	1.00%	44.41bp	41.00bp	"50,391"	0.7X	0.0X	44.00%	14.70%	4.00%	1.10%	0.40%	48%	62	12.9
ANN001.A0101	"8,991,662"	"381,413"	4.24	"381,413"	4.24	6.20%	7.20%	0.90%	48.81bp	44.00bp	"357,580"	5.1X	5.0X	88.10%	84.60%	79.10%	70.40%	58.60%	47%	"9,908"	4.5
ANN002.A0101	"9,655,599"	"207,797"	2.15	"207,797"	2.15	4.50%	7.00%	0.90%	49.72bp	45.00bp	"198,391"	2.9X	3.0X	84.50%	72.20%	54.50%	36.00%	21.00%	48%	"2,843"	2.8
ANN003.A0101	"11,146,676"	"834,465"	7.49	"834,465"	7.49	13.20%	4.40%	0.90%	54.36bp	50.00bp	"724,509"	11.6X	12.0X	88.60%	87.80%	87.00%	86.30%	85.40%	48%	"20,695"	5.3
ANN004.A0101	"10,939,434"	"301,775"	2.76	"301,775"	2.76	5.80%	5.70%	0.90%	53.04bp	48.00bp	"284,297"	4.4X	4.0X	87.60%	82.90%	74.60%	62.70%	48.40%	48%	"7,967"	5.9
AON001.A0101	"11,021,977"	"497,305"	4.51	"497,305"	4.51	8.00%	4.00%	0.90%	50.94bp	46.00bp	"457,614"	6.8X	7.0X	88.00%	86.30%	84.10%	80.70%	75.00%	47%	"15,166"	3
AON002.A0101	"9,506,180"	"249,470"	2.62	"249,470"	2.62	5.00%	3.30%	0.90%	52.83bp	47.00bp	"237,077"	3.7X	4.0X	87.00%	79.60%	67.20%	51.30%	35.10%	48%	"5,406"	2.4
ATT001.A0101	"12,906,203"	"385,333"	2.99	"385,333"	2.99	10.00%	2.80%	0.90%	60.50bp	55.00bp	"346,865"	6.2X	6.0X	87.50%	85.40%	82.40%	77.30%	69.60%	48%	"14,295"	2.9
ATT002.A0101	"11,082,283"	"97,836"	0.88	"97,836"	0.88	3.80%	5.60%	1.30%	60.27bp	56.00bp	"94,088"	1.7X	1.0X	71.60%	45.90%	24.10%	11.10%	4.90%	49%	"1,044"	8.8
ECO002.B0102	"37,864,363"	"90,507"	0.24	"90,507"	0.24	17.60%	6.30%	2.90%	37.89bp	36.00bp	"74,580"	0.8X	0.0X	46.80%	19.50%	7.70%	3.20%	1.50%	48%	615	21.6
EFE002.B0101	"11,241,222"	"35,314"	0.31	"35,314"	0.31	4.50%	14.60%	1.30%	47.44bp	43.00bp	"33,715"	0.5X	0.0X	34.30%	8.40%	1.70%	0.40%	0.20%	49%	103	5.8
EFE003.B0101	"10,968,084"	"130,128"	1.19	"130,128"	1.19	4.00%	14.60%	1.00%	48.25bp	44.00bp	"124,908"	1.8X	1.0X	73.60%	49.80%	28.30%	13.80%	6.00%	49%	929	3.4
EFE004.B0101	"11,845,024"	"272,493"	2.3	"272,493"	2.3	6.40%	5.10%	0.90%	55.32bp	50.00bp	"255,184"	4.1X	4.0X	87.00%	80.30%	70.30%	56.80%	42.20%	49%	"7,362"	7.8
EFE005.B0101	"11,403,800"	"170,247"	1.49	"170,247"	1.49	4.40%	12.40%	1.50%	50.42bp	46.00bp	"162,727"	2.4X	2.0X	80.60%	62.20%	42.30%	25.60%	14.00%	49%	"2,206"	15
EFE006.B0101	"10,894,123"	"66,625"	0.61	"66,625"	0.61	3.50%	12.90%	2.00%	51.52bp	47.00bp	"64,263"	1.0X	1.0X	53.60%	24.90%	10.20%	4.10%	1.70%	51%	405	10.6
EMN001.A0102	"99,169,940"	"40,611"	0.04	"40,611"	0.04	49.00%	4.60%	3.60%	51.18bp	45.00bp	"20,702"	0.3X	0.0X	16.90%	3.80%	1.40%	0.90%	0.70%	51%	558	19.9
FUT021.B0101	"7,362,862"	"32,101"	0.44	"32,101"	0.44	3.40%	7.60%	1.10%	43.65bp	40.00bp	"31,007"	0.4X	0.0X	30.50%	6.70%	1.20%	0.20%	0.10%	49%	15	6.7
FUT024.B0101	"8,353,043"	"216,913"	2.6	"216,913"	2.6	4.80%	6.20%	1.10%	43.92bp	40.00bp	"206,451"	2.7X	2.0X	82.30%	68.10%	49.40%	31.30%	17.60%	48%	"2,543"	3.5
HCLVMBCX2-3505-01-00-01_S1	"3,130,568"	"2,757"	0.09	"2,757"	0.09	44.90%	40.60%	24.90%	39.36bp	37.00bp	"1,518"	0.0X	0.0X	1.40%	0.10%	0.00%	0.00%	0.00%	56%	0	NA
HCLVMBCX2-3505-02-00-01_S2	"4,361,811"	"3,952"	0.09	"3,952"	0.09	57.50%	46.20%	21.70%	41.90bp	39.00bp	"1,680"	0.0X	0.0X	1.90%	0.10%	0.00%	0.00%	0.00%	55%	0	NA
HCLVMBCX2-3505-05-00-01_S5	"5,510,649"	"19,108"	0.35	"19,108"	0.35	15.20%	47.60%	26.90%	36.76bp	35.00bp	"16,209"	0.2X	0.0X	14.20%	2.20%	0.40%	0.10%	0.10%	57%	2	0
HCLVMBCX2-3505-06-00-01_S6	"24,425,308"	"73,555"	0.3	"73,555"	0.3	29.40%	49.80%	28.60%	44.44bp	42.00bp	"51,958"	0.7X	0.0X	41.20%	15.90%	5.60%	2.00%	0.80%	53%	86	9.3
HCLVMBCX2-3505-07-00-01_S7	"7,403,907"	"9,623"	0.13	"9,623"	0.13	12.40%	46.00%	27.60%	40.53bp	39.00bp	"8,425"	0.1X	0.0X	8.30%	0.90%	0.20%	0.10%	0.10%	55%	4	0
HCLVMBCX2-3505-08-00-01_S8	"11,373,271"	"20,822"	0.18	"20,822"	0.18	94.60%	44.20%	25.10%	47.78bp	45.00bp	"1,124"	0.0X	0.0X	1.40%	0.10%	0.00%	0.00%	0.00%	54%	0	NA
HCLVMBCX2-3505-11-00-01_S11	"3,828,369"	"2,166"	0.06	"2,166"	0.06	19.30%	28.00%	13.00%	40.34bp	39.00bp	"1,749"	0.0X	0.0X	0.90%	0.30%	0.10%	0.10%	0.10%	61%	5	20
HCLVMBCX2-3505-12-00-01_S12	"7,967,425"	"15,676"	0.2	"15,676"	0.2	7.20%	43.80%	23.80%	46.62bp	45.00bp	"14,552"	0.2X	0.0X	15.50%	2.80%	0.60%	0.20%	0.10%	56%	7	57.1
HCLVMBCX2-3505-14-00-01_S14	"36,272,317"	"14,917"	0.04	"14,917"	0.04	72.20%	33.40%	21.00%	46.45bp	43.00bp	"4,142"	0.1X	0.0X	1.80%	0.50%	0.30%	0.20%	0.10%	56%	15	46.7
HCLVMBCX2-3505-15-00-01_S15	"10,687,862"	"15,824"	0.15	"15,824"	0.15	26.60%	44.30%	26.70%	41.41bp	40.00bp	"11,607"	0.1X	0.0X	11.10%	1.70%	0.30%	0.10%	0.10%	55%	1	0
HCLVMBCX2-3505-16-00-01_S16	"16,428,901"	"91,786"	0.56	"91,786"	0.56	19.30%	48.60%	27.90%	42.89bp	41.00bp	"74,095"	0.9X	0.0X	48.00%	23.70%	10.80%	4.80%	2.20%	54%	149	7.4
HCLVMBCX2-3505-17-00-01_S17	"11,048,267"	"9,009"	0.08	"9,009"	0.08	90.40%	38.60%	25.40%	40.97bp	39.00bp	866	0.0X	0.0X	0.80%	0.10%	0.00%	0.00%	0.00%	56%	0	NA
HCLVMBCX2-3505-21-00-01_S21	"6,259,816"	"1,713"	0.03	"1,713"	0.03	89.50%	21.60%	10.30%	42.66bp	40.00bp	180	0.0X	0.0X	0.20%	0.00%	0.00%	0.00%	0.00%	58%	0	NA
HCLVMBCX2-3505-26-00-01_S26	"7,124,483"	"20,046"	0.28	"20,046"	0.28	47.60%	45.40%	26.70%	51.82bp	48.00bp	"10,502"	0.2X	0.0X	13.50%	1.60%	0.20%	0.10%	0.00%	52%	1	0
