KEGG	line_number	Cluster	dendro_order	pathway
K02924	1002	3	1	K02924: large subunit ribosomal protein L39e
K02979	1026	3	2	K02979: small subunit ribosomal protein S28e
K02912	996	3	3	K02912: large subunit ribosomal protein L32e
K01499	453	3	4	K01499: methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]
K03237	1090	3	5	K03237: translation initiation factor 2 subunit 1
K00580	174	3	6	K00580: tetrahydromethanopterin S-methyltransferase subunit D [EC:2.1.1.86]
K02910	994	3	7	K02910: large subunit ribosomal protein L31e
K03236	1089	3	8	K03236: translation initiation factor 1A
K03238	1091	3	9	K03238: translation initiation factor 2 subunit 2
K01622	489	3	10	K01622: fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]
K03120	1064	3	11	K03120: transcription initiation factor TFIID TATA-box-binding protein
K02930	1005	3	12	K02930: large subunit ribosomal protein L4e
K03124	1065	3	13	K03124: transcription initiation factor TFIIB
K17830	2289	3	14	K17830: digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]
K06988	1637	3	15	K06988: NO_NAME
K02585	893	3	16	K02585: nitrogen fixation protein NifB
K09726	1927	3	17	K09726: hypothetical protein
K04802	1444	3	18	K04802: proliferating cell nuclear antigen
K02984	1028	3	19	K02984: small subunit ribosomal protein S3Ae
K03058	1038	3	20	K03058: DNA-directed RNA polymerase subunit N [EC:2.7.7.6]
K02978	1025	3	21	K02978: small subunit ribosomal protein S27e
K02921	1001	3	22	K02921: large subunit ribosomal protein L37Ae
K04483	1404	3	23	K04483: DNA repair protein RadA
K00203	73	3	24	K00203: formylmethanofuran dehydrogenase subunit D [EC:1.2.99.5]
K03231	1088	3	25	K03231: elongation factor 1-alpha
K00399	142	3	26	K00399: methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]
K00581	175	3	27	K00581: tetrahydromethanopterin S-methyltransferase subunit E [EC:2.1.1.86]
K14127	2174	3	28	K14127: NO_NAME
K02896	986	3	29	K02896: large subunit ribosomal protein L24e
K02977	1024	3	30	K02977: small subunit ribosomal protein S27Ae
K07580	1801	3	31	K07580: hypothetical protein
K02927	1004	3	32	K02927: large subunit ribosomal protein L40e
K11130	2058	3	33	K11130: H/ACA ribonucleoprotein complex subunit 3
K00171	64	3	34	K00171: pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K03263	1092	3	35	K03263: translation initiation factor eIF-5A
K07794	1836	3	36	K07794: putative tricarboxylic transport membrane protein
K16846	2247	3	37	K16846: (2R)-sulfolactate sulfo-lyase subunit beta [EC:4.4.1.24]
K07793	1835	3	38	K07793: putative tricarboxylic transport membrane protein
K16845	2246	3	39	K16845: (2R)-sulfolactate sulfo-lyase subunit alpha [EC:4.4.1.24]
K11003	2046	3	40	K11003: hemolysin D
K11004	2047	3	41	K11004: ATP-binding cassette, subfamily B, bacterial HlyB/CyaB
K01573	468	3	42	K01573: oxaloacetate decarboxylase, gamma subunit [EC:4.1.1.3]
K05801	1492	3	43	K05801: DnaJ like chaperone protein
K03811	1350	3	44	K03811: nicotinamide mononucleotide transporter
K15586	2207	3	45	K15586: nickel transport system permease protein
K15587	2208	3	46	K15587: nickel transport system ATP-binding protein [EC:3.6.3.24]
K03503	1175	3	47	K03503: DNA polymerase V
K07028	1655	3	48	K07028: NO_NAME
K19954	2377	3	49	K19954: NO_NAME
K19715	2373	3	50	K19715: NO_NAME
K19714	2372	3	51	K19714: NO_NAME
K22319	2449	3	52	K22319: NO_NAME
K10126	2008	3	53	K10126: two-component system, NtrC family, C4-dicarboxylate transport response regulator DctD
K08223	1848	3	54	K08223: MFS transporter, FSR family, fosmidomycin resistance protein
K04568	1416	3	55	K04568: lysyl-tRNA synthetase, class II
K00574	172	3	56	K00574: cyclopropane-fatty-acyl-phospholipid synthase
K01663	510	3	57	K01663: glutamine amidotransferase / cyclase [EC:2.4.2.- 4.1.3.-]
K13819	2158	3	58	K13819: NO_NAME
K09789	1948	3	59	K09789: pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]
K21134	2406	3	60	K21134: NO_NAME
K12992	2127	3	61	K12992: NO_NAME
K01039	347	3	62	K01039: glutaconate CoA-transferase, subunit A [EC:2.8.3.12]
K12538	2121	3	63	K12538: outer membrane protein HasF
K05967	1522	3	64	K05967: hypothetical protein
K01040	348	3	65	K01040: glutaconate CoA-transferase, subunit B [EC:2.8.3.12]
K22317	2447	3	66	K22317: NO_NAME
K20810	2401	3	67	K20810: NO_NAME
K22320	2450	3	68	K22320: NO_NAME
K00966	320	3	69	K00966: mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
K22318	2448	3	70	K22318: NO_NAME
K19294	2351	3	71	K19294: NO_NAME
K07184	1720	3	72	K07184: SH3 domain protein
K03298	1106	3	73	K03298: drug/metabolite transporter, DME family
K00131	51	3	74	K00131: glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K21470	2417	3	75	K21470: NO_NAME
K01960	651	3	76	K01960: pyruvate carboxylase subunit B [EC:6.4.1.1]
K14080	2172	3	77	K14080: [methyl-Co(III) methanol-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.246]
K01023	345	3	78	K01023: arylsulfate sulfotransferase
K07389	1756	3	79	K07389: cytolysin-activating lysine-acyltransferase [EC:2.3.1.-]
K15552	2200	3	80	K15552: taurine transport system permease protein
K06883	1590	3	81	K06883: NO_NAME
K07032	1658	3	82	K07032: NO_NAME
K00180	70	3	83	K00180: indolepyruvate ferredoxin oxidoreductase, beta subunit
K12297	2109	3	84	K12297: ribosomal RNA large subunit methyltransferase L
K00656	203	3	85	K00656: formate C-acetyltransferase [EC:2.3.1.54]
K04095	1401	3	86	K04095: cell filamentation protein
K12257	2105	3	87	K12257: SecD/SecF fusion protein
K04070	1388	3	88	K04070: putative pyruvate formate lyase activating enzyme
K01046	350	3	89	K01046: triacylglycerol lipase [EC:3.1.1.3]
K03502	1174	3	90	K03502: DNA polymerase V
K04486	1406	3	91	K04486: histidinol-phosphatase (PHP family) [EC:3.1.3.15]
K06218	1569	3	92	K06218: RelE protein
K07405	1764	3	93	K07405: alpha-amylase [EC:3.2.1.1]
K02361	809	3	94	K02361: isochorismate synthase [EC:5.4.4.2]
K07016	1649	3	95	K07016: NO_NAME
K19138	2338	3	96	K19138: NO_NAME
K19139	2339	3	97	K19139: NO_NAME
K09002	1888	3	98	K09002: hypothetical protein
K03324	1121	3	99	K03324: phosphate:Na+ symporter, PNaS family
K03614	1244	3	100	K03614: electron transport complex protein RnfD
K02824	958	3	101	K02824: uracil permease
K00015	8	3	102	K00015: glyoxylate reductase [EC:1.1.1.26]
K01991	661	3	103	K01991: polysaccharide export outer membrane protein
K06897	1597	3	104	K06897: NO_NAME
K21993	2434	3	105	K21993: NO_NAME
K02019	688	3	106	K02019: molybdate transport system regulatory protein
K03205	1080	3	107	K03205: type IV secretion system protein VirD4
K01154	373	3	108	K01154: type I restriction enzyme, S subunit
K04654	1420	3	109	K04654: hydrogenase expression/formation protein HypD
K07003	1643	3	110	K07003: NO_NAME
K07469	1780	3	111	K07469: aldehyde dehydrogenase (FAD-independent)
K06937	1616	3	112	K06937: NO_NAME
K07238	1730	3	113	K07238: zinc transporter, ZIP family
K05337	1447	3	114	K05337: ferredoxin
K01779	561	3	115	K01779: aspartate racemase [EC:5.1.1.13]
K05601	1482	3	116	K05601: hydroxylamine reductase [EC:1.7.99.1]
K00767	232	3	117	K00767: nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
K00104	43	3	118	K00104: glycolate oxidase [EC:1.1.3.15]
K07045	1664	3	119	K07045: NO_NAME
K11358	2070	3	120	K11358: aspartate aminotransferase [EC:2.6.1.1]
K00020	11	3	121	K00020: 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K06972	1630	3	122	K06972: NO_NAME
